PLOT,RAMALINA,USNEA,CRUSTOSE.FOLIOSE
1301,0,0,1
1302,0,1,1
1303,1,1,1
1304,1,1,1
1305,0,0,1
1306,0,1,1
1307,0,0,1
1308,1,1,1
1309,1,1,1
1310,1,1,1
1311,1,1,1
1312,0,1,1
1313,0,1,1
1314,1,1,1
1315,0,1,1
1316,0,1,1
1317,0,1,1
1318,1,1,1
1319,1,1,1
1320,0,0,1
1321,0,1,1
1322,1,1,1
1323,1,1,1
1324,1,1,1
1325,0,0,1
1326,0,1,1
1327,1,1,1
1328,0,0,1
1329,1,1,1
1330,0,1,1
1331,1,1,1
1332,0,1,1
1333,1,1,1
1334,0,1,1
1335,0,1,1
1336,1,1,1
1337,0,1,1
1338,0,1,1
1339,1,1,1
1340,0,0,1
1341,0,0,1
1342,0,0,1
1343,0,1,1
1344,1,1,1
1345,1,1,1
1346,0,1,1
1347,0,1,1
1348,0,1,1
1349,0,0,1
1350,1,1,1
