plot,date,device,quad,reading1,reading2,reading3,note,zone
PPW1320,20130509,ack,A1,5.7,,,,
PPW1320,20130509,ack,A2,2.4,,,,
PPW1320,20130509,ack,A3,1.4,,,,
PPW1320,20130509,ack,A4,3.2,,,,
PPW1320,20130509,ack,B4,3.4,,,,
PPW1320,20130509,ack,B3,4.4,,,,
PPW1320,20130509,ack,B2,4,,,,
PPW1320,20130509,ack,B1,5.4,,,,
PPW1320,20130509,ack,C1,7.6,,,,
PPW1320,20130509,ack,C2,8.9,,,,
PPW1320,20130509,ack,C3,6.4,,,,
PPW1320,20130509,ack,C4,4.3,,,,
PPW1320,20130509,ack,D4,2.7,,,,
PPW1320,20130509,ack,D3,3.8,,,,
PPW1320,20130509,ack,D2,5.3,,,,
PPW1320,20130509,ack,D1,3,,,,
PPW1328,20130509,ack,A1,8,,,,1
PPW1328,20130509,ack,A2,5.7,,,,1
PPW1328,20130509,ack,A3,5.3,,,,1
PPW1328,20130509,ack,A4,6.2,,,,1
PPW1328,20130509,ack,B4,10.9,,,,1
PPW1328,20130509,ack,B3,15.9,,,,1
PPW1328,20130509,ack,B2,7.9,,,,1
PPW1328,20130509,ack,B1,8,,,,1
PPW1328,20130509,ack,C1,7.9,,,,1
PPW1328,20130509,ack,C2,14.4,,,,1
PPW1328,20130509,ack,C3,8.8,,,,1
PPW1328,20130509,ack,C4,11.4,,,,1
PPW1328,20130509,ack,D4,5.7,,,,1
PPW1328,20130509,ack,D3,15,,,,1
PPW1328,20130509,ack,D2,8.1,,,,1
PPW1328,20130509,ack,D1,8.8,,,,1
PPW1321,20130509,ack,A1,7.1,,,,2
PPW1321,20130509,ack,A2,7.6,,,,2
PPW1321,20130509,ack,A3,5.6,,,,2
PPW1321,20130509,ack,A4,6.6,,,,2
PPW1321,20130509,ack,B4,8.7,,,,2
PPW1321,20130509,ack,B3,10,,,,2
PPW1321,20130509,ack,B2,3.7,,,,2
PPW1321,20130509,ack,B1,6.3,,,,2
PPW1321,20130509,ack,C1,5.1,,,,2
PPW1321,20130509,ack,C2,5.3,,,,2
PPW1321,20130509,ack,C3,4.8,,,,2
PPW1321,20130509,ack,C4,3.9,,,,2
PPW1321,20130509,ack,D4,5.6,,,,2
PPW1321,20130509,ack,D3,8.7,,,,2
PPW1321,20130509,ack,D2,8.3,,,,2
PPW1321,20130509,ack,D1,4.9,,,,2
PPW1338,20130509,ack,A1,15.6,,,,3
PPW1338,20130509,ack,A2,12.1,,,,3
PPW1338,20130509,ack,A3,12.2,,,,3
PPW1338,20130509,ack,A4,10.1,,,,3
PPW1338,20130509,ack,B4,15.2,,,,3
PPW1338,20130509,ack,B3,11.4,,,,3
PPW1338,20130509,ack,B2,17.4,,,,3
PPW1338,20130509,ack,B1,16.6,,,,3
PPW1338,20130509,ack,C1,24.8,,,,3
PPW1338,20130509,ack,C2,17.4,,,,3
PPW1338,20130509,ack,C3,15.8,,,,3
PPW1338,20130509,ack,C4,14.3,,,,3
PPW1338,20130509,ack,D4,19.7,,,,3
PPW1338,20130509,ack,D3,16.9,,,,3
PPW1338,20130509,ack,D2,13.5,,,,3
PPW1338,20130509,ack,D1,12.5,,,,3
PPW1339,20130509,ack,A1,9.4,,,,4
PPW1339,20130509,ack,A2,7.9,,,,4
PPW1339,20130509,ack,A3,7.3,,,,4
PPW1339,20130509,ack,A4,7,,,,4
PPW1339,20130509,ack,B4,13.1,,,,4
PPW1339,20130509,ack,B3,11.4,,,,4
PPW1339,20130509,ack,B2,8.2,,,,4
PPW1339,20130509,ack,B1,8.7,,,rocky,4
PPW1339,20130509,ack,C1,8.6,,,,4
PPW1339,20130509,ack,C2,9.7,,,,4
PPW1339,20130509,ack,C3,9.4,,,,4
PPW1339,20130509,ack,C4,5.9,,,shallow soil,4
PPW1339,20130509,ack,D4,9.5,,,,4
PPW1339,20130509,ack,D3,14,,,,4
PPW1339,20130509,ack,D2,8.1,,,,4
PPW1339,20130509,ack,D1,8.7,,,,4
PPW1322,20130509,ack,A1,9.6,,,,5
PPW1322,20130509,ack,A2,6.6,,,,5
PPW1322,20130509,ack,A3,12.9,,,,5
PPW1322,20130509,ack,A4,16.6,,,,5
PPW1322,20130509,ack,B4,11.4,,,,5
PPW1322,20130509,ack,B3,13,,,,5
PPW1322,20130509,ack,B2,10.9,,,,5
PPW1322,20130509,ack,B1,8.7,,,,5
PPW1322,20130509,ack,C1,9.5,,,,5
PPW1322,20130509,ack,C2,13.9,,,,5
PPW1322,20130509,ack,C3,14.4,,,,5
PPW1322,20130509,ack,C4,7.2,,,,5
PPW1322,20130509,ack,D4,15.6,,,,5
PPW1322,20130509,ack,D3,12.5,,,,5
PPW1322,20130509,ack,D2,11.8,,,,5
PPW1322,20130509,ack,D1,20.6,,,,5
PPW1302,20130509,ack,A1,10.9,,,,5
PPW1302,20130509,ack,A2,6.7,,,,5
PPW1302,20130509,ack,A3,10.2,,,,5
PPW1302,20130509,ack,A4,17.8,,,,5
PPW1302,20130509,ack,B4,16.3,,,,5
PPW1302,20130509,ack,B3,9.9,,,,5
PPW1302,20130509,ack,B2,10,,,,5
PPW1302,20130509,ack,B1,15.3,,,,5
PPW1302,20130509,ack,C1,10.6,,,,5
PPW1302,20130509,ack,C2,8.1,,,,5
PPW1302,20130509,ack,C3,7.3,,,,5
PPW1302,20130509,ack,C4,9.5,,,,5
PPW1302,20130509,ack,D4,9.6,,,,5
PPW1302,20130509,ack,D3,7.8,,,,5
PPW1302,20130509,ack,D2,4.4,,,rocky/shallow,5
PPW1302,20130509,ack,D1,11.5,,,,5
PPW1350,20130509,ack,A1,5.8,,,,6
PPW1350,20130509,ack,A2,4.7,,,,6
PPW1350,20130509,ack,A3,2.7,,,,6
PPW1350,20130509,ack,A4,4.5,,,,6
PPW1350,20130509,ack,B4,4.4,,,,6
PPW1350,20130509,ack,B3,4.5,,,,6
PPW1350,20130509,ack,B2,5.5,,,,6
PPW1350,20130509,ack,B1,3.2,,,,6
PPW1350,20130509,ack,C1,6.1,,,,6
PPW1350,20130509,ack,C2,6.2,,,,6
PPW1350,20130509,ack,C3,7.1,,,,6
PPW1350,20130509,ack,C4,9.3,,,,6
PPW1350,20130509,ack,D4,3.7,,,,6
PPW1350,20130509,ack,D3,5.1,,,,6
PPW1350,20130509,ack,D2,5.2,,,,6
PPW1350,20130509,ack,D1,4.2,,,,6
PPW1348,20130509,ack,A1,7.7,,,,7
PPW1348,20130509,ack,A2,6.3,,,,7
PPW1348,20130509,ack,A3,6.2,,,,7
PPW1348,20130509,ack,A4,5.5,,,,7
PPW1348,20130509,ack,B4,6.8,,,,7
PPW1348,20130509,ack,B3,7.9,,,,7
PPW1348,20130509,ack,B2,9.1,,,,7
PPW1348,20130509,ack,B1,10.9,,,,7
PPW1348,20130509,ack,C1,6.9,,,,7
PPW1348,20130509,ack,C2,10.2,,,,7
PPW1348,20130509,ack,C3,6.8,,,,7
PPW1348,20130509,ack,C4,8.4,,,,7
PPW1348,20130509,ack,D4,8.5,,,,7
PPW1348,20130509,ack,D3,8.9,,,,7
PPW1348,20130509,ack,D2,10.1,,,,7
PPW1348,20130509,ack,D1,11.5,,,,7
PPW1347,20130509,ack,A1,10.3,,,soil is dense fine (1-2cm) rocks,8
PPW1347,20130509,ack,A2,9.6,,,soil is dense fine (1-2cm) rocks,8
PPW1347,20130509,ack,A3,4.5,,,soil is dense fine (1-2cm) rocks,8
PPW1347,20130509,ack,A4,6.8,,,rocky - soil is dense fine (1-2cm) rocks,8
PPW1347,20130509,ack,B4,8.1,,,soil is dense fine (1-2cm) rocks,8
PPW1347,20130509,ack,B3,3.3,,,soil is dense fine (1-2cm) rocks,8
PPW1347,20130509,ack,B2,2.5,,,soil is dense fine (1-2cm) rocks,8
PPW1347,20130509,ack,B1,1.5,,,rocky - soil is dense fine (1-2cm) rocks,8
PPW1347,20130509,ack,C1,5.7,,,soil is dense fine (1-2cm) rocks,8
PPW1347,20130509,ack,C2,10.1,,,good soil - soil is dense fine (1-2cm) rocks,8
PPW1347,20130509,ack,C3,10.4,,,soil is dense fine (1-2cm) rocks,8
PPW1347,20130509,ack,C4,15.8,,,soil is dense fine (1-2cm) rocks,8
PPW1347,20130509,ack,D4,19.6,,,soil is dense fine (1-2cm) rocks,8
PPW1347,20130509,ack,D3,18.9,,,soil is dense fine (1-2cm) rocks,8
PPW1347,20130509,ack,D2,15.4,,,soil is dense fine (1-2cm) rocks,8
PPW1347,20130509,ack,D1,17.6,,,soil is dense fine (1-2cm) rocks,8
PPW1327,20130509,ack,A1,11.4,,,,9
PPW1327,20130509,ack,A2,5.2,,,,9
PPW1327,20130509,ack,A3,7.1,,,,9
