Plot,Num,Species
1,1001,QUEGAR
1,1002,QUEGAR
1,1003,QUEGAR
1,1004,QUEGAR
1,1005,QUEGAR
1,1006,QUEGAR
1,1007,QUEGAR
1,1008,QUEGAR
1,1009,QUEGAR
1,1010,QUEGAR
1,1011,QUEGAR
1,1012,QUEGAR
1,1012.1,QUEGAR
1,1014,QUEGAR
1,1014.1,QUEGAR
1,1015,QUEGAR
1,1017,QUEGAR
1,1018,QUEGAR
1,1020,QUEGAR
1,1021,QUEGAR
1,1022,QUEGAR
3,4040,QUEDOU
3,4041,QUEDOU
4,1101,QUEGAR
4,1101.1,QUEGAR
4,1102,QUEGAR
6,1206,QUEKEL
6,1214,QUEKEL
6,1215,QUEKEL
6,1216,QUEKEL
6,1217,QUEKEL
6,1218,QUEKEL
6,1219,QUEKEL
6,1220,QUEKEL
7,1123,QUEKEL
7,1124,QUEKEL
7,1126,QUEKEL
7,1140,ARCMAN
8,1248,QUEGAR
8,1249,QUEGAR
8,1250,QUEGAR
8,1251,QUEGAR
8,1252,QUEGAR
8,1253,QUEGAR
8,1253.1,QUEGAR
8,1253.2,QUEGAR
8,1254,QUEGAR
8,1254.1,QUEGAR
8,1255,QUEGAR
8,1256,QUEGAR
8,1257,QUEGAR
10,1222,QUEGAR
10,1222.1,QUEGAR
10,1223,QUEGAR
10,1224,QUEGAR
10,1225,QUEGAR
10,1230,QUEGAR
10,1232,QUEGAR
10,1232.1,QUEGAR
10,1233,QUEGAR
10,1236,QUEGAR
10,1237,QUEDOU
10,1238,QUEDOU
10,1239,QUEDOU
10,1240,QUEDOU
10,1242,QUEDOU
10,1243,QUEDOU
11,1259,QUEDOU
11,1259.1,QUEDOU
11,1259.1,QUEDOU
11,1263,QUEDOU
11,1264,QUEDOU
11,1264.1,QUEDOU
11,1265,QUEDOU
11,1265.1,QUEDOU
11,1266,QUEGAR
11,1266.1,QUEGAR
11,1267,QUEDOU
11,1268,QUEDOU
11,1268.1,QUEDOU
11,1268.2,QUEDOU
11,1270,QUEDOU
11,1271,QUEDOU
11,1271.1,QUEDOU
11,1272,QUEDOU
13,1745,QUEKEL
13,1752,QUEKEL
14,1912,QUEDOU
14,1921,QUEDOU
14,1911,QUEDOU
14,1960,QUEDOU
14,1913,QUEDOU
14,1962,QUEDOU
14,1904,QUEDOU
14,1902,QUEDOU
15,2797,QUEGAR
15,2799,QUEGAR
15,2800,QUEGAR
15,2687,QUEGAR
15,2804,QUEGAR
15,2805,QUEGAR
15,2806,QUEGAR
15,2806.1,QUEGAR
15,2809,QUEGAR
15,2811,QUEGAR
15,2812,QUEGAR
15,2813,QUEGAR
15,2814,QUEGAR
15,2817,QUEGAR
15,2818,QUEGAR
15,2819,QUEGAR
15,2820,QUEGAR
15,2821,QUEGAR
15,2822,QUEGAR
15,2823,QUEGAR
15,2825,QUEGAR
15,2827,QUEGAR
15,2828,QUEGAR
15,2829,QUEGAR
15,2830,QUEGAR
15,2833,QUEGAR
15,2832,QUEGAR
15,2834,QUEGAR
15,2838,QUEGAR
15,2835,QUEGAR
15,2836,QUEGAR
15,2837,QUEGAR
17,2744,QUEGAR
17,2745,QUEGAR
17,2746,QUEGAR
17,2747,QUEGAR
17,2748,QUEGAR
17,2749,QUEGAR
17,2750,QUEGAR
17,2751,QUEGAR
17,2752,QUEGAR
17,2753,QUEGAR
17,2754,QUEGAR
17,2755,QUEGAR
17,2756,QUEGAR
17,2757,QUEGAR
17,2758,QUEGAR
17,2760,QUEGAR
17,2761,QUEGAR
17,2762,QUEGAR
17,2763,QUEGAR
17,2764,QUEGAR
17,2765,QUEGAR
17,2766,QUEGAR
17,2767,QUEGAR
17,2768,QUEGAR
17,2770,QUEGAR
17,2771,QUEGAR
17,2772,QUEGAR
17,2773,QUEGAR
17,2773.1,QUEGAR
17,2774,QUEGAR
17,2775,QUEGAR
17,2776,QUEGAR
17,2777,QUEGAR
17,2778,QUEGAR
17,2780,QUEGAR
17,2780.1,QUEGAR
17,2798,QUEGAR
17,2798.1,QUEGAR
17,2781,QUEGAR
17,2782,QUEGAR
17,2785,QUEGAR
17,2786,QUEGAR
17,2787,QUEGAR
17,2790,QUEGAR
17,2790.1,QUEGAR
17,2788,QUEGAR
17,2789,QUEGAR
17,2791,QUEGAR
17,2792,QUEGAR
17,2793,QUEGAR
17,2793.1,QUEGAR
17,2794,QUEGAR
17,2795,QUEGAR
17,2796,QUEGAR
18,4507,QUEAGR
18,4505,QUEAGR
19,2869,QUEGAR
19,2876,QUEGAR
20,4622,FRACAL
20,4541,QUEGAR
20,4744,HETARB
20,4718,QUEGAR
21,2425,QUEKEL
21,2440,AMOCAL
21,2445,AMOCAL
21,2475,QUEKEL
23,1924,QUEDOU
23,1925,QUEDOU
23,1922,QUEDOU
23,1965,QUEDOU
24,2732,QUEGAR
25,4006,QUEDOU
26,3523,QUEGAR
27,4470,QUEBER
27,4498,UNKN27
27,4497,UNKN27
27,4464,QUEBER
28,4958,FRACAL
29,2883.2,QUEAGR
29,2885,QUEGAR
29,2890,QUEGAR
29,2891,QUEGAR
29,2892,QUEGAR
30,3454,QUEGAR
30,3474,QUEGAR
30,3489,HETARB
30,3489.1,HETARB
30,3489.2,HETARB
30,3489.3,HETARB
30,3489.4,HETARB
30,3717,HETARB
30,3717.1,HETARB
30,3758,QUEGAR
30,3876,QUEGAR
30,3825,QUEGAR
30,3774,QUEGAR
30,3773,QUEGAR
30,3773.1,QUEGAR
31,2667,QUEGAR
31,2678,QUEGAR
31,2707,HETARB
31,2690,QUEGAR
32,2594,QUEGAR
32,2596,QUEGAR
32,2598,QUEGAR
32,2599,QUEGAR
32,2601,QUEGAR
32,2605,QUEGAR
32,2607,QUEGAR
32,2613,QUEGAR
32,2616,QUEGAR
32,2614,QUEGAR
32,2615,QUEGAR
32,2609,UMBCAL
32,2626,QUEGAR
32,2627,QUEGAR
32,2623,QUEGAR
32,2630,QUEGAR
32,2629,QUEGAR
33,3366,QUEGAR
33,3371,QUEGAR
33,3398,QUEGAR
35,2544,QUEGAR
35,2545,QUEGAR
35,2565,PSEMEN
35,2566,QUEGAR
35,2568,QUEGAR
35,2569,QUEGAR
35,2571,QUEGAR
35,2577,QUEGAR
35,2578,QUEGAR
35,2582,QUEGAR
35,2583,QUEGAR
35,2583,QUEGAR
35,2587,QUEGAR
35,2591,QUEGAR
35,2592,QUEGAR
36,2902,QUEGAR
36,2902.1,QUEGAR
36,2909,QUEGAR
36,2912,QUEGAR
36,2913,QUEGAR
36,2916,QUEGAR
36,2918,QUEGAR
36,2920,QUEGAR
42,2320,TORCAL
43,1815,QUEKEL
43,2037,QUEKEL
43,2029,QUEKEL
43,2058,QUEKEL
43,2084,QUEKEL
43,2093,HETARB
43,2131,QUEKEL
44,1716,QUEDOU
44,1718,QUEDOU
45,1936,QUEDOU
45,1938,QUEDOU
45,1939,QUEDOU
45,2246,QUEDOU
45,2238,QUEGAR
45,2281,QUEGAR
45,2254,QUEGAR
45,2275,HETARB
45,2248,QUEDOU
47,2937,AMOCAL
47,2938,QUEGAR
47,2942,QUEGAR
48,3063,QUEKEL
48,3063.1,QUEKEL
48,3064,QUEGAR
48,3066,QUEGAR
48,3108,QUEGAR
48,3159,QUEGAR
48,3110,QUEGAR
48,3109,QUEGAR
48,3132,QUEGAR
48,3135,QUEAGR
48,3136,QUEAGR
48,3137,QUEAGR
48,3144,QUEGAR
48,3144.1,QUEGAR
48,3090,QUEGAR
48,3090.1,QUEGAR
48,3090.2,QUEGAR
48,3090.3,QUEGAR
48,3090.4,QUEGAR
48,3154,QUEGAR
48,3155,QUEGAR
48,3156,QUEGAR
48,3162,QUEGAR
48,3163,QUEGAR
48,3164,QUEGAR
48,3165,QUEGAR
48,3097,QUEGAR
48,3192,QUEKEL
48,3099,QUEKEL
48,3201,QUEKEL
48,3206,QUEGAR
48,3205,QUEGAR
48,3207,QUEKEL
48,3100,QUEGAR
48,3172,QUEGAR
48,3173,QUEGAR
48,3194,QUEKEL
48,3219,QUEGAR
48,3174,QUEGAR
48,3226,QUEKEL
48,3253,QUEGAR
48,3254,QUEGAR
48,3188,QUEGAR
48,3249,AMOCAL
48,3235,QUEGAR
48,3234,QUEGAR
48,3233,QUEGAR
48,3232,QUEGAR
48,3230,QUEGAR
