Plot ID,   PPW1301,Date,20130201,,Samplers,"DDA,MMB,MFO",,,
Notes,,,,,,,,,
,,,,,,,,,
GPS Coordinates - Plot Corners,,,,,,,,,
Southwest Reference,,Northwest Reference,,Northeast Reference,,,  Southeast Reference,,
UTM-E:,526265,UTM-E:,526266,UTM-E:,526285,,UTM-E:,526280,
UTM-N:,4270350,UTM-N:,4270370,UTM-N:,4270368,,UTM-N:,4270347,
Pictures? (check if complete),,1,Slope,26,,Aspect ,350,,
Quads Completed: ,,All,,,,,,,
,Start Tag: ,1001,End Tag:,1023,,,,,
Soil Depth (cm),-999,,,,,,,,
B2SW-,-999,B4SW-,-999,D2SW-,-999,,D4SW-,-999,
C2SW(center)- ,-999,,,,,,,,
Enviromental Notes: ,,"Entered from scan with herb surveys on 20151227, data collected on 20130919",,,,,,,
,,,,,,,,,
,,,,,,,,,
Quad ,% Bedrock ,% Soil,% Boulder,% Fine,% Herb ,% Litter,Total,Notes,
A1,0,10,0,1,74,15,100,Gopher Activity , 
A2,0,1,0,0,60,39,100,,
A3,0,1,0,0,55,44,100,,
A4,0,5,0,0,60,35,100,Gopher Activity ,
B4,0,5,0,0,50,45,100,Gopher Activity ,
B3,0,3,1,0,66,30,100,Gopher Activity ,
B2,0,1,0,0,74,25,100,Gopher Activity ,
B1,0,1,0,0,74,25,100,Gopher Activity ,
C1,0,5,0,1,69,25,100,,
C2,0,5,0,0,70,25,100,,
C3,0,5,0,0,60,35,100,,
C4,0,10,0,5,75,10,100,Gopher Activity ,
D4,0,10,0,5,70,15,100,,
D3,0,15,0,0,75,10,100,,
D2,0,10,0,0,60,30,100,,
D1,0,10,0,0,75,15,100,,
