Plot ID,   PPW1302,Date,20130201,,Samplers,"MNB, MFO, DDA, MJ, JC, MG",,,,
Notes,,,,,,,,,,
,,,,,,,,,,
GPS Coordinates - Plot Corners,,,,,,,,,,
Southwest Reference,,Northwest Reference,,Northeast Reference,,,  Southeast Reference,,,
UTM-E:,525447,UTM-E:,525444,UTM-E:,525466,,UTM-E:,525463,,
UTM-N:,4269576,UTM-N:,4269603,UTM-N:,4269604,,UTM-N:,4269583,,
Pictures? (check if complete),,1,Slope,,,Aspect ,,,,
Quads Completed: ,,,,,,,,,,
,Start Tag: ,1024,End Tag:,,,,,,,
Soil Depth (cm),,,,,,,,,,
B2SW-,21,B4SW-,>125,D2SW-,>181,,D4SW-,17,,
C2SW(center)- ,48.5,,,,,,,,,
Enviromental Notes: ,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quad ,% Bedrock ,% Soil,% Boulder,% Fine,% Herb ,% Litter,Total,Notes,Notes
A1,0,0,15,0,30,75,120,,
A2,0,0,5,1,40,70,116,,
A3,0,0,10,1,70,40,121,,
A4,0,1,1,0,30,80,112,,
B4,0,1,5,0,55,40,101,,
B3,0,1,0,0,80,20,101,,
B2,0,5,5,0,70,45,125,,
B1,0,0,15,1,50,60,126,,
C4,0,0,1,0,90,25,116,,
C3,0,0,0,0,90,25,115,,
C2,0,0,0,0,85,35,120,,
C1,0,1,15,0,30,75,121,,
D4,0,0,1,0,95,30,126,,
D3,0,0,1,0,90,10,101,,
D2,0,0,0,1,85,20,106,,
D1,0,0,5,5,55,45,110,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
