Plot ID,   PPW1304,Date,20130207,,Samplers,"MFO, MNB, MMJ, JEC",,
Notes,,,,,,,,
GPS Coordinates - Plot Corners,,,,,,,,
Southwest Reference,,Northwest Reference,,Northeast Reference,,,  Southeast Reference,
UTM-E:,525944,UTM-E:,525944,UTM-E:,525962,,UTM-E:,525968
UTM-N:,4269218,UTM-N:,4269235,UTM-N:,4269234,,UTM-N:,4269215
Pictures? (check if complete),,,Slope,25,,Aspect ,201,
Quads Completed: ,,,,,,,,
,Start Tag: ,1101,End Tag:,1107,,,,
Soil Depth (cm),,,,,,,,
B2SW-,,B4SW-,,D2SW-,,,D4SW-,
C2SW(center)- ,,,,,,,,
Enviromental Notes: ,,,,,,,,
Quad ,% Bedrock ,% Soil,% Boulder,% Fine,% Herb ,% Litter,Total,Notes
A1,0,0,5,10,60,25,100,
A2,0,0,5,10,45,45,105,
A3,0,0,30,10,45,15,100,
A4,0,0,45,10,35,10,100,
B4,0,0,30,25,20,35,110,
B3,0,0,25,20,45,20,110,
B2,0,0,15,15,55,15,100,
B1,0,0,15,5,55,30,105,
C1,0,0,25,30,30,25,110,
C2,0,0,15,5,55,30,105,
C3,0,5,10,10,30,45,100,
C4,0,0,15,15,15,55,100,
D4,0,0,15,15,35,35,100,
D3,0,0,45,10,20,35,110,
D2,0,0,15,10,40,35,100,
D1,0,0,65,5,20,10,100
