Plot ID,   PPW1306,Date,20120208`,,Samplers,"MMJ, MFO, MNB, MJK",,,,
Notes,East Facing Deciduous oaks with Douglas Fir removal,,,,,,,,,
,,,,,,,,,,
GPS Coordinates - Plot Corners,,,,,,,,,,
Southwest Reference,,Northwest Reference,,Northeast Reference,,,  Southeast Reference,,,
UTM-E:,526022,UTM-E:,526018,UTM-E:,5269042,,UTM-E:,526045,,
UTM-N:,4270886,UTM-N:,4270903,UTM-N:,4270906,,UTM-N:,4270888,,
Pictures? (check if complete),,x,Slope,15,,Aspect ,20,,,
Quads Completed: ,,A1-B1,,,,,,,,
,Start Tag: ,,End Tag:,,,,,,,
Soil Depth (cm),,,,,,,,,,
B2SW-,61,B4SW-,137,D2SW-,123,,D4SW-,115,,
C2SW(center)- ,147,,,,,,,,,
Enviromental Notes: ,Doug fir removal area - lots of downed wood. Soils wetter and sticker than 1307. California Fescue,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quad ,% Bedrock ,% Soil,% Boulder,% Fine,% Herb ,% Litter,Total,Notes,
A1,0,0,0,0,1,99,100,,
A2,0,10,1,0,1,80,92,,
A3,0,0,0,0,1,99,100,,
A4,0,0,0,0,5,95,100,,
B1,0,1,0,0,0,99,100,,
B2,0,5,0,0,0,95,100,,
B3,0,1,0,0,1,99,101,,
B4,0,1,0,0,5,95,101,,
C1,0,0,0,0,0,100,100,,
C2,0,0,0,0,0,100,100,,
C3,0,0,0,0,5,95,100,,
C4,0,0,0,0,1,99,100,,
D1,0,0,0,0,1,99,100,,
D2,0,0,0,0,1,99,100,,
D3,0,1,0,0,1,99,101,,
D4,0,1,0,0,1,99,101,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
