Plot ID,   PPW1307,Date,20130208,,Samplers,"MMJ, MJK, MNB, MFO",,,,
Notes,Mixed Oak Woodland with lots of Madrone seedlings/saplings,,,,,,,,,
,,,,,,,,,,
GPS Coordinates - Plot Corners,,,,,,,,,,
Southwest Reference,,Northwest Reference,,Northeast Reference,,,  Southeast Reference,,,
UTM-E:,525888,UTM-E:,525894,UTM-E:,525911,,UTM-E:,525906,,
UTM-N:,4270668,UTM-N:,4270680,UTM-N:,4270673,,UTM-N:,4270657,,
Pictures? (check if complete),,1,Slope,28.5,,Aspect ,46,,,
Quads Completed: ,,All,,,,,,,,
,Start Tag: ,1108,End Tag:,,,,,,,
Soil Depth (cm),,,,,,,,,,
B2SW-,>200,B4SW-,>200,D2SW-,>200,,D4SW-,>200,,
C2SW(center)- ,151,,,,,,,,,
Enviromental Notes: ,Game trail through the plot,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quad ,% Bedrock ,% Soil,% Boulder,% Fine,% Herb ,% Litter,Total,Notes,
A1,0,5,0,0,10,80,95,5% tree,
A2,0,5,0,0,5,85,95,10% tree trunk,
A3,0,1,0,0,15,80,96,,
A4,0,1,0,0,45,55,101,10% tree trunk,
B1,0,1,0,0,1,95,97,3% downed log,
B2,0,1,0,0,5,95,101,,
B3,0,0,0,0,25,65,90,10% PSME tree,
B4,0,1,0,0,60,40,101,,
C1,0,1,0,0,10,90,101,20% downed tree,
C2,0,5,0,0,25,70,100,,
C3,0,0,0,0,35,65,100,opening,
C4,0,1,0,0,45,55,101,opening,
D1,0,3,0,0,20,80,103,40% plot covered by logs - litter,
D2,0,10,0,0,5,75,90,10% tree trunks,
D3,0,10,0,0,25,55,90,10% tree trunk,
D4,0,0,0,0,35,65,100,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
