Plot ID,PPW1313,Date,20130221,,Samplers,"MMJ, MFO, MNB",,,,
Notes,Steep N-facing Madrone to mixed Oak Woodland with FESCAL,,,,,,,,,
,,,,,,,,,,
GPS Coordinates - Plot Corners,,,,,,,,,,
Southwest Reference,,Northwest Reference,,Northeast Reference,,,  Southeast Reference,,,
UTM-E:,522844,UTM-E:,522856,UTM-E:,522869,,UTM-E:,522860,,
UTM-N:,4272670,UTM-N:,4272690,UTM-N:,4272681,,UTM-N:,4272660,,
Pictures? (check if complete),,1,Slope,34,,Aspect ,36,,,
Quads Completed: ,,,,,,,,,,
,Start Tag: ,,End Tag:,,,,,,,
Soil Depth (cm),Come back for soils and silver tags,,,,,,,,,
B2SW-,,B4SW-,,D2SW-,,,D4SW-,,,
C2SW(center)- ,,,,,,,,,,
Enviromental Notes: ,Game trails zig zagging through the plot,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quad ,% Bedrock ,% Soil,% Boulder,% Fine,% Herb ,% Litter,Total,Notes,
A1,0,15,0,0,40,45,100,,
A2,0,15,0,0,25,75,115,,
A3,0,25,0,0,25,60,110,Game trail,
A4,0,15,0,0,20,65,100,Game trail,
B1,0,15,0,0,60,30,105,Game trail,
B2,0,5,0,0,45,50,100,Game trail,
B3,0,15,0,0,35,50,100,Game trail,
B4,0,10,0,0,15,75,100,Game trail,
C1,0,5,0,0,25,75,105,,
C2,0,10,0,0,40,50,100,Game trail,
C3,0,5,0,0,55,50,110,Game trail,
C4,0,10,0,0,25,80,115,Game trail,
D1,0,5,0,0,30,65,100,Game trail,
D2,0,5,0,0,30,65,100,Game trail,
D3,0,5,0,0,40,65,110,Game trail,
D4,0,5,0,0,50,45,100,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
