Plot ID,PPW1317,Date,20130314,,Samplers,"MFO, MNB, MMJ, JEC",,,,
Notes,"NW FACING SLOPE, MIXED QUEDEC, OPEN CANOPY, ROCKIER SOIL",,,,,,,,,
,,,,,,,,,,
GPS Coordinates - Plot Corners,,,,,,,,,,
Southwest Reference,,Northwest Reference,,Northeast Reference,,,  Southeast Reference,,,
UTM-E:,524778,UTM-E:,524784,UTM-E:,524800,,UTM-E:,524792,,
UTM-N:,4271596,UTM-N:,4271612,UTM-N:,4271605,,UTM-N:,4271587,,
Pictures? (check if complete),,,Slope,25,,Aspect ,224,,,
Quads Completed: ,,,,,,,,,,
,Start Tag: ,2744,End Tag:,,,,,,,
Soil Depth (cm),RETURN FOR SOIL DEPTH,,,,,,,,,
B2SW-,,B4SW-,,D2SW-,,,D4SW-,,,
C2SW(center)- ,,,,,,,,,,
Enviromental Notes: ,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quad ,% Bedrock ,% Soil,% Boulder,% Fine,% Herb ,% Litter,Total,Notes,
A1,0,5,0,0,35,65,105,,
A2,0,10,0,0,30,70,110,,
A3,0,10,0,5,35,65,115,,
A4,0,1,0,0,40,65,106,,
B1,0,5,0,1,35,65,106,,
B2,0,10,0,5,35,60,110,,
B3,0,10,0,5,30,55,100,,
B4,0,15,0,10,30,50,105,DELPHINIUM!,
C1,0,5,0,1,35,60,101,,
C2,0,5,0,0,35,60,100,,
C3,0,15,0,0,30,65,110,,
C4,0,10,0,10,35,40,95,,
D1,0,20,0,0,35,60,115,,
D2,0,10,0,0,40,60,110,GAME TRAIL,
D3,0,15,0,0,50,40,105,,
D4,0,15,0,1,55,35,106,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
