Plot ID,PPW1318,Date,20130412,,Samplers,"MFO,MNB,JSF,JAR",,,,
Notes,,,,,,,,,,
,,,,,,,,,,
GPS Coordinates - Plot Corners,,,,,,,,,,
Southwest Reference,,Northwest Reference,,Northeast Reference,,,  Southeast Reference,,,
UTM-E:,524608,UTM-E:,524606,UTM-E:,524633,,UTM-E:,5244626,,
UTM-N:,4271846,UTM-N:,4271864,UTM-N:,4271852,,UTM-N:,4271834,,
Pictures? (check if complete),,1,Slope,26,,Aspect ,205,,,
Quads Completed: ,,,,,,,,,,
,Start Tag: ,4507,End Tag:,1505,,,,,,
Soil Depth (cm),RETURN,,,,,,,,,
B2SW-,,B4SW-,,D2SW-,,,D4SW-,,,
C2SW(center)- ,,,,,,,,,,
Enviromental Notes: ,,LIGHT MEASUREMENTS ON BACK,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quad ,% Bedrock ,% Soil,% Boulder,% Fine,% Herb ,% Litter,Total,Notes,
A1,0,20,0,0,40,40,100,EROSION,
A2,0,10,0,0,60,30,100,EROSION,
A3,0,15,0,0,50,35,100,,
A4,0,10,10,0,50,30,100,,
B1,0,30,0,0,25,45,100,EROSION,
B2,0,20,0,0,50,30,100,EROSION,
B3,0,20,0,0,45,40,105,EROSION,
B4,0,10,0,0,35,55,100,EROSION,
C1,0,1,0,0,35,65,101,EROSION,
C2,0,5,0,0,40,60,105,,
C3,0,1,0,0,65,40,106,,
C4,0,10,0,0,45,45,100,,
D1,0,5,0,0,40,55,100,,
D2,0,1,0,0,50,50,100,,
D3,0,10,0,0,50,40,100,,
D4,0,20,0,0,35,45,100,EROSION,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
