Plot ID,PPW1322,Date,20130307,,Samplers,"MFO, MNB, JEC, PP, JAR",,,,
Notes,Stream within plot of Valley bottom ,,,,,,,,,
,,,,,,,,,,
GPS Coordinates - Plot Corners,,,,,,,,,,
Southwest Reference,,Northwest Reference,,Northeast Reference,,,  Southeast Reference,,,
UTM-E:,525084,UTM-E:,525087,UTM-E:,525109,,UTM-E:,525104,,
UTM-N:,4269552,UTM-N:,4269570,UTM-N:,4269568,,UTM-N:,4269547,,
Pictures? (check if complete),,1,Slope,8,,Aspect ,118,,,
Quads Completed: ,,All,,,,,,,,
,Start Tag: ,2453,End Tag:,,,,,,,
Soil Depth (cm),Return for soil depth,,,,,,,,,
B2SW-,,B4SW-,,D2SW-,,,D4SW-,,,
C2SW(center)- ,,,,,,,,,,
Enviromental Notes: ,Small creek runs through row 3 ~ approximately,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quad ,% Bedrock ,% Soil,% Boulder,% Fine,% Herb ,% Litter,Total,Notes,
A1,0,5,10,0,75,35,125,,
A2,0,5,10,0,65,40,120,,
A3,0,5,10,0,75,35,125,Creek in NW corner,
A4,0,10,10,0,60,45,125,Creek in SW corner,
B1,0,0,15,5,75,25,120,,
B2,0,0,25,1,40,50,116,,
B3,0,5,20,5,35,60,125,Creek in NE corner,
B4,0,5,10,5,80,20,120,Creek in SW corner,
C1,0,1,15,10,50,40,116,Creek in NE corner,
C2,0,1,35,0,60,15,111,Creek in centre of quad,
C3,0,10,40,0,40,25,115,Creek in centre of quad,
C4,0,0,10,5,75,15,105,,
D1,0,0,10,10,50,40,110,Creek in centre of quad,
D2,0,0,15,1,75,15,106,,
D3,0,0,30,0,60,35,125,,
D4,0,1,10,5,80,20,116,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
