Plot ID,PPW1323,Date,20130301,,Samplers,"MFO, MNB, MAP, JSF, PP",,
Notes,"***Was incorrectly called PPW1312, and then incorrectly called PPW1314 --> really PPW1323 201300811 MFO",,,,,,,
GPS Coordinates - Plot Corners,,,,,,,,
Southwest Reference,,Northwest Reference,,Northeast Reference,,,  Southeast Reference,
UTM-E:,523282,UTM-E:,523288,UTM-E:,523305,,UTM-E:,523297
UTM-N:,4272416,UTM-N:,4272441,UTM-N:,4272430,,UTM-N:,4272410
Pictures? (check if complete),,,Slope,11.5,,Aspect ,259,
Quads Completed: ,,,,,,,,
,Start Tag: ,1909,End Tag:,,,,,
Soil Depth (cm),Return for soil depth,,,,,,,
B2SW-,,B4SW-,,D2SW-,,,D4SW-,
C2SW(center)- ,,,,,,,,
Enviromental Notes: ,,,,,,,,
Quad ,% Bedrock ,% Soil,% Boulder,% Fine,% Herb ,% Litter,Total,Notes
A1,0,0,5,5,20,70,100,
A2,0,0,0,10,35,70,115,
A3,0,1,10,0,70,35,116,
A4,0,0,0,0,65,40,105,
B4,0,1,0,0,45,65,111,
B3,0,1,0,0,45,75,121,
B2,0,0,0,10,30,75,115,
B1,0,0,0,1,35,65,101,
C1,0,0,0,10,30,65,105,
C2,0,0,5,5,30,75,115,
C3,0,1,0,1,35,65,102,
C4,0,0,10,0,35,70,115,
D4,0,1,15,0,30,70,116,
D3,0,0,0,1,85,35,121,
D2,0,0,15,5,65,30,115,
D1,0,0,15,10,45,40,110
