Plot ID,PPW1324,Date,20130313,,Samplers,"MMJ, MFO, MNB, MJP",,,,
Notes,"Mixed Oak Woodlamd, moderate slope, NNE facing",,,,,,,,,
,,,,,,,,,,
GPS Coordinates - Plot Corners,,,,,,,,,,
Southwest Reference,,Northwest Reference,,Northeast Reference,,,  Southeast Reference,,,
UTM-E:,523801,UTM-E:,523798,UTM-E:,523819,,UTM-E:,523818,,
UTM-N:,4272002,UTM-N:,4272025,UTM-N:,4272021,,UTM-N:,4272001,,
Pictures? (check if complete),,,Slope,14.5,,Aspect ,24,,,
Quads Completed: ,,All,,,,,,,,
,Start Tag: ,2721,End Tag:,,,,,,,
Soil Depth (cm),Return for soil depth,,,,,,,,,
B2SW-,,B4SW-,,D2SW-,,,D4SW-,,,
C2SW(center)- ,,,,,,,,,,
Enviromental Notes: ,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quad ,% Bedrock ,% Soil,% Boulder,% Fine,% Herb ,% Litter,Total,Notes,
A1,0,0,1,0,75,40,116,,
A2,0,0,0,0,45,70,115,,
A3,0,1,0,0,30,80,111,,
A4,0,1,0,0,45,55,101,,
B1,0,5,0,0,55,45,105,,
B2,0,5,0,0,45,55,105,,
B3,0,5,0,0,50,50,105,,
B4,0,5,0,1,64,45,115,,
C1,0,10,0,0,55,55,120,,
C2,0,5,0,0,50,60,115,,
C3,0,0,0,0,60,60,120,,
C4,0,1,0,0,70,35,106,,
D1,0,5,0,0,55,60,120,,
D2,0,1,0,0,65,55,121,,
D3,0,1,0,0,55,65,121,,
D4,0,1,0,0,55,65,121,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
