Plot ID,PPW1331,Date,20130313,,Samplers,"MMJ, MNB, MFO, MJP",,,,
Notes,DOUG FIR AND oak Hilltop to N-facing slope,,,,,,,,,
,,,,,,,,,,
GPS Coordinates - Plot Corners,,,,,,,,,,
Southwest Reference,,Northwest Reference,,Northeast Reference,,,  Southeast Reference,,,
UTM-E:,523503,UTM-E:,523504,UTM-E:,523524,,UTM-E:,523523,,
UTM-N:,4271813,UTM-N:,4271829,UTM-N:,4271828,,UTM-N:,4271808,,
Pictures? (check if complete),,,Slope,24,,Aspect ,27,,,
Quads Completed: ,,,,,,,,,,
,Start Tag: ,2662,End Tag:,2718,,,,,,
Soil Depth (cm),Return for soils,,,,,,,,,
B2SW-,,B4SW-,,D2SW-,,,D4SW-,,,
C2SW(center)- ,,,,,,,,,,
Enviromental Notes: ,"Covered in Poison Oak, Striped Coralroot (Corallhorhiza striata), Fritillaria, Rosa",,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quad ,% Bedrock ,% Soil,% Boulder,% Fine,% Herb ,% Litter,Total,Notes,
A1,0,5,0,5,60,35,105,,
A2,0,1,0,0,60,40,101,,
A3,0,10,0,0,50,50,110,,
A4,0,1,0,0,60,40,101,,
B1,0,0,0,0,50,50,100,,
B2,0,0,0,0,60,40,100,,
B3,0,1,0,0,70,35,106,,
B4,0,5,0,0,35,65,105,,
C1,0,5,0,0,75,25,105,,
C2,0,5,0,0,45,50,100,Frittilaria affinis,
C3,0,1,0,0,40,65,106,,
C4,0,5,0,0,20,80,105,,
D1,0,1,0,0,30,75,106,,
D2,0,10,0,0,40,55,105,,
D3,0,10,0,0,40,65,115,,
D4,0,5,0,0,45,60,110,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
