Plot ID,PPW1332,Date,20130307,,Samplers,"MFO, MNB, PP, DDA, JAR",,,,
Notes,Shady UMBCAL ,,,,,,,,,
,,,,,,,,,,
GPS Coordinates - Plot Corners,,,,,,,,,,
Southwest Reference,,Northwest Reference,,Northeast Reference,,,  Southeast Reference,,,
UTM-E:,524968,UTM-E:,524970,UTM-E:,524990,,UTM-E:,524980,,
UTM-N:,4271278,UTM-N:,4271296,UTM-N:,4271282,,UTM-N:,4271269,,
Pictures? (check if complete),,,Slope,24,,Aspect ,331,,,
Quads Completed: ,,A1- B4 (1/2) ~ all SE and JU and covers done,,,,,,,,
,Start Tag: ,,End Tag:,,,,,,,
Soil Depth (cm),Return for soil depth,,,,,,,,,
B2SW-,,B4SW-,,D2SW-,,,D4SW-,,,
C2SW(center)- ,,,,,,,,,,
Enviromental Notes: ,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quad ,% Bedrock ,% Soil,% Boulder,% Fine,% Herb ,% Litter,Total,Notes,
A1,0,10,0,0,30,60,100,,
A2,0,10,0,0,5,90,105,,
A3,0,5,0,0,5,90,100,,
A4,0,5,0,0,5,95,105,,
B1,0,20,0,0,20,60,100,,
B2,0,15,0,1,5,80,101,,
B3,0,5,0,1,1,95,102,,
B4,0,5,0,0,5,95,105,,
C1,0,20,0,0,15,65,100,,
C2,0,10,0,0,10,90,110,,
C3,0,5,0,0,5,95,105,,
C4,0,5,0,0,5,95,105,,
D1,0,10,0,0,30,60,100,,
D2,0,5,0,0,15,85,105,,
D3,0,10,0,0,10,85,105,,
D4,0,15,0,0,10,80,105,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
