Plot ID,PPW1336,Date,20130315,,Samplers,"MFO, MNB, JSF, PAP",,,,
Notes,"Moderate SW slope with QUEAGR dominance, open understory",,,,,,,,,
,,,,,,,,,,
GPS Coordinates - Plot Corners,,,,,,,,,,
Southwest Reference,,Northwest Reference,,Northeast Reference,,,  Southeast Reference,,,
UTM-E:,525463,UTM-E:,525467,UTM-E:,525485,,UTM-E:,525480,,
UTM-N:,4271059,UTM-N:,4271073,UTM-N:,4271068,,UTM-N:,4271052,,
Pictures? (check if complete),,,Slope,24,,Aspect ,238,,,
Quads Completed: ,,All,,,,,,,,
,Start Tag: ,-,End Tag:,,,,,,,
Soil Depth (cm),Return for Soil depth,,,,,,,,,
B2SW-,,B4SW-,,D2SW-,,,D4SW-,,,
C2SW(center)- ,,,,,,,,,,
Enviromental Notes: ,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quad ,% Bedrock ,% Soil,% Boulder,% Fine,% Herb ,% Litter,Total,Notes,
A1,0,1,0,0,40,60,101,,
A2,0,1,0,0,40,65,106,,
A3,0,0,0,0,15,85,100,,
A4,0,10,0,0,25,75,110,,
B1,0,1,0,0,55,55,111,,
B2,0,1,0,0,45,55,101,,
B3,0,10,0,0,40,50,100,,
B4,0,5,0,0,55,50,110,,
C1,0,1,0,0,75,35,111,,
C2,0,1,0,0,75,35,111,,
C3,0,10,0,0,55,45,110,Game Trail,
C4,0,10,0,0,35,60,105,,
D1,0,10,0,0,40,55,105,,
D2,0,15,0,0,45,50,110,Game Trail,
D3,0,15,0,0,20,70,105,Game Trail,
D4,0,10,0,0,20,80,110,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
