Plot ID,PPW1337,Date,20130321,,Samplers,"MFO, MNB, MMJ, JAR, JSF",,,,
Notes,"HILLTOP, PSEMEN grove, open understorey with Festuca",,,,,,,,,
,,,,,,,,,,
GPS Coordinates - Plot Corners,,,,,,,,,,
Southwest Reference,,Northwest Reference,,Northeast Reference,,,  Southeast Reference,,,
UTM-E:,526102,UTM-E:,526114,UTM-E:,526130,,UTM-E:,526117,,
UTM-N:,4271193,UTM-N:,4271207,UTM-N:,4271199,,UTM-N:,4271182,,
Pictures? (check if complete),,,Slope,6.5,,Aspect ,90,,,
Quads Completed: ,,All,,,,,,,,
,Start Tag: ,,End Tag:,,,,,,,
Soil Depth (cm),Return for soil depths,,,,,,,,,
B2SW-,,B4SW-,,D2SW-,,,D4SW-,,,
C2SW(center)- ,,,,,,,,,,
Enviromental Notes: ,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quad ,% Bedrock ,% Soil,% Boulder,% Fine,% Herb ,% Litter,Total,Notes,
A1,0,1,0,0,95,10,106,,
A2,0,10,0,0,75,20,105,,
A3,0,5,0,0,70,30,105,,
A4,0,5,0,0,85,20,110,,
B1,0,1,0,0,95,10,106,,
B2,0,5,0,0,85,15,105,,
B3,0,1,0,0,80,15,96,,
B4,0,10,0,0,55,35,100,,
C1,0,0,0,0,70,30,100,,
C2,0,1,0,0,75,25,101,,
C3,0,5,0,0,90,5,100,,
C4,0,10,0,0,45,45,100,,
D1,0,10,0,0,75,20,105,,
D2,0,1,0,0,95,10,106,,
D3,0,1,0,0,95,10,106,,
D4,0,1,0,0,80,20,101,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
