Plot ID,PPW1341,Date,20130306,,Samplers,"MFO, MMJ, MNB",,
Notes,"Miixed QUEAGR/PSEMEN , previous doug fir removal area; Photopoints on MMJ Iphone",,,,,,,
GPS Coordinates - Plot Corners,,,,,,,,
Southwest Reference,,Northwest Reference,,Northeast Reference,,,  Southeast Reference,
UTM-E:,527127,UTM-E:,527132,UTM-E:,527151,,UTM-E:,527147
UTM-N:,4269502,UTM-N:,4269519,UTM-N:,4269512,,UTM-N:,4269492
Pictures? (check if complete),,1,Slope,14,,Aspect ,205,
Quads Completed: ,,,,,,,,
,Start Tag: ,2498,End Tag:,,,,,
Soil Depth (cm),Come back for soil depth,,,,,,,
B2SW-,,B4SW-,,D2SW-,,,D4SW-,
C2SW(center)- ,,,,,,,,
Enviromental Notes: ,Doug fir removal site,,,,,,,
Quad ,% Bedrock ,% Soil,% Boulder,% Fine,% Herb ,% Litter,Total,Notes
A1,0,1,1,5,15,80,102,
A2,0,1,5,5,10,80,101,
A3,0,5,0,20,15,60,100,
A4,0,15,1,5,15,80,116,
B1,0,5,0,5,15,80,105,
B2,0,5,0,5,25,65,100,
B3,0,5,5,10,35,50,105,
B4,0,10,0,15,15,60,100,
C1,0,0,0,0,10,90,100,
C2,0,1,1,5,15,80,102,
C3,0,1,0,10,15,75,101,
C4,0,0,0,10,15,80,105,
D1,0,5,0,10,10,80,105,
D2,0,10,0,1,5,90,106,
D3,0,0,1,1,10,90,102,
D4,0,1,5,5,15,75,101
