Plot ID,PPW1342,Date,20130306,,Samplers,"MFO, MNB, MMJ",,,,
Notes,"MATURE DOUG FIR STAND, open understorey with a great deal of Poison Oak",,,,,,,,,
,,,,,,,,,,
GPS Coordinates - Plot Corners,,,,,,,,,,
Southwest Reference,,Northwest Reference,,Northeast Reference,,,  Southeast Reference,,,
UTM-E:,527278,UTM-E:,527282,UTM-E:,527298,,UTM-E:,527297,,
UTM-N:,4269582,UTM-N:,4269601,UTM-N:,4269596,,UTM-N:,4269578,,
Pictures? (check if complete),,1,Slope,7,,Aspect ,65,,,
Quads Completed: ,,,,,,,,,,
,Start Tag: ,1996,End Tag:,,,,,,,
Soil Depth (cm),RETURN FOR SOIL DEPTH,,,,,,,,,
B2SW-,,B4SW-,,D2SW-,,,D4SW-,,,
C2SW(center)- ,,,,,,,,,,
Enviromental Notes: ,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quad ,% Bedrock ,% Soil,% Boulder,% Fine,% Herb ,% Litter,Total,Notes,
A1,0,0,0,0,65,35,100,,
A2,0,0,0,0,85,15,100,,
A3,0,0,0,0,90,10,100,,
A4,0,0,0,0,90,10,100,,
B1,0,0,0,0,80,25,105,,
B2,0,1,0,0,80,20,101,,
B3,0,0,0,0,85,15,100,,
B4,0,0,0,0,90,15,105,,
C1,0,0,0,0,85,15,100,,
C2,0,0,0,0,95,5,100,,
C3,0,0,0,0,85,15,100,,
C4,0,0,0,0,95,10,105,,
D1,0,0,0,0,80,20,100,,
D2,0,0,0,0,70,30,100,,
D3,0,0,0,0,75,30,105,,
D4,0,0,0,0,65,40,105,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
