Plot ID,PPW1346,Date,20130503,,Samplers,"MFO, MNB,MAP,APW,JAR,PP",,,,
Notes,Open QUEGAR stand with dense CA Festuca and poison oak ,,,,,,,,,
,,,,,,,,,,
GPS Coordinates - Plot Corners,,,,,,,,,,
Southwest Reference,,Northwest Reference,,Northeast Reference,,,  Southeast Reference,,,
UTM-E:,524575,UTM-E:,524581,UTM-E:,524600,,UTM-E:,524593,,
UTM-N:,4270822,UTM-N:,4270840,UTM-N:,4270833,,UTM-N:,4270820,,
Pictures? (check if complete),,1,Slope,24,,Aspect ,316,,,
Quads Completed: ,,ALL,,,,,,,,
,Start Tag: ,5000,End Tag:,5045,,,,,,
Soil Depth (cm),,RETURN,,,,,,,,
B2SW-,,B4SW-,,D2SW-,,,D4SW-,,,
C2SW(center)- ,,,,,,,,,,
Enviromental Notes: ,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quad ,% Bedrock ,% Soil,% Boulder,% Fine,% Herb ,% Litter,Total,Notes,
A1,0,5,10,5,70,15,105,,
A2,0,10,0,0,70,20,100,,
A3,0,5,0,0,65,30,100,,
A4,0,1,5,0,90,10,106,,
B1,0,5,1,0,90,15,111,,
B2,0,10,1,0,75,20,106,,
B3,0,0,10,0,90,10,110,,
B4,0,1,1,0,90,15,107,,
C1,0,0,1,0,90,15,100,,
C2,0,10,0,0,75,20,105,,
C3,0,0,10,0,90,10,110,,
C4,0,1,15,0,80,20,116,,
D1,0,10,10,1,70,10,101,,
D2,0,1,10,0,65,25,101,,
D3,0,1,25,0,75,10,111,,
D4,0,0,35,0,60,10,105,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
