Plot ID,PPW1347,Date,20130320,,Samplers,"MFO, MNB, MMJ, KMG, MJK",,,,
Notes,"Very poor GPS reception. N-facing Douglas Fir with Bay understorey and ""other"" shrubs. GPS reception very poor here, moving10-20 metres between readings",,,,,,,,,
,,,,,,,,,,
GPS Coordinates - Plot Corners,,,,,,,,,,
Southwest Reference,,Northwest Reference,,Northeast Reference,,,  Southeast Reference,,,
UTM-E:,523087,UTM-E:,523088,UTM-E:,523120,,UTM-E:,523105,,
UTM-N:,4268719,UTM-N:,4268729,UTM-N:,4268727,,UTM-N:,4268709,,
Pictures? (check if complete),,1,Slope,25,,Aspect ,5,,,
Quads Completed: ,,All,,,,,,,,
,Start Tag: ,2929,End Tag:,,,,,,,
Soil Depth (cm),Return for soild depths,,,,,,,,,
B2SW-,,B4SW-,,D2SW-,,,D4SW-,,,
C2SW(center)- ,,,,,,,,,,
Enviromental Notes: ,"Revisit for shrub cover, Deep soft soils. Snowberry, Poison Oak, Oceanspray? Napa False Indigo? AMOCAL?",,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quad ,% Bedrock ,% Soil,% Boulder,% Fine,% Herb ,% Litter,Total,Notes,
A1,0,30,0,1,10,60,101,,
A2,0,20,0,15,15,50,100,,
A3,0,10,0,5,15,75,105,,
A4,0,5,0,0,25,75,105,Moss cover on the ground,
B1,0,0,1,20,35,45,101,,
B2,0,1,0,15,45,40,101,,
B3,0,15,0,15,25,65,120,,
B4,0,5,0,10,60,40,115,Moss cover on the ground,
C1,0,10,0,10,20,70,110,,
C2,0,15,0,10,30,45,100,,
C3,0,10,0,5,45,45,105,,
C4,0,5,0,5,30,65,105,,
D1,0,15,0,1,25,70,111,,
D2,0,10,0,1,50,40,101,,
D3,0,15,0,1,20,65,101,,
D4,0,5,1,1,20,75,102,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
