Plot ID,PPW1348,Date,20130321,,Samplers,"TKM, JEC, MFO, MNB, MMJ, MJK",,,,
Notes,AMOCAL only tagged as SA if BD (at 10cm) >1cm,,,,,,,,,
,,,,,,,,,,
GPS Coordinates - Plot Corners,,,,,,,,,,
Southwest Reference,,Northwest Reference,,Northeast Reference,,,  Southeast Reference,,,
UTM-E:,523389,UTM-E:,523394,UTM-E:,523408,,UTM-E:,523400,,
UTM-N:,4269026,UTM-N:,4269039,UTM-N:,4269041,,UTM-N:,4269026,,
Pictures? (check if complete),,1,Slope,24,,Aspect ,327,,,
Quads Completed: ,,All,,,,,,,,
,Start Tag: ,3063,End Tag:,,,,,,,
Soil Depth (cm),Return for Soil depths,,,,,,,,,
B2SW-,,B4SW-,,D2SW-,,,D4SW-,,,
C2SW(center)- ,,,,,,,,,,
Enviromental Notes: ,Cobbles under thick litter,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quad ,% Bedrock ,% Soil,% Boulder,% Fine,% Herb ,% Litter,Total,Notes,
A1,0,10,0,5,35,55,105,,
A2,0,1,1,0,15,85,102,,
A3,0,1,5,0,20,80,106,,
A4,0,1,5,0,20,80,106,,
B1,0,10,0,0,35,65,110,,
B2,0,10,0,0,15,85,110,,
B3,0,5,0,0,20,75,100,,
B4,0,5,0,0,15,85,105,,
C1,0,10,1,0,40,60,111,,
C2,0,5,0,0,25,70,100,,
C3,0,5,0,0,10,85,100,,
C4,0,1,0,0,15,85,101,,
D1,0,20,1,0,5,75,101,,
D2,0,10,0,0,25,65,100,,
D3,0,10,0,5,20,65,100,,
D4,0,10,0,1,15,75,101,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
