Plot ID,   PPW1302,,,,Sampler(s),"MNB, MFO",,,Date ,20130206
Notes,,,,,,,,,,
Quadrant,Species,No. SE <10cm,,No. JU 10-50cm,,No. SE +JU Dead,Comments,,,
A1,UMBCAL,,,2,,,,,,
A2,QUEAGR,1,,,,,,,,
A2,UMBCAL,,,2,,,,,,
A3,QUEAGR,,,11,,,,,,
A4,QUEAGR,5,,6,,,,,,
B4,QUEAGR,,,17,,,,,,
B4,UMBCAL,,,2,,,,,,
B3,QUEAGR,7,,7,,,,,,
B2,QUEAGR,,,4,,,,,,
B2,UMBCAL,,,1,,,,,,
B1,QUEAGR,2,,2,,,,,,
B1,UMBCAL,,,1,,,,,,
B1,BACPIL,,,,,1,,,,
C4,QUEAGR,2,,10,,1,,,,
C3,QUEAGR,13,,11,,,,,,
C3,UMBCAL,1,,1,,,,,,
C2,QUEAGR,7,,7,,,,,,
C2,UMBCAL,,,3,,,,,,
C1,QUEAGR,1,,2,,,,,,
C1,UMBCAL,1,,2,,,,,,
D4,QUEAGR,24,,57,,1,,,,
D3,QUEAGR,2,,23,,,,,,
D2,QUEAGR,1,,13,,,,,,
D2,UMBCAL,,,1,,,,,,
D1,QUEAGR,1,,3,,,,,,
D1,UMBCAL,1,,4,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
