Plot ID,PPW1313,,,,Sampler(s),"MMJ, MFO, MNB",,,Date ,20130221
Notes,,,,,,,,,,
Quadrant,Species,No. SE <10cm,,No. JU 10-50cm,,No. SE +JU Dead,Comments,,,
A1,ARBMEN,,,1,,,,,,
A1,QUEAGR,,,1,,,,,,
A1,HETARB,,,1,,,,,,
A2,ARBMEN,,,1,,,,,,
A3,QUEAGR,,,2,,,,,,
A3,ARBMEN,,,1,,,,,,
A3,UMBCAL,,,1,,,,,,
A4,ARBMEN,,,3,,,,,,
A4,HETARB,,,1,,,,,,
B4,QUEAGR,,,3,,,,,,
B4,ARBMEN,,,2,,,,,,
B3,ARBMEN,,,1,,,,,,
B3,QUEAGR,,,3,,,,,,
B3,HETARB,,,1,,,,,,
B2,QUEAGR,,,1,,,,,,
B1,UMBCAL,,,1,,,,,,
C4,HETARB,,,1,,,,,,
C4,QUEAGR,,,5,,,,,,
D4,QUEAGR,,,4,,,,,,
D4,ARBMEN,,,2,,,,,,
D4,HETARB,,,1,,,,,,
D3,ARBMEN,,,1,,,,,,
D2,HETARB,,,2,,,,,,
D1,HETARB,,,1,,,,,,
D3,HETARB,1,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
