Plot ID,PPW1315,,,,Sampler(s),"MFO, MNB, MMJ, JEC",,,Date ,20130314
Notes,,,,,,,,,,
Quadrant,Species,No. SE <10cm,,No. JU 10-50cm,,No. SE +JU Dead,Comments,,,
A1,QUEKEL,2,,4,,,,,,
A1,QUEDEC,5,,8,,,,,,
A2,QUEKEL,3,,7,,,,,,
A2,QUEDEC,1,,,,,,,,
A2,UMBCAL,,,1,,,,,,
A3,QUEKEL,2,,3,,,,,,
A3,QUEDEC,2,,2,,,,,,
A4,QUEKEL,2,,1,,,,,,
B4,QUEKEL,9,,2,,,,,,
B4,QUEDEC,1,,2,,,,,,
B4,UMBCAL,1,,1,,,,,,
B3,QUEKEL,12,,14,,,,,,
B3,QUEDEC,3,,,,1,,,,
B2,QUEDEC,2,,,,1,,,,
B2,UMBCAL,1,,,,,,,,
B2,QUEKEL,,,1,,,,,,
B1,QUEDEC,3,,4,,3,,,,
B1,QUEKEL,18,,8,,,,,,
C1,QUEKEL,5,,15,,,,,,
C1,QUEDEC,4,,4,,1,,,,
C1,ARBMEN,,,1,,,,,,
C2,QUEKEL,7,,8,,,,,,
C2,QUEDEC,1,,,,1,,,,
C3,QUEDEC,3,,,,3,,,,
C3,QUEKEL,12,,5,,,,,,
C4,QUEKEL,7,,3,,,,,,
C4,QUEDEC,3,,3,,1,,,,
D4,QUEDEC,3,,,,,,,,
D4,QUEKEL,9,,3,,,,,,
D1,QUEDEC,9,,9,,2,,,,
D1,ARBMEN,,,,,1,,,,
D1,QUEKEL,,,7,,,,,,
D1,QUEAGR,1,,,,,,,,
D2,QUEDEC,4,,3,,1,,,,
D2,QUEKEL,4,,1,,,,,,
D2,UMBCAL,1,,,,,,,,
D3,QUEDEC,17,,8,,5,,,,
D3,QUEKEL,15,,7,,,,,,
,,,,,,,,,,
