Plot ID,PPW1316,,,,Sampler(s),"MMJ, MFO, MNB, JEC",,,Date ,20130314
Notes,,,,,,,,,,
Quadrant,Species,No. SE <10cm,,No. JU 10-50cm,,No. SE +JU Dead,Comments,,,
A1,QUEAGR,2,,1,,,,,,
A1,QUEDEC,,,1,,,,,,
A2,QUEAGR,1,,1,,,,,,
A2,UMBCAL,,,1,,,,,,
A3,QUEKEL,,,2,,,,,,
A3,UMBCAL,,,1,,,,,,
A3,QUEAGR,1,,,,,,,,
A4,UMBCAL,1,,,,,,,,
A4,QUEGAR,,,1,,,,,,
B4,QUEDEC,1,,1,,,,,,
B4,QUEKEL,,,1,,,,,,
B4,QUEGAR,3,,,,,,,,
B2,QUEAGR,,,4,,,,,,
B2,QUEDEC,,,1,,,,,,
B2,PSEMEN,1,,,,,,,,
B1,QUEAGR,,,2,,,,,,
C2,UMBCAL,,,1,,,,,,
C3,QUEAGR,,,2,,,,,,
C4,QUEAGR,1,,1,,,,,,
C4,QUEDEC,,,1,,,,,,
D4,UMBCAL,1,,3,,,,,,
D4,QUEAGR,1,,2,,,,,,
D3,UMBCAL,,,2,,,,,,
D1,QUEAGR,,,3,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
