Plot ID,PPW1319,,,,Sampler(s),"MNB, PAP, MFO, JSF, M?",,,Date ,20130315
Notes,,,,,,,,,,
Quadrant,Species,No. SE <10cm,,No. JU 10-50cm,,No. SE +JU Dead,Comments,,,
D1,QUEKEL,,,1,,,,,,
D3,UMBCAL,1,,1,,,,,,
D4,UMBCAL,,,1,,,,,,
C1,UMBCAL,,,2,,,Two UMBCAL Juvenile rows joined into one,,,
C4,UMBCAL,1,,2,,,,,,
C4,QUEKEL,1,,,,,,,,
C4,QUEAGR,1,,,,,,,,
B3,UMBCAL,1,,4,,,,,,
B3,QUEAGR,,,1,,,,,,
B4,UMBCAL,1,,3,,,,,,
B4,QUEAGR,1,,,,,,,,
C2,UMBCAL,,,3,,,,,,
C2,PSEMEN,,,2,,,,,,
C2,QUEAGR,,,1,,,,,,
C1,QUEAGR,1,,,,,,,,
A3,UMBCAL,,,2,,,,,,
A3,QUEAGR,1,,2,,,,,,
A3,QUEDEC,,,1,,,,,,
B2,UMBCAL,1,,3,,,,,,
B2,QUEAGR,1,,,,,,,,
B1,UMBCAL,3,,2,,,,,,
B1,QUEAGR,,,1,,,,,,
A2,QUEDEC,9,,1,,,,,,
A2,QUEKEL,11,,,,,,,,
A2,QUEAGR,2,,,,,,,,
A2,UMBCAL,1,,2,,,,,,
A1,UMBCAL,1,,2,,,,,,
A1,QUEAGR,1,,2,,,,,,
,,,,,,,,,,
,,,,,,,,,,
