Plot ID,PPW1324,,,,Sampler(s),"MMJ, MFO, MNB, MJP",,,Date ,20130313
Notes,,,,,,,,,,
Quadrant,Species,No. SE <10cm,,No. JU 10-50cm,,No. SE +JU Dead,Comments,,,
A1,UMBCAL,,,1,,,,,,
A1,QUEKEL,,,1,,,,,,
A2,QUEKEL,1,,,,,,,,
A3,UMBCAL,,,1,,,,,,
A4,ARBMEN,1,,1,,,,,,
B4,QUEKEL,1,,,,,,,,
B3,QUEKEL,14,,19,,,,,,
B2,QUEKEL,4,,2,,,,,,
B1,QUEXXX,1,,,,,,,,
C1,QUEKEL,1,,,,,,,,
C1,UMBCAL,,,1,,,,,,
C1,PSEMEN,,,1,,,,,,
C2,QUEKEL,6,,6,,,,,,
C3,QUEKEL,6,,5,,,,,,
C4,QUEDEC,1,,,,,,,,
C4,QUEKEL,2,,2,,,,,,
D4,ARBMEN,,,3,,,,,,
D4,QUEKEL,2,,,,,,,,
D3,QUEKEL,1,,3,,,,,,
D3,QUEXXX,2,,,,,,,,
D3,ARBMEN,,,1,,,,,,
D2,QUEKEL,1,,,,,,,,
D1,UMBCAL,,,3,,,,,,
D1,ARBMEN,,,1,,,,,,
D1,QUEAGR,1,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
