Plot ID,PPW1326,,,,Sampler(s),"MFO,MNB,MMJ,KMG",,,Date ,20130327
Notes,,,,,,,,,,
Quadrant,Species,No. SE <10cm,,No. JU 10-50cm,,No. SE +JU Dead,Comments,,,
A1,UMBCAL,,,6,,,,,,
A1,QUEDEC,,,1,,,,,,
A2,UMBCAL,,,11,,,,,,
A2,QUEDEC,,,1,,,,,,
A3,UMBCAL,3,,10,,,,,,
A3,PSEMEN,,,1,,,,,,
A4,UMBCAL,,,12,,,,,,
A4,QUEDEC,1,,,,,,,,
B4,UMBCAL,1,,11,,,,,,
B4,QUEDEC,,,1,,,,,,
B3,UMBCAL,4,,12,,,,,,
B2,UMBCAL,,,16,,,,,,
B1,UMBCAL,,,7,,,,,,
C1,UMBCAL,,,12,,1,,,,
C2,QUEDEC,,,8,,,,,,
C2,QUEDEC,,,1,,,,,,
C2,QUEAGR,,,1,,,,,,
C3,UMBCAL,,,13,,,,,,
A2,PSEMEN,,,,,1,,,,
B3,PSEMEN,,,1,,,,,,
C4,UMBCAL,,,15,,,,,,
D4,UMBCAL,,,5,,,,,,
D3,UMBCAL,,,12,,,,,,
D2,UMBCAL,,,6,,,,,,
D1,UMBCAL,2,,12,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
