Plot ID,PPW1331,,,,Sampler(s),"MFO, MMJ, MJP",,,Date ,20130313
Notes,,,,,,,,,,
Quadrant,Species,No. SE <10cm,,No. JU 10-50cm,,No. SE +JU Dead,Comments,,,
A1,UMBCAL,,,1,,,,,,
A2,UMBCAL,,,1,,,,,,
A3,UMBCAL,,,1,,,,,,
B4,UMBCAL,,,1,,,,,,
A3,PSEMEN,1,,,,,,,,
B3,UMBCAL,,,1,,,,,,
B2,UMBCAL,,,1,,,,,,
B1,UMBCAL,,,6,,,,,,
B1,ARBMEN,,,1,,,,,,
C1,UMBCAL,,,1,,,,,,
C2,HETARB,,,3,,,,,,
C2,QUEAGR,,,1,,,,,,
C2,ARBMEN,,,,,1,,,,
C3,UMBCAL,,,2,,,,,,
C4,UMBCAL,,,1,,,,,,
D4,UMBCAL,,,1,,,,,,
D3,UMBCAL,,,3,,,,,,
D1,UMBCAL,,,1,,,,,,
D1,HETARB,,,2,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
