Plot ID,PPW1332,,,,Sampler(s),"LM, DDA, MFO",,,Date ,20130308
Notes,,,,,,,,,,
Quadrant,Species,No. SE <10cm,,No. JU 10-50cm,,No. SE +JU Dead,Comments,,,
A1,UMBCAL,,,1,,,,,,
A2,UMBCAL,1,,1,,,,,,
A3,UMBCAL,2,,1,,,,,,
B4,UMBCAL,1,,2,,,,,,
B3,AESCAL,,,2,,,,,,
B3,UMBCAL,1,,2,,,,,,
B2,UMBCAL,3,,1,,,,,,
B2,AESCAL,1,,3,,,,,,
B1,UMBCAL,,,1,,,,,,
B1,AESCAL,,,1,,,,,,
C1,UMBCAL,,,7,,,,,,
C1,AESCAL,,,1,,,,,,
C2,UMBCAL,1,,3,,,,,,
C2,AESCAL,,,3,,,,,,
C3,AESCAL,,,1,,,,,,
C4,UMBCAL,1,,4,,,,,,
D4,UMBCAL,,,2,,,,,,
D3,UMBCAL,,,4,,,,,,
D2,UMBCAL,,,4,,,,,,
D1,UMBCAL,4,,7,,,,,,
D3,AESCAL,,,1,,,Heavily browsed,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
