Plot ID,PPW1333,,,,Sampler(s),"MFO, MNB, JSF, JAR",,,Date ,20130321/20130327
Notes,,,,,,,,,,
Quadrant,Species,No. SE <10cm,,No. JU 10-50cm,,No. SE +JU Dead,Comments,,,
A1,UMBCAL,12,,21,,,,,,
A1,QUEAGR,,,1,,,,,,
A2,UMBCAL,21,,43,,,,,,
A2,QUEAGR,1,,,,,,,,
A3,UMBCAL,6,,15,,,,,,
A3,QUEDEC,1,,1,,,,,,
A4,QUEDEC,1,,,,,,,,
A4,QUEAGR,,,1,,,,,,
A4,UMBCAL,,,1,,,,,,
B4,UMBCAL,1,,15,,,,,,
B4,QUEAGR,,,1,,,,,,
B4,QUEDEC,3,,,,,,,,
B3,UMBCAL,2,,31,,,,,,
A2,PSEMEN,,,,,1,MISSED,,,
B2,UMBCAL,9,,35,,,,,,
B2,QUEAGR,1,,,,,,,,
B1,UMBCAL,10,,24,,,,,,
C1,UMBCAL,7,,17,,,,,,
C1,QUEDEC,2,,,,,,,,
C1,QUEAGR,1,,,,,,,,
C1,AESCAL,,,1,,,,,,
C2,UMBCAL,9,,18,,,,,,
C2,QUEDEC,4,,,,,,,,
C2,QUEAGR,2,,,,,,,,
C3,UMBCAL,14,,24,,,,,,
C4,UMBCAL,4,,9,,,,,,
C4,QUEDEC,6,,2,,,,,,
D4,UMBCAL,2,,20,,,,,,
D4,QUEDEC,2,,1,,,,,,
D4,HETARB,1,,,,,,,,
D4,QUEAGR,1,,1,,,,,,
D3,UMBCAL,4,,21,,,,,,
D3,QUEDEC,2,,,,,,,,
D2,QUEDEC,4,,2,,,,,,
D2,UMBCAL,5,,20,,,,,,
D1,UMBCAL,1,,4,,,,,,
D1,QUEDEC,3,,1,,,,,,
