Plot ID,PPW1335,,,,Sampler(s),"MFO, MNB, DDA, PP, JAR",,,Date ,20130308
Notes,,,,,,,,,,
Quadrant,Species,No. SE <10cm,,No. JU 10-50cm,,No. SE +JU Dead,Comments,,,
A1,UMBCAL,2,,50,,,,,,
A2,QUEDEC,2,,1,,,,,,
A2,UMBCAL,,,23,,,,,,
A3,UMBCAL,1,,4,,,,,,
A4,UMBCAL,,,3,,,,,,
B4,UMBCAL,1,,4,,,,,,
B3,UMBCAL,,,6,,,,,,
B2,QUEDEC,,,,,1,,,,
B2,UMBCAL,,,27,,,,,,
B1,UMBCAL,3,,49,,,,,,
C1,UMBCAL,1,,33,,,,,,
C2,UMBCAL,1,,14,,,,,,
C3,UMBCAL,,,4,,,,,,
C4,UMBCAL,,,6,,,,,,
D4,UMBCAL,1,,24,,,,,,
D3,UMBCAL,2,,11,,,,,,
D2,UMBCAL,,,16,,,,,,
D1,UMBCAL,,,20,,,,,,
D1,AESCAL,1,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
