Plot ID,PPW1338,,,,Sampler(s),"MFO, MNB, PP, JAR",,,Date ,20130308
Notes,,,,,,,,,,
Quadrant,Species,No. SE <10cm,,No. JU 10-50cm,,No. SE +JU Dead,Comments,,,
A1,PSEMEN,1,,3,,,,,,
A1,UMBCAL,1,,1,,,,,,
A2,UMBCAL,1,,4,,,,,,
A2,PSEMEN,,,1,,,,,,
A3,UMBCAL,,,3,,,,,,
A4,UMBCAL,3,,6,,,,,,
A4,QUEAGR,2,,2,,,,,,
B4,UMBCAL,1,,4,,,,,,
B3,UMBCAL,1,,1,,,,,,
B1,UMBCAL,,,2,,,,,,
C1,UMBCAL,1,,,,,,,,
C1,QUEAGR,1,,,,,,,,
C2,QUEAGR,3,,,,,,,,
C2,PSEMEN,,,1,,,,,,
C2,UMBCAL,,,2,,,,,,
C4,PSEMEN,,,1,,,,,,
C4,UMBCAL,1,,,,,,,,
D4,PSEMEN,1,,,,,,,,
D3,PSEMEN,,,1,,,,,,
D2,UMBCAL,,,4,,,,,,
D1,UMBCAL,,,6,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
