Plot ID,PPW1339,,,,Sampler(s),"MFO, MNB, PP, DDA",,,Date ,20130308
Notes,,,,,,,,,,
Quadrant,Species,No. SE <10cm,,No. JU 10-50cm,,No. SE +JU Dead,Comments,,,
D1,QUEDEC,1,,,,,,,,
D1,UMBCAL,,,5,,,,,,
D1,QUEAGR,,,5,,,,,,
D2,UMBCAL,,,3,,,,,,
D2,QUEAGR,,,3,,,,,,
D3,QUEAGR,1,,1,,,,,,
C4,QUEAGR,1,,3,,,,,,
C4,UMBCAL,1,,3,,,,,,
C4,ARBMEN,,,2,,,,,,
C3,QUEAGR,2,,1,,,,,,
C3,UMBCAL,,,4,,,,,,
C3,PSEMEN,,,1,,,,,,
C2,QUEAGR,,,1,,,,,,
C2,UMBCAL,,,2,,,,,,
C1,QUEAGR,2,,5,,,,,,
C1,UMBCAL,2,,4,,,,,,
B1,QUEAGR,,,3,,,,,,
B1,UMBCAL,,,2,,,,,,
B2,QUEAGR,2,,3,,,,,,
B2,UMBCAL,,,3,,,,,,
B3,QUEAGR,1,,5,,,,,,
B3,UMBCAL,,,2,,,,,,
B4,QUEAGR,,,2,,,,,,
B4,HETARB,,,1,,,,,,
B4,UMBCAL,,,2,,,,,,
B4,QUEDEC,,,2,,,,,,
A4,UMBCAL,,,1,,,,,,
A3,ARCMAN,,,1,,,,,,
A3,UMBCAL,,,2,,,,,,
A2,QUEAGR,1,,,,,,,,
A2,UMBCAL,,,1,,,,,,
A1,UMBCAL,1,,,,,,,,
