Plot ID,PPW1340,,,,Sampler(s),"MFO, MMJ",,,Date ,20130220
Notes,,,,,,,,,,
Quadrant,Species,No. SE <10cm,,No. JU 10-50cm,,No. SE +JU Dead,Comments,,,
A1,UMBCAL,1,,4,,,,,,
A1,PSEMEN,2,,9,,,,,,
A2,PSEMEN,5,,12,,,,,,
A2,UMBCAL,2,,9,,,,,,
A2,QUEAGR,,,4,,,,,,
A3,PSEMEN,6,,26,,,,,,
A3,UMBCAL,1,,3,,,,,,
A3,QUEAGR,,,2,,,,,,
A4,PSEMEN,1,,21,,,,,,
A4,UMBCAL,1,,4,,,,,,
B4,UMBCAL,1,,3,,,,,,
B4,PSEMEN,2,,33,,,,,,
B4,QUEAGR,,,5,,,,,,
B4,BACPIL,,,1,,,,,,
B3,PSEMEN,4,,27,,,,,,
B3,UMBCAL,2,,9,,,,,,
B3,QUEAGR,,,6,,,,,,
B3,ARBMEN,,,1,,,,,,
B2,PSEMEN,5,,10,,,,,,
B2,UMBCAL,,,14,,,,,,
B2,QUEAGR,,,1,,,,,,
B1,UMBCAL,,,5,,,,,,
B1,PSEMEN,2,,1,,,,,,
B1,ARBMEN,2,,,,,,,,
C1,PSEMEN,6,,,,,,,,
C1,UMBCAL,,,4,,,,,,
C2,PSEMEN,12,,4,,,,,,
C2,ARBMEN,1,,,,,,,,
C3,PSEMEN,5,,37,,,,,,
C3,BACPIL,,,2,,,,,,
C3,UMBCAL,,,3,,,,,,
C4,PSEMEN,2,,24,,,,,,
C4,ARBMEN,,,1,,,,,,
C4,BACPIL,1,,1,,,,,,
C4,QUEAGR,,,1,,,,,,
C4,UMBCAL,,,2,,,,,,
D4,UMBCAL,,,2,,,,,,
D4,PSEMEN,3,,12,,,,,,
D4,ARBMEN,2,,,,,,,,
D3,UMBCAL,1,,4,,,,,,
D3,PSEMEN,7,,41,,,,,,
D3,ARBMEN,3,,,,,,,,
D3,QUEAGR,,,1,,,,,,
D2,PSEMEN,8,,9,,1,,,,
D2,UMBCAL,,,8,,,,,,
D2,ARBMEN,,,1,,,,,,
D2,QUEAGR,,,1,,,,,,
D1,PSEMEN,7,,2,,1,,,,
D1,UMBCAL,1,,5,,1,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
