Plot ID,PPW1344,,,,Sampler(s),"MFO, MMJ, MFO",,,Date ,20130221
Notes,,,,,,,,,,
Quadrant,Species,No. SE <10cm,,No. JU 10-50cm,,No. SE +JU Dead,Comments,,,
A1,QUEDOU,1,,,,,Matbe a QUEGAR hybrid?,,,
A2,QUEDEC,1,,,,,,,,
A2,QUEAGR,,,1,,,,,,
B2,QUEKEL,1,,2,,,,,,
B2,QUEAGR,,,1,,,,,,
B1,QUEKEL,4,,3,,,,,,
B1,QUEDEC,,,3,,,,,,
C1,QUEKEL,10,,2,,,,,,
C1,QUEDEC,,,3,,,,,,
C2,QUEKEL,1,,2,,,,,,
C2,QUEDEC,,,2,,,,,,
C4,QUEKEL,,,1,,,,,,
D4,QUEKEL,2,,,,,,,,
D3,QUEKEL,1,,1,,,,,,
D2,QUEDEC,1,,,,,,,,
D1,QUEDEC,,,3,,,,,,
D1,QUEKEL,3,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
