Plot ID,PPW1348,,,,Sampler(s),"MFO, MNB, JEC, MMJ, TKM, MJK",,,Date ,20130321
Notes,,,,,,,,,,
Quadrant,Species,No. SE <10cm,,No. JU 10-50cm,,No. SE +JU Dead,Comments,,,
A1,QUEAGR,,,2,,,,,,
A1,QUEDEC,,,1,,,,,,
A1,UMBCAL,,,1,,,,,,
A2,UMBCAL,,,1,,,,,,
A2,PSEMEN,,,1,,,,,,
A2,HETARB,,,1,,,,,,
A3,AMOCAL,,,1,,,,,,
A4,AMOCAL,,,1,,,,,,
A4,UMBCAL,,,2,,,,,,
B4,AMOCAL,,,4,,,,,,
B3,UMBCAL,1,,2,,,,,,
B3,AMOCAL,,,1,,,,,,
B2,UMBCAL,,,2,,,,,,
B2,AMOCAL,,,15,,,,,,
B2,PSEMEN,,,,,1,,,,
B1,PSEMEN,,,1,,,,,,
B1,AMOCAL,,,1,,,,,,
C1,UMBCAL,,,2,,,,,,
C1,QUEAGR,,,1,,,,,,
C1,AMOCAL,,,1,,,,,,
C1,QUEDEC,,,2,,,,,,
C2,QUEDEC,,,1,,,POSSIBLY OREGON,,,
C2,AMOCAL,,,2,,,,,,
C2,UMBCAL,,,1,,,,,,
C3,UMBCAL,,,4,,,,,,
C3,AMOCAL,,,2,,,,,,
C3,QUEDEC,,,1,,,,,,
C4,UMBCAL,,,2,,,,,,
C4,HETARB,,,1,,,,,,
C4,AMOCAL,,,2,,,,,,
D3,QUEDEC,,,1,,,,,,
D4,UMBCAL,,,1,,,,,,
D3,QUEDEC,,,3,,,,,,
D3,UMBCAL,,,5,,,,,,
D3,PSEMEN,1,,1,,,,,,
D2,UMBCAL,,,3,,,,,,
D2,QUEAGR,,,1,,,,,,
D2,HETARB,,,1,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
