Plot ID,PPW1350,,,,Sampler(s),"MFO, MNB, MJP",,,Date ,20130416
Notes,,,,,,,,,,
Quadrant,Species,No. SE <10cm,,No. JU 10-50cm,,No. SE +JU Dead,Comments,,,
A1,UMBCAL,,,1,,,,,,
A1,QUEDEC,,,1,,,INCORRECTLY LABLED 'QUECAL',,,
A2,UMBCAL,,,1,,,,,,
A3,UMBCAL,,,1,,,,,,
A3,HETARB,,,1,,,,,,
A4,UMBCAL,,,3,,,,,,
B4,UMBCAL,,,1,,,,,,
B3,UMBCAL,,,2,,,,,,
B2,HETARB,,,1,,,,,,
B1,PSEMEN,1,,1,,,,,,
B1,QUEDEC,1,,,,,,,,
B1,FRACAL,,,1,,,,,,
B1,AMOCAL,,,2,,,,,,
C1,QUEKEL,,,1,,,,,,
C1,AMOCAL,1,,7,,,,,,
C1,PSEMEN,,,5,,1,,,,
C2,AMOCAL,,,1,,,,,,
C2,PSEMEN,,,1,,,,,,
C2,QUEAGR,,,2,,,,,,
C3,UMBCAL,,,1,,,,,,
C3,QUEAGR,2,,2,,,,,,
C3,AMOCAL,,,1,,,,,,
C4,QUEAGR,,,2,,,,,,
C4,UMBCAL,,,2,,,,,,
D4,UMBCAL,,,2,,,,,,
D4,QUEAGR,,,3,,,,,,
D4,AMOCAL,,,2,,,,,,
D3,QUEAGR,,,2,,,,,,
D3,AMOCAL,,,1,,,,,,
D3,UMBCAL,,,1,,,,,,
D2,AMOCAL,,,1,,,INCORRETLY LABELED ROW C?,,,
D2,QUEAGR,,,2,,,INCORRETLY LABELED ROW C?,,,
D1,QUEAGR,,,1,,,INCORRETLY LABELED ROW C?,,,
D1,FRACAL,1,,,,,INCORRETLY LABELED ROW C?,,,
D1,UMBCAL,,,1,,,INCORRETLY LABELED ROW C?,,,
