Plot ID,   PPW1302,,Sampler(s),"MNB, MFO",,,,,Date ,20130201,,,
Notes,"Need caps for corner posts, Nails for tree tags ",,,,,,,,,,,,
Quad,Type,Tree Tag No.,Species,Confidence ,Dead/ Stump,SA or Stump Height (cm),SA or Stump BD (cm),SA  Branch #,DBH (cm), X (cm),Y (cm),Notes,Stem No
A1,SA ,1024,UMBCAL,1,,64,1.3,1,,22,75,,1
A1,SA ,1027,UMBCAL,1,,128,2.89,1,,314,220,,1
A1,SA ,1028,UMBCAL,1,,108,2.68,1,,250,370,,1
A2, TR,1029,QUEAGR,1,,,,1,64.5,230,0,,1
A2, TR,1029.1,QUEAGR,1,,,,1,49.35,230,0,NW,1
A2, TR,1029.2,QUEAGR,1,,,,1,59.4,230,0,SW,1
A4, TR,1039,QUELOB,0,,,,1,41,135,460,,1
A4, TR,1071,QUEAGR,1,,,,1,21.85,195,440,,1
A4,SA,1030,UMBCAL,1,,57,9.73,1,,382,283,,1
B3,TR,1061,PSEMEN,1,,,,1,2.7,110,385,,1
B2,TR,1094,PSEMEN,1,,,,1,2.15,445,260,,1
B2,TR,1082,PSEMEN,1,,,,1,2.1,385,160,,1
B2,SA,1051,UMBCAL,1,,57,0.81,1,,400,0,,1
B2,SA,1067,BACPIL,1,,56,0.97,1,,78,20,MISSING TAG 20130810 MFO,1
B1,SA,1013,UMBCAL,1,,51,1.05,2,10.49,300,301,,2
B1,SA,1016,UMBCAL,1,,73,1.07,3,10.67,465,107,,3
C1,TR,1096,QUEAGR,1,,,,,59.44,230,322,Tag Height 155cm,
C1,TR,1096.1,QUEAGR,1,,,,,38.7,230,322,Tag Height 158cm,
C1,TR,1096.2,QUEAGR,1,,,,,54.6,230,322,Tag Height 142cm,
C1,SA,1092,UMBCAL,1,,63,1.15,1,,94,430,,1
C1,SA,1081,UMBCAL,1,,97,1.39,3,,367,24,,3
C1,SA,1073,UMBCAL,1,,90,1.75,1,,366,106,,1
C2,SA,1019,UMBCAL,1,,76,2.12,1,,417,307,,1
C3,TR,1097,QUEAGR,1,,,,1,99.3,401,94,Tag Height 157cm; MISSING TAG 20130810 MFO,1
C3,SA ,1031,QUEAGR,1,,78,1.03,3,,334,477,,3
C3,SA ,1023,QUEAGR,1,,53,0.86,2,,351,423,,2
C3,SA ,1026,UMBCAL,1,,64,1.27,1,,477,492,,1
C4,TR,1032,PSEMEN,1,,,,1,1.42,61,221,DBH with calipers,1
C4,SA,1033,QUEAGR,1,,56,1.12,2,,3,411,,2
C4,SA,1025,QUEAGR,1,,109,1.6,1,,306,302,,1
C4,SA,1034,QUEAGR,1,,51,5.66,2,,388,184,,2
D4,SA,1035,QUEAGR,1,,53,6.05,2,,86,29,,2
D2,SA,1040,QUEAGR,1,,122,1.73,1,,337,129,,1
D2,SA,1038,QUEAGR,1,,80,1.62,1,,364,282,,1
D2,SA,1036,QUEAGR,1,,103,1.59,2,,296,299,,2
D2,SA,1037,UMBCAL,1,,67,1.48,2,,116,313,,2
D1,SA,1042,QUEAGR,1,,111,2.62,1,,444,394,,1
D1,SA,1041,QUEAGR,1,,106,1.76,1,,415,407,,1
D1,SA,1043,UMBCAL,1,,93,1.76,1,,393,396,,1
D1,SA,1045,UMBCAL,1,,53,1.44,1,,437,301,,1
D1,TR,1044,UMBCAL,1,,,,,4.07,91,115,"DBH CHANGED TO 4.07, FIELD CHECKED, INCORRECT DECIMAL PLACES; 20130614 MFO",
D1,TR,1044.1,UMBCAL,1,,,,,2.73,91,115,"DBH CHANGED TO 2.73, FIELD CHECKED; 20130614 MFO",
D1,TR,1044.2,UMBCAL,1,,,,,3.78,91,115,"DBH CHANGED TO 3.78, FIELD CHECKED; 20130614 MFO",
D1,TS,1044.3,UMBCAL,1,,165,1.3,2,,91,115,ADDED AFTER 2013 HERB RESURVEY BC INDV INCORRECTLY TAGGED; 20130614,
