Plot ID,PPW1311,,Sampler(s),"MMJ, MNB, MFO, JEC",,,,,Date ,20130214,,
Notes,"Steep western slope, Blue Oak",,,,,,,,,,,
,,,,,,,,,,,,
Quad,Type,Tree Tag No.,Species,Confidence ,Dead/ Stump,SA or Stump Height (cm),SA or Stump BD (cm),SA  Branch #,DBH (cm), X (cm),Y (cm),Notes
A3,TR,1258,ARCMAN,0,,,,,12.9,496,350,Rooted in A3 hangs into B3
A3,TR,1258.1,ARCMAN,0,,,,,10.9,496,350,
A3,TR,1258.2,ARCMAN,0,,,,,7.05,496,350,
A3,TR,1258.3,ARCMAN,0,,,,,10,496,350,
A3,TR,1258.4,ARCMAN,0,,,,,14,496,350,
A3,TR,1258.5,ARCMAN,0,,,,,11.1,496,350,
A3,TR,1258.6,ARCMAN,0,,,,,8.9,496,350,
A3,TR,1258.7,ARCMAN,0,,,,,10,496,350,
A4,TR,1259,QUEDOU,0,,,,,34.2,255,39,
A4,TR,1259.1,QUEDOU,0,,,,,27,255,39,
A4,TR,1259.2,QUEDOU,0,,,,,35.5,255,39,
A4,TR,1260,ARCMAN,0,,,,,8.8,320,120,
A4,TR,1260.1,ARCMAN,0,,,,,6.15,320,120,measured live tagged branch
A4,SA,1261,ARCMAN,0,,173,4.1,3,,323,493,
B1,TR,1262,HETARB,1,,,,,12.8,138,185,
B1,TR,1263,QUEDOU,0,,,,,22.5,210,220,was quedec in aug-sp
B1,TR,1262.1,HETARB,1,,,,,9.3,138,185,
B1,TR,1262.2,HETARB,1,,,,,5.8,138,185,
B1,TS,1262.3,HETARB,1,,97,1.41,3,,138,185,
B1,TS,1262.4,HETARB,1,,83,0.89,1,,138,185,
B1,TS,1262.5,HETARB,1,,102,2.51,4,,138,185,
B1,TS,1262.6,HETARB,1,,51,0.514,1,,138,185,
B1,TS,1262.7,HETARB,1,,76,0.67,1,,138,185,
B1,TS,1262.8,HETARB,1,,57,0.57,1,,138,185,
C1,TR,1264,QUEDOU,0,,,,,30.9,480,470,was quedec in aug-sp
C1,TR,1264.1,QUEDOU,0,,,,,24.4,480,470,was quedec in aug-sp
C2,TR,1265,QUEDOU,0,,,,,26.8,166,423,was quedec in aug-sp
C2,TR,1265.1,QUEDOU,0,,,,,18.8,166,423,was quedec in aug-sp
C2,TR,1266,QUEGAR,0,,,,,25.6,393,423,"was quedec in aug-sp- then quegar, but changed to quedou to match future years- mkqc2022- FIELD CHECKED IN 2023- MK SAYA QUEGAR"
C2,TR,1266.1,QUEGAR,0,,,,,16.5,393,423,"was quedec in aug-sp- then quegar, but changed to quedou to match future years- mkqc2022- FIELD CHECKED IN 2023- MK SAYA QUEGAR"
C2,TR,1267,QUEDOU,0,,,,,26,52,409,was quedec in aug-sp
C4,TR,1268,QUEDOU,0,,,,,36.3,190,239,was quedec in aug-sp
C4,TR,1268.1,QUEDOU,0,,,,,28.2,190,239,was quedec in aug-sp
C4,TR,1268.2,QUEDOU,0,,,,,22.6,190,239,
C4,TR,1269,ARCMAN,1,,,,,18.4,323,251,
C4,TR,1269.1,ARCMAN,1,,,,,15.3,323,251,
C4,TR,1269.2,ARCMAN,1,,,,,11.3,323,251,
D4,TR,1270,QUEDOU,0,,,,,29.1,251,357,
D2,TR,1271,QUEDOU,0,,,,,28.2,126,67,
D2,TR,1271.1,QUEDOU,0,,,,,14,126,67,
D1,TR,1272,QUEDOU,0,,,,,35,474,247,DBH at 150cm
