Plot ID,PPW1312,,Sampler(s),"MMJ, MFO, MNB, JEC",,,,,Date ,20130214,,
Notes,N - FACING MIXED HARDWOOD,,,,,,,,,,,
,,,,,,,,,,,,
Quad,Type,Tree Tag No.,Species,Confidence ,Dead/ Stump,SA or Stump Height (cm),SA or Stump BD (cm),SA  Branch #,DBH (cm), X (cm),Y (cm),Notes
A1,SA,1293,UMBCAL,1,,163,2.48,1,,449,9,
A1,SA,1291,AESCAL,1,,63,1.29,2,,362,35,
A1,SA,1292,UMBCAL,1,,92,1.27,1,,330,34,
A1,SA,1295,UMBCAL,1,,78,1.12,1,,113,2,
A1,SA,1294,UMBCAL,1,,217,1.86,1,,0,149,CHANGED TREE NUM FROM 1277-->1294 AFTER AUG2013 RESURVEY 20130810 MFO
A1,SA,1278,UMBCAL,1,,148,2.06,1,,22,239,
A1,SA,1279,UMBCAL,1,,130,1.61,1,,44,300,
A1,SA,1288,PSEMEN,1,,117,0.79,1,,470,107,
A1,TR,1287,QUEAGR,1,,,,,40,477,195,2 dead branches above 1.4m
A1,SA,1290,AESCAL,1,,151,1.36,1,,370,224,
A1,TR,1289,UMBCAL,1,,,,,1.59,332,258,
A1,SA,1286,UMBCAL,1,,180,2.12,1,,383,351,
A1,SA,1285,BACPIL,1,,141,0.92,1,,471,492,MISSING TAG 20130810 MFO
A1,SA,1284,QUEAGR,1,,106,0.86,1,,452,487,
A1,SA,1282,UMBCAL,1,,91,0.77,1,,308,381,
A1,SA,1274,UMBCAL,1,,140,2.15,1,,258,358,Too tall to measure
,,,,,,,,,,,,
A1,SA,1283,UMBCAL,1,,76,0.75,1,,248,292,
A1,SA,1333,UMBCAL,1,,115,1.06,1,,410,371,
A1,SA,1332,UMBCAL,1,,88,1.21,1,,340,411,
A1,SA,1275,HETARB,1,,140,2.02,2,,138,340,Too tall to measure
A1,SA,1276,UMBCAL,1,,215,1.95,1,,210,181,deleted a dup at 207/191 with same BD and genetic 140cm too tall to measure height mkqc2022
