Plot ID,PPW1320,,Sampler(s),"MFO, MNB, APW",,,,,Date ,20130501,,
Notes,,,,,,,,,,,,
,,,,,,,,,,,,
Quad,Type,Tree Tag No.,Species,Confidence ,Dead/ Stump,SA or Stump Height (cm),SA or Stump BD (cm),SA  Branch #,DBH (cm), X (cm),Y (cm),Notes
A1,TR,4509,QUEGAR,1,,,,,26.6,-61,41,
A1,TR,4511,UMBCAL,1,,,,,3.3,-75,21,
A1,SA,4508,UMBCAL,1,,59,0.75,2,,-89,17,
A1,SA,4510,UMBCAL,1,,83,1.08,1,,-99,54,
A1,TR,,PSEMEN,0,S,,12,,,-100,72,
A1,SA,,PSEMEN,0,S,,1.52,,,-162,164,
A1,TR,,PSEMEN,0,S,,12.5,,,-70,206,
A1,TR,4512,HETARB,1,,,,,1.94,-202,18,
A1,TR,4512.1,HETARB,1,,,,,1.3,-202,18,
A1,TS,4512.2,HETARB,1,,226,1.37,6,,-202,18,
A1,TR,4513,ARBMEN,1,,,,,4.3,-227,9,
A1,TR,4514,FRACAL,1,,,,,1.78,185,8,
A1,TR,4515,HETARB,1,,,,,1.62,116,87,
A1,SA,4516,FRACAL,1,,186,1.27,1,,102,120,INPUTED 1 IN 'SA BRANCH #'
A1,TS,4514.1,FRACAL,1,,193,1.09,1,,185,8,
A1,TS,4515.1,HETARB,1,,28,0.7,1,,116,87,
A1,TR,4517,HETARB,1,,,,,1.15,67,79,
A1,TS,4517.1,HETARB,1,,248,1.61,10,,67,79,
A1,SA,4523,FRACAL,1,,126,0.95,1,,59,236,
A1,SA,4522,AMOCAL,1,,113,0.88,3,,95,248,WAS FRACAL- CHANGED TO AMOCAL AUG NAMES
A1,SA,4520,UMBCAL,1,,207,1.72,2,,111,209,
A1,SA,4521,ARBMEN,1,,90,1.78,1,,132,-243,
A1,SA,4622,AMOCAL,1,,163,0.9,3,,119,-76,
A1,SA,4524,FRACAL,1,,214,2.24,1,,82,-19,
A1,SA,4525,AMOCAL,1,,145,0.98,2,,157,-52,
A1,TR,4527,AMOCAL,1,,,,,1.69,231,-42,
A1,TR,4527.1,AMOCAL,1,,,,,1.05,231,-42,
A2,TS,4526,QUEAGR,1,,67,0.63,1,,167,15,IN A2 ; INPUTED 1 IN 'SA BRANCH #'
,,,,,,,,,,,,
A1,SA,4519,HETARB,1,,95,0.66,3,,-999,154,
A1,SA,4518,FRACAL,1,,77,0.61,4,,-999,192,
A1,SA,4528,FRACAL,1,,206,1.69,4,,-999,297,
A2,TR,,PSEMEN,0,S,,2.75,,,-39,-165,
A2,TR,,PSEMEN,0,S,,13,,,-51,14,
A2,TR,4529,HETARB,1,,,,,3.3,-53,59,3  MORE BRANCHES APPROX. SAME SIZE
A2,TR,4529.1,HETARB,1,,,,,2.11,-53,59,1  MORE BRANCH APPROX. SAME SIZE
A2,TR,4529.2,HETARB,1,,,,,1.94,-53,59,2  MORE BRANCHES APPROX. SAME SIZE
A2,TR,4529.3,HETARB,1,,,,,1.5,-53,59,1  MORE BRANCH APPROX. SAME SIZE
A2,TR,4529.4,HETARB,1,,,,,2.12,-53,59,
A2,TS,4529.5,HETARB,1,,80,0.61,4,,-53,59,
A2,SA,4530,UMBCAL,1,,67,0.87,1,,-70,108,
A2,SA,4532,FRACAL,1,,223,1.36,1,,249,141,
A2,TR,4534,UMBCAL,1,,,,,1.55,213,238,
A2,SA,4535,FRACAL,1,,241,2.07,1,,194,264,
A2,TR,4536,QUEAGR,1,,,,,1.21,79,224,
A2,SA,4533,FRACAL,1,,225,1.63,2,,64,203,
A2,SA,4537,AMOCAL,1,,221,0.98,2,,25,236,
A2,TS,4536.1,QUEAGR,1,,165,1.32,1,,79,224,
A2,SA,4540,FRACAL,1,,199,1.61,1,,163,-224,
A2,SA,4539,QUEAGR,1,,57,0.49,1,,133,-203,
A2,SA,4538,UMBCAL,1,,205,1.24,1,,74,-108,
A2,TR,4541,QUEGAR,1,,,,,30.1,109,-75,WAS QUEAGR CHANGED TO MATCH AUG NAMES
A2,TR,,PSEMEN,0,S,,8,,,169,-46,
A2,TR,4544,HETARB,1,,,,,2.53,-200,-140,
A2,TR,4544.1,HETARB,1,,,,,1.53,-200,-140,
A2,TR,4544.2,HETARB,1,,,,,1.58,-200,-140,
A2,TR,4544.3,HETARB,1,,,,,1.19,-200,-140,
,,,,,,,,,,,,
A2,TS,4544.4,HETARB,1,,85,0.62,6,,-200,-140,
A2,TR,4544.5,HETARB,1,,,,,1.16,-200,-140,ON GROUND UNDER DEBRIS
A2,TR,,PSEMEN,0,D,,7.75,,,-188,-81,
A2,TR,4546,HETARB,1,,,,,1.86,-229,-19,
A2,TR,4546.1,HETARB,1,,,,,1.41,-229,-19,
A2,TR,4546.2,HETARB,1,,,,,1.46,-229,-19,
A2,TR,4546.3,HETARB,1,,,,,1.18,-229,-19,
A2,TS,4546.4,HETARB,1,,247,1.11,8,,-229,-19,
A2,SA,4531,FRACAL,1,,90,0.85,4,,-51,-24,
A3,SA,4610,UMBCAL,1,,70,0.61,1,,-24,6,
A3,SA,4609,HETARB,1,,225,1.89,4,,-25,8,
A3,SA,4543,FRACAL,1,,116,0.61,1,,-117,-183,
A3,SA,4564,FRACAL,1,,63,0.46,1,,-112,-86,
A3,TR,4545,QUEAGR,1,,,,,27.5,-96,-61,
A3,SA,4550,HETARB,1,,62,0.43,1,,163,-110,
A3,SA,4565,UMBCAL,1,,53,0.62,1,,175,-80,
A3,SA,4566,UMBCAL,1,,65,0.62,1,,167,-64,
A3,TR,4568,HETARB,1,,,,,1.49,80,-147,
A3,TR,4568.1,HETARB,1,,,,,1.66,80,-147,2  MORE BRANCHES APPROX. SAME SIZE
A3,TS,4568.2,HETARB,1,,281,1.64,7,,80,-147,
A3,SA,4621,FRACAL,1,,214,1.98,1,,23,-118,
A3,SA,,HETARB,0,D,205,1.29,1,,113,202,
A3,SA,,PSEMEN,1,D,131,0.81,1,,91,163,
A3,SA,,PSEMEN,1,D,135,0.97,1,,71,178,
A3,TR,4549,HETARB,1,,,,,3.85,122,126,
A3,TR,4549.1,HETARB,1,,,,,1.68,122,126,1  MORE BRANCH APPROX. SAME SIZE
A3,TR,4549.2,HETARB,1,,,,,1.44,122,126,
A3,TR,4549.3,HETARB,1,,,,,1.58,122,126,
A3,TS,4549.4,HETARB,1,,200,1.23,6,,122,126,
,,,,,,,,,,,,
A3,TR,4548,ARBMEN,1,,,,,3.5,122,157,
A3,TR,4542,FRACAL,1,,,,,1.66,49,98,
A3,TR,4547,UMBCAL,1,,,,,1.69,207,114,
A3,SA,,PSEMEN,1,D,129,1.34,1,,218,133,
A4,TR,4569,QUEAGR,1,,,,,30.2,-115,61,
A4,SA,4581,FRACAL,1,,84,0.53,1,,-190,43,
A4,SA,4582,UMBCAL,1,,154,1.68,1,,-188,44,
A4,TR,,PSEMEN,1,D,,1.6,,,-171,73,BROKEN
A4,SA,4580,UMBCAL,1,,101,0.87,1,,-145,130,
A4,SA,4578,FRACAL,1,,167,1.03,1,,-176,152,
A4,SA,4579,FRACAL,1,,185,1.32,3,,-185,183,
A4,SA,4560,HETARB,1,,170,0.97,3,,-215,166,
A4,SA,4561,FRACAL,1,,197,2.08,1,,211,100,
A4,SA,4562,FRACAL,1,,222,1.81,6,,174,69,
A4,SA,4563,FRACAL,1,,195,1.28,1,,140,14,
A4,TR,4577,PSEMEN,1,,,,,111.5,115,-139,ORIGINALLY 111.5 BUT THIS IS MOST LIKELY WRONG--> NOT WRONG!!! 20130810 MFO
