Plot ID,PPW1323,,Sampler(s),"MFO, MNB, Map, PP, JSF",,,,,Date ,20130301,,
Notes,"***Was incorrectly called PPW1312, and then incorrectly called PPW1314 --> really PPW1323 201300811 MFO",,,,,,,,,,,
Quad,Type,Tree Tag No.,Species,Confidence ,Dead/ Stump,SA or Stump Height (cm),SA or Stump BD (cm),SA  Branch #,DBH (cm), X (cm),Y (cm),Notes
A1,TR,1907,QUEAGR,1,,,,,18.2,42,180,
A1,TR,1909,QUEAGR,1,,,,,29.7,-142,157,
A1,TR,1909.1,QUEAGR,1,,,,,23,-142,157,
A1,TR,1931,QUEAGR,1,,,,,37.3,-35,-29,
B2,TR,1924,QUEDEC,0,,,,,19.5,-139,-187,
B2,TR,1925,QUEDEC,0,,,,,25,-23,-51,
C1,TR,1963,QUEDEC,0,,,,,16.7,233,48,
C2,TR,1964,QUEAGR,1,,,,,41.35,-214,62,
C2,TR,1964.1,QUEAGR,1,,,,,32.8,-214,62,
C2,TR,1964.2,QUEAGR,1,,,,,24.8,-214,62,
C3,TR,1923,QUEAGR,1,,,,,41.85,-197,-225,
C3,TR,1922,QUEDEC,0,,,,,38.6,-63,-205,
D1,TR,1965,QUEDEC,0,,,,,29.95,-129,162
