Plot ID,PPW1324,,Sampler(s),"MFO, MNB",,,,,Date ,20130313,,
Notes,,,,,,,,,,,,
,,,,,,,,,,,,
Quad,Type,Tree Tag No.,Species,Confidence ,Dead/ Stump,SA or Stump Height (cm),SA or Stump BD (cm),SA  Branch #,DBH (cm), X (cm),Y (cm),Notes
A1,SA,2713,UMBCAL,1,,72,1.81,4,,102,36,
A1,SA,2694,PSEMEN,1,,90,1.53,1,,-251,123,
A2,TR,2721,QUEGAR,0,,,,,40.7,222,-217,
A3,TR,,ARBMEN,0,D,,,,8.8,229,117,
A3,TR,2722,ARBMEN,1,,,,,36.35,155,-217,
A3,TR,2722.1,ARBMEN,1,,,,,26.4,155,-217,
A3,TR,2723,QUEKEL,1,,,,,13.2,119,-34,
A4,SA,2724,PSEMEN,1,,102,2.09,1,,131,-122,
B4,TR,,QUEDEC,0,D,,,,34.8,131,179,
B4,TR,2725,QUEKEL,1,,,,,30.8,-217,45,
C3,TR,2726,QUEGAR,0,,,,,47.95,154,273,
C3,TR,2727,QUEAGR,1,,,,,43.05,-101,-40,
C4,SA,2728,PSEMEN,1,,64,0.78,1,,-231,-92,
D4,SA,2729,PSEMEN,1,,51,1.02,1,,34,-108,
D4,SA,2730,PSEMEN,1,,55,0.83,1,,191,-112,
D4,TR,2731,QUEAGR,1,,,,,12.1,-63,278,
D4,TR,2731.1,QUEAGR,1,,,,,11.85,-63,278,
D3,TR,2732,QUEAGR,0,,,,,22,-125,-16,changing to queagri from quegar to match future yrs- dead so cant confirm- mkqc2022
D3,TR,2733,QUEAGR,1,,,,,13.2,-124,-140,
D2,TR,2735,QUEKEL,1,,,,,36.05,159,-32,DBH AT 110cm
D2,TR,2736,QUEKEL,1,,,,,23.4,164,-82,
D2,TR,2737,QUEKEL,1,,,,,17.2,-293,-68,
D2,SA,2734,PSEMEN,1,,97,1.79,1,,-97,-275,
D1,SA,2738,PSEMEN,1,,62,1.12,2,,116,22,
