Plot ID,PPW1325,,Sampler(s),"MFO,MNB",,,,,Date ,20130405,,
Notes,,,,,,,,,,,,
,,,,,,,,,,,,
Quad,Type,Tree Tag No.,Species,Confidence ,Dead/ Stump,SA or Stump Height (cm),SA or Stump BD (cm),SA  Branch #,DBH (cm), X (cm),Y (cm),Notes
A1,TR,3940,QUEDOU,0,,,,,50.6,-85,128,DBH AT 95 CM
A1,TR,3941,QUEDOU,0,,,,,23.1,70,263,DBH AT 148 CM
A2,TR,3950,ARCMAN,1,,,,,13.3,-181,-144,DBH AT 115; FOUR DEAD BRANCHES
A2,TR,3942,QUEAGR,1,,,,,29.5,197,-41,
A2,TR,3942.1,QUEAGR,1,,,,,20.4,197,-41,
A2,TR,3943,QUEDOU,0,,,,,10,46,-30,
A3,TR,3951,ARCMAN,1,,,,,14.2,59,-167,SOME DEAD BRANCHES
A3,TR,3951.1,ARCMAN,1,,,,,12.85,59,-167,
A4,TR,3952,QUEDOU,0,,,,,26.9,255,-157,changed from Quegar to match future years -mkqc2022
A4,TR,3952.1,QUEDOU,0,,,,,27.9,255,-157,changed from Quegar to match future years -mkqc2022
A4,TR,4001,QUEDOU,0,,,,,18.4,154,-49,
B4,TR,4002,QUEGAR,0,,,,,19.95,261,178,
B3,TR,4003,ARCMAN,1,,,,,15.8,-192,-109,DBH AT 150 CM; 1 DEAD BRANCH
B3,TR,4003.1,ARCMAN,1,,,,,11.5,-192,-109,DBH AT 135 
B3,TR,4004,ARCMAN,1,,,,,13,-225,-163,SOME DEAD BRANCHES
B3,TR,4005,ARCMAN,1,,,,,9.9,21,149,2 DEAD BRANCHES
B2,TR,,PSEMEN,0,S,,3.4,,,61,82,
B2,TR,4006,QUEDOU,0,,,,,16.7,38,134,DBH AT 150 CM; HYBRID?
C2,TR,4007,QUEDOU,0,,,,,25.65,19,19,DBH AT 148 CM
C2,TR,4008,QUEDOU,0,,,,,42.45,24,186,BDH AT 148 CM; HYBRID?
C2,TR,4009,QUEGAR,0,,,,,16.2,-50,253,
C2,TR,4009.1,QUEGAR,0,,,,,10.3,-50,253,
C3,TR,,ARCMAN,0,S,,19,,,-238,92,
C4,TR,4010,QUEDOU,0,,,,,39.8,147,31,DBH AT 132 CM- changed from Quegar to match future years -mkqc2022
D3,TR,4011,QUEDOU,0,,,,,22.9,192,14,
D2,TR,4012,QUEDOU,0,,,,,28.1,140,130,
D1,TR,4013,QUEDOU,0,,,,,21.05,173,84,
D1,TR,,ARCMAN,1,D,,14,,,-168,264,
D1,TR,,ARCMAN,1,D,,13,,,-191,-115,
D1,TR,4014,QUEGAR,0,,,,,32.3,-54,320,INPUTED 4014 AS TREE NUM AFTER AUG2013 RESURVEY 20130810 MFO
