Plot ID,PPW1329,,Sampler(s),"MFO, MNB, JSF, PAP",,,,,Date ,20130315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quad,Type,Tree Tag No.,Species,Confidence ,Dead/ Stump,SA or Stump Height (cm),SA or Stump BD (cm),SA  Branch #,DBH (cm), X (cm),Y (cm),Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1,TR,2881,QUEAGR,1,,,,,24.7,-14,-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1,TR,2881.1,QUEAGR,1,,,,,15.6,-14,-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1,TR,2881.2,QUEAGR,1,,,,,21.7,-14,-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1,TR,2881.3,QUEAGR,1,,,,,18.3,-14,-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A3,TR,,QUEAGR,1,D,,32,,,138,36,BD at ~ 10cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A3,TR,2882,QUEAGR,1,,,,,50.8,-200,220,DBH at 130cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A4,TR,2883,QUEAGR,1,,,,,25,82,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A4,TR,2883.1,QUEAGR,1,,,,,24,82,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A4,TR,2883.2,HETARB,1,,,,,19,82,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A4,TR,2884,HETARB,1,,,,,12.2,82,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A4,TR,2884.1,HETARB,1,,,,,11.1,82,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A4,TR,2884.2,HETARB,1,,,,,7.8,82,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A4,TR,2885,QUEDEC,0,,,,,25.9,-83,-73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B3,TR,2886,QUEAGR,1,,,,,28.2,129,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B3,TR,2886.1,QUEAGR,1,,,,,19.9,129,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B2,TR,2888,QUEAGR,1,,,,,47,262,-64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B2,TR,2888.1,QUEAGR,1,,,,,33,262,-64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B2,TR,2887,QUEAGR,1,,,,,25.9,229,332,DBH at 115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B2,TR,,QUEAGR,0,D,,47,,,44,-181,BD at ~ 10cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C2,TR,2889,QUEAGR,1,,,,,89,-119,-174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C2,TR,2889.1,QUEAGR,1,,,,,24.8,-119,-174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C3,TR,2890,QUEKEL,0,,,,,15.9,-230,270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C3,TR,2891,QUEDEC,0,,,,,25.7,-185,-94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C4,TR,2892,QUEDEC,0,,,,,19.7,25,157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D4,TR,2893,QUEAGR,1,,,,,34,73,233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D4,SA,2894,PSEMEN,1,,54,0.95,1,,-164,-112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D4,TR,2896,QUEAGR,1,,,,,36.2,-36,335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D4,TR,2895,QUEAGR,1,,,,,24.4,-40,-78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D4,TR,2895.1,QUEAGR,1,,,,,29.4,-40,-78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D3,TR,2897,QUEAGR,1,,,,,28.5,-48,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D3,TR,2897.1,QUEAGR,1,,,,,31.5,-48,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D2,TR,,QUEXXX,0,D,,,,16.2,175,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D2,TR,,QUEXXX,0,D,,,,20.4,185,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D1,TR,2898,QUEAGR,1,,,,,40.3,-361,222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D1,TR,2899,QUEAGR,1,,,,,23.4,115,133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D1,TR,2898.1,QUEAGR,1,,,,,20.6,-361,222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D1,TR,2900,QUEAGR,1,,,,,32.9,62,215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
