Plot ID,PPW1333,,Sampler(s),"MFO, MNB, JSF, JAR",,,,,Date ,20130321/20130327,,
Notes,,,,,,,,,,,,
,,,,,,,,,,,,
Quad,Type,Tree Tag No.,Species,Confidence ,Dead/ Stump,SA or Stump Height (cm),SA or Stump BD (cm),SA  Branch #,DBH (cm), X (cm),Y (cm),Notes
A1,SA,3327,PSEMEN,1,,130,1.74,1,,176,135,CHANGED 'TYPE' TO SA OR TR INSTEAD OF ALL THREE; MFO 20130603
A1,SA,3339,UMBCAL,1,,68,0.83,1,,245,274,CHANGED 'TYPE' TO SA OR TR INSTEAD OF ALL THREE; MFO 20130604
A1,SA,3340,UMBCAL,1,,82,0.82,1,,253,-199,CHANGED 'TYPE' TO SA OR TR INSTEAD OF ALL THREE; MFO 20130605
A1,TR,3343,QUEKEL,1,,,,,22.3,222,-192,CHANGED 'TYPE' TO SA OR TR INSTEAD OF ALL THREE; MFO 20130606
A1,TR,3344,QUEKEL,1,,,,,28.5,222,-141,CHANGED 'TYPE' TO SA OR TR INSTEAD OF ALL THREE; MFO 20130607
A1,TR,3342,UMBCAL,1,,,,,21.3,150,-123,CHANGED 'TYPE' TO SA OR TR INSTEAD OF ALL THREE; MFO 20130608
A1,TR,3342.1,UMBCAL,1,,,,,2.82,150,-123,CHANGED 'TYPE' TO SA OR TR INSTEAD OF ALL THREE; MFO 20130609
A1,TR,3342.2,UMBCAL,1,,,,,3.82,150,-123,CHANGED 'TYPE' TO SA OR TR INSTEAD OF ALL THREE; MFO 20130610
A1,SA,3345,UMBCAL,1,,59,0.7,1,,186,-28,CHANGED 'TYPE' TO SA OR TR INSTEAD OF ALL THREE; MFO 20130611
A2,SA,3341,UMBCAL,1,,62,0.58,1,,112,1,CHANGED 'TYPE' TO SA OR TR INSTEAD OF ALL THREE; MFO 20130612
A2,SA,3347,UMBCAL,1,,60,0.71,1,,43,-117,CHANGED 'TYPE' TO SA OR TR INSTEAD OF ALL THREE; MFO 20130613
A2,SA,3346,UMBCAL,1,,59,0.62,1,,-95,-228,CHANGED 'TYPE' TO SA OR TR INSTEAD OF ALL THREE; MFO 20130614
A3,TR,3348,QUEKEL,1,,,,,46.5,-168,196,CHANGED 'TYPE' TO SA OR TR INSTEAD OF ALL THREE; MFO 20130615
A4,SA,3349,UMBCAL,1,,60,1.77,2,,-66,-50,CHANGED 'TYPE' TO SA OR TR INSTEAD OF ALL THREE; MFO 20130616
B4,SA,3351,UMBCAL,1,,71,1.35,1,,-170,114,CHANGED 'TYPE' TO SA OR TR INSTEAD OF ALL THREE; MFO 20130617
B4,TR,3350,QUEAGR,1,,,,,43.45,-120,163,CHANGED 'TYPE' TO SA OR TR INSTEAD OF ALL THREE; MFO 20130618
B4,SA,3352,UMBCAL,1,,73,1.31,1,,-188,1,CHANGED 'TYPE' TO SA OR TR INSTEAD OF ALL THREE; MFO 20130619
B3,SA,3361,UMBCAL,1,,74,0.32,2,,-35,87,CHANGED 'TYPE' TO SA OR TR INSTEAD OF ALL THREE; MFO 20130620
,,,,,,,,,,,,
B3,SA,3354,UMBCAL,1,,76,1.13,2,,-76,-70,
B3,SA,3360,UMBCAL,1,,66,0.67,2,,-43,140,
B3,SA,3355,UMBCAL,1,,57,0.93,1,,-135,-139,
B3,SA,3359,UMBCAL,1,,53,0.71,2,,209,229,
B3,SA,3358,UMBCAL,1,,89,1.15,7,,-128,-205,
B3,SA,3356,UMBCAL,1,,55,0.59,1,,-13,-139,
B2,SA,3388,UMBCAL,1,,71,0.5,2,,-63,-17,20130327 START 
B2,TR,3363,QUEKEL,0,,,,,54.9,210,156,
B1,SA,3365,UMBCAL,1,,81,0.91,1,,205,156,
B1,TR,3366,QUEDEC,0,,,,,29.6,159,56,SAME DBH IS CORRECT
B1,TR,3364,UMBCAL,1,,,,,29.6,62,157,SAME DBH IS CORRECT
C1,SA,3367,UMBCAL,1,,78,1.37,3,,122,-88,
C1,TR,3371,QUEDEC,0,,,,,36.8,89,-70,
C1,TR,3372,QUEAGR,1,,,,,2.63,89,-65,
C1,TR,3372.1,QUEAGR,1,,,,,2.11,89,-65,
C1,TR,3372.2,QUEAGR,1,,,,,1.59,89,-65,
C1,TR,3372.3,QUEAGR,1,,,,,1.43,89,-65,
C1,TR,3372.4,QUEAGR,1,,,,,1.27,89,-65,
,,,,,,,,,,,,
C1,TR,3368,QUEGAR,0,,,,,33,193,-240,
C1,SA,3369,UMBCAL,1,,109,1.12,3,,-81,-65,
C1,TR,3370,QUEAGR,1,,,,,23.3,-110,-39,
C2,SA,3373,UMBCAL,1,,107,1.14,3,,-167,-253,
C2,TR,3362,UMBCAL,1,,,,,27.6,29,-43,
C3,SA,3357,UMBCAL,1,,110,1.18,1,,6,-161,
C3,SA,3378,UMBCAL,1,,84,0.78,1,,94,-94,
C3,TR,3374,UMBCAL,1,,,,,29,254,181,
C3,TR,3374.1,UMBCAL,1,,,,,5.49,254,181,
C3,TR,3374.2,UMBCAL,1,,,,,5.06,254,181,
C3,TS,3374.3,UMBCAL,1,,109,2.16,3,,254,181,
C3,SA,3377,UMBCAL,1,,52,0.7,1,,-181,57,
C3,SA,3376,UMBCAL,1,,69,0.74,1,,-98,59,
C3,SA,3375,UMBCAL,1,,73,0.8,1,,-65,162,
C4,SA,3353,UMBCAL,1,,58,1.09,1,,58,97,
C4,SA,3379,UMBCAL,1,,77,1.01,1,,-102,73,
D4,SA,3380,UMBCAL,1,,63,0.74,1,,17,79,
D4,SA,3381,PSEMEN,1,,81,1.34,1,,44,32,
,,,,,,,,,,,,
D4,SA,3382,PSEMEN,1,,198,3.87,1,,105,183,
D4,SA,3387,UMBCAL,1,,54,1.07,1,,163,223,
D4,SA,3389,UMBCAL,1,,64,0.96,1,,-57,-243,
D4,SA,3385,UMBCAL,1,,78,1.54,1,,-106,162,
D4,SA,3384,UMBCAL,1,,95,1.43,1,,-155,102,
D4,TR,3386,QUEAGR,1,,,,,11.65,-173,93,
D4,SA,3383,UMBCAL,1,,106,1.65,1,,-199,66,
D4,TR,3386.1,QUEAGR,1,,,,,13.3,-173,93,
D3,SA,3394,UMBCAL,1,,67,0.92,4,,75,-46,
D3,SA,3393,UMBCAL,1,,56,0.71,4,,108,-132,
D3,TR,3391,QUEGAR,1,,,,,40.7,107,-148,
D3,SA,3392,UMBCAL,1,,95,1.56,1,,105,-184,
D3,SA,3395,UMBCAL,1,,71,0.77,1,,21,-190,chnanged from 3393 based on 2018 xy qc2022mk
D3,TR,,UMBCAL,0,D,,,,18,16,-319,
D3,SA,3396,UMBCAL,1,,87,1.15,2,,54,-317,
D3,TR,,QUEDEC,0,D,,,,35.1,-145,-160,
D3,SA,3390,UMBCAL,1,,64,1.31,1,,-101,-152,
D2,TR,3399,QUEAGR,1,,,,,12.2,235,-32,
D2,TR,3399.1,QUEAGR,1,,,,,6.66,235,-32,
D2,TR,3399.2,QUEAGR,1,,,,,3.44,235,-32,
D1,TR,3398,QUEDEC,1,,,,,11.3,-235,-187,
