Plot ID,PPW1334,,Sampler(s),"MFO, MNB, MMJ, MJP",,,,,Date ,20130313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quad,Type,Tree Tag No.,Species,Confidence ,Dead/ Stump,SA or Stump Height (cm),SA or Stump BD (cm),SA  Branch #,DBH (cm), X (cm),Y (cm),Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A2,TR,2631,QUEGAR,0,,,,,38.1,121,181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A2,TR,2632,QUEGAR,0,,,,,34,210,249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A2,TR,2634,QUEGAR,0,,,,,36.2,54,-48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A2,TR,2634.1,QUEGAR,0,,,,,29.9,54,-48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A2,SA,2633,UMBCAL,1,,66,0.86,2,,193,-176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A4,TR,2635,QUEGAR,0,,,,,25.8,-209,141,"Thick poison Oak wrapped around 2635, inflating DBH measure",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A4,TR,2636,QUEGAR,0,,,,,22,-230,-39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B4,TR,2637,QUEGAR,0,,,,,15.9,1.37,-104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B4,TR,2638,QUEGAR,0,,,,,27.9,277,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B4,TR,2638.1,QUEGAR,0,,,,,19.55,277,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B4,TR,2638.2,QUEGAR,0,,,,,26.1,277,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B3,TR,2639,AESCAL,1,,,,,14.4,121,-94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B3,TR,2639.1,AESCAL,1,,,,,3.59,121,-94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B3,TR,2640,QUEGAR,0,,,,,24.3,209,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B3,TR,2640.1,QUEGAR,0,,,,,27.6,209,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B3,TR,2640.2,QUEGAR,0,,,,,23.8,209,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C2,TR,2641,QUEGAR,0,,,,,25.35,166,122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C2,TR,2642,QUEGAR,0,,,,,23.1,234,163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C3,TR,2643,QUEGAR,0,,,,,21.4,-58,167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C4,TR,2644,QUEGAR,0,,,,,24.3,86,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C4,TR,2645,QUEGAR,0,,,,,22.9,-271,236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D4,TR,2646,QUEGAR,0,,,,,20.55,-203,109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D4,TR,2647,QUEGAR,0,,,,,19.95,-126,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D3,TR,2648,QUEGAR,0,,,,,22.55,21,241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D3,TR,2649,QUEGAR,0,,,,,22.65,-172,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D3,TR,2650,QUEGAR,0,,,,,23.75,-26,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D2,TR,2651,QUEGAR,0,,,,,17.35,-171,-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D2,TR,2652,QUEGAR,0,,,,,19.1,-59,-231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D2,TR,2653,QUEGAR,0,,,,,28.55,-112,195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D1,TR,2654,QUEGAR,0,,,,,37.25,-119,-118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D1,TR,2655,AESCAL,1,,,,,15,-236,238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D1,TR,2655.1,AESCAL,1,,,,,7.4,-236,238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D1,TR,2656,QUEGAR,0,,,,,22.2,269,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D1,TR,2658,QUEGAR,0,,,,,23.6,292,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D1,TR,2657,QUEGAR,0,,,,,33.25,-164,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D1,TR,2659,QUEGAR,0,,,,,32.4,-92,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
