Plot ID,PPW1340,,Sampler(s),"MFO, MNB, MMJ, KMG, DEH",,,,,Date,20130220,,
Notes,"Lower SW slope, Doug fir forest, D fir removal, * come back for silver tags",,,,,,,,,,,
,,,,,,,,,,,,
Quad,Type,Tree Tag No.,Species,Confidence ,Dead/ Stump,SA or Stump Height (cm),SA or Stump BD (cm),SA  Branch #,DBH (cm), X (cm),Y (cm),Notes
A1,TR,1610,QUEAGR,1,,,,,23.4,133,152,
A1,TR,1611,QUEAGR,1,,,,,25.9,247,111,
A1,SA,1612,UMBCAL,1,,63,0.67,1,,91,70,
A1,SA,1613,UMBCAL,1,,210,1.8,2,,46,130,growing along the ground
A1,SA,1614,UMBCAL,1,,69,1.09,2,,186,91,
A1,SA,1615,UMBCAL,1,,83,0.97,2,,288,155,
A1,SA,1616,UMBCAL,1,,106,1.3,1,,-84,-242,
A1,TR,1617,UMBCAL,1,,,,,3.67,112,-4,
A1,SA,1618,UMBCAL,1,,96,0.81,1,,105,-81,
A1,SA,1619,UMBCAL,1,,90,0.85,1,,45,-68,stump sprout of lopped tree
A2,SA,1620,PSEMEN,1,,113,1.02,1,,-113,113,
A2,TR,1621,ARBMEN,1,,,,,6.49,225,60,attached cropped dead branch
A2,SA,1622,PSEMEN,1,,170,1.62,1,,202,83,
A2,SA,1623,PSEMEN,1,,58,0.34,1,,131,500,
A2,SA,1624,UMBCAL,1,,70,1.13,1,,-35,-127,
A3,SA,1626,PSEMEN,1,,63,0.58,1,,170,90,
A3,SA,1627,PSEMEN,1,,66,0.53,1,,-29,69,
A3,SA,1628,PSEMEN,1,,68,0.59,1,,-210,262,
A3,TR,1629,PSEMEN,0,S,72,0.58,1,,-81,-31,
A3,TR,1630,UMBCAL,1,,,,1,23.6,150,-70,DBH at 120cm; REMOVED 1630.13 & 1630.8 MFO 20130617
A3,TR,1630.1,UMBCAL,1,,,,1,8.8,150,-70,
A3,TR,1630.01,UMBCAL,1,,,,1,1.18,150,-70,"changed .1 with smaller dbh to .01, in field TAG says .10-changing here to match other years -2022 qc MK"
A3,TR,1630.11,UMBCAL,1,,,,1,1.25,150,-70,
A3,TR,1630.12,UMBCAL,1,,,,1,1.35,150,-70,
A3,TR,1630.14,UMBCAL,1,,,,1,8.8,150,-70,
A3,TR,1630.15,UMBCAL,1,,,,1,6.9,150,-70,
A3,TR,1630.16,UMBCAL,1,,,,1,8.8,150,-70,
A3,TR,1630.17,UMBCAL,1,,,,1,2.58,150,-70,DBH at 120cm
A3,TR,1630.18,UMBCAL,1,,,,1,3.45,150,-70,
A3,TR,1630.19,UMBCAL,1,,,,1,2.22,150,-70,
A3,TR,1630.02,UMBCAL,1,,,,1,4.5,150,-70,"changed .2 with smaller dbh to .02, in field TAG says .20-changing here to match other years -2022 qc MK"
A3,TR,1630.2,UMBCAL,1,,,,1,10.2,150,-70,
A3,TR,1630.21,UMBCAL,1,,,,1,1.25,150,-70,
A3,TR,1630.22,UMBCAL,1,,,,1,1.32,150,-70,
A3,TS,1630.23,UMBCAL,1,,147,1.45,1,,150,-70,POSSIBLY REMOVED 20130617 MFO
A3,TR,1630.24,UMBCAL,1,,,,1,1.34,150,-70,
A3,TR,1630.3,UMBCAL,1,,,,1,14.3,150,-70,
A3,TR,1630.4,UMBCAL,1,,,,1,2.58,150,-70,
A3,TR,1630.5,UMBCAL,1,,,,1,3.76,150,-70,
A3,TR,1630.6,UMBCAL,1,,,,1,1.8,150,-70,
A3,TS,1630.7,UMBCAL,1,,175,1.77,1,,150,-70,
A3,TR,1630.9,UMBCAL,1,,,,,4.14,150,-70,
A3,SA,1631,PSEMEN,1,,59,0.34,1,,165,81,
A3,SA,1632,PSEMEN,1,,151,0.75,4,,72,-164,CHANGED BRANCH NUMBER TO 4 AFTER RETAGGED; 20130617 MFO
A3,TR,1633,UMBCAL,1,,,,,5.26,16,170,Other stumps sprouts outside of the plot--> ENTIRE INDIVIDUAL RETAGGED ON 2013 HERB RESURVEY; MFO 20130617
A3,TR,1633.1,UMBCAL,1,,,,,2.66,16,170,
A3,TR,1633.2,UMBCAL,1,,,,,1.3,16,170,
A3,TR,1633.3,UMBCAL,1,,,,,1.21,16,170,
A3,TR,1633.4,UMBCAL,1,,,,,1.91,16,170,
A3,TR,1633.5,UMBCAL,1,,,,,1.24,16,170,
A3,TR,1633.6,UMBCAL,1,,,,,1.53,16,170,
A3,TR,1633.7,UMBCAL,1,,,,,2.05,16,170,
A3,TR,1633.8,UMBCAL,1,,,,,2.13,16,170,
A3,TR,1633.9,UMBCAL,1,,,,,1.1,16,170,
A3,TS,1633.01,UMBCAL,1,,209,2.18,11,,16,170,point 10 in field and other years DB- QC2022MK
A4,SA,1634,PSEMEN,1,,86,0.67,1,,250,-177,
A4,SA,1635,PSEMEN,1,,74,0.91,1,,-12,-58,
B4,SA,1636,PSEMEN,1,,75,0.63,1,,112,-108,
B4,SA,1637,UMBCAL,1,,240,2.32,2,,-62,-43,
B4,SA,1638,UMBCAL,1,,56,0.89,2,,-37,77,
B3,SA,1639,QUEAGR,1,,72,0.85,1,,117,-162,
D3,SA,1640,BACPIL,1,,80,1.05,2,,130,-27,
B2,TR,1642,UMBCAL,1,,,,,3.89,-105,-36,
B2,TR,1642.1,UMBCAL,1,,,,,3.67,-105,-36,
B2,TS,1642.2,UMBCAL,1,,170,4.28,2,,-105,-36,Broken at 12cm
A2,SA,1643,PSEMEN,1,,101,0.73,1,,110,245,
