Plot ID,PPW1342,,Sampler(s),"MFO, MNB, MMJ",,,,,Date ,20130306,,
Notes,,,,,,,,,,,,
,,,,,,,,,,,,
Quad,Type,Tree Tag No.,Species,Confidence ,Dead/ Stump,SA or Stump Height (cm),SA or Stump BD (cm),SA  Branch #,DBH (cm), X (cm),Y (cm),Notes
A1,TR,1996,PSEMEN,1,,,,,85.5,220,112,
A1,TR,,PSEMEN,1,D,,,,16.6,-248,175,
A1,SA,1997,UMBCAL,1,,137,1.51,1,,-236,201,
A1,SA,1998,UMBCAL,1,,69,1.54,1,,-110,-46,
A1,SA,1999,UMBCAL,1,,77,1.51,1,,-136,-24,
A2,TR,2302,UMBCAL,1,,,,,2.48,-18,44,
A2,TR,2301,NOTDEN,1,,,,,1.69,186,153,
A2,TR,2301.1,NOTDEN,1,,,,,1.64,186,153,
A2,TS,2301.2,NOTDEN,1,,77,0.84,1,,186,153,
A2,TR,2303,PSEMEN,1,,,,,45,186,153,
A3,TR,2304,PSEMEN,1,,,,,47.4,-114,50,
A3,TR,2305,PSEMEN,1,,,,,64.35,-210,-62,
A4,TR,2306,PSEMEN,1,,,,,34.05,118,-20,
B4,TR,2307,PSEMEN,1,,,,,42.5,124,-148,
B4,TR,2308,PSEMEN,1,,,,,23.95,26,137,
B3,TR,2309,PSEMEN,1,,,,,57.1,318,72,
B2,SA,,PSEMEN,1,D,192,1.51,1,,-236,-142,
B2,TR,2310,NOTDEN,1,,,,,5.75,-268,-141,
B2,SA,2311,UMBCAL,1,,82,1.45,1,,-72,94,
B1,TR,2313,PSEMEN,1,,,,,26.35,-46,-88,
B1,TR,2314,PSEMEN,1,,,,,16.1,80,168,
B1,TR,2312,PSEMEN,1,,,,,80.55,-118,252,
C3,TR,2316,PSEMEN,1,,,,,57.55,-114,145,
C3,TR,2315,PSEMEN,1,,,,,33.1,81,26,
C3,TR,2317,NOTDEN,1,,,,,3.38,291,-138,
C3,TS,2317.1,NOTDEN,1,,,,,1.07,291,-138,
C4,SA,,PSEMEN,1,D,90,1.35,1,,-91,46,
C4,TR,2318,PSEMEN,1,,,,,1.81,-132,-185,
,,,,,,,,,,,,
C4,TR,2319,PSEMEN,1,,,,,1.48,-44,232,
C4,SA,,NOTDEN,0,D,187,1.68,1,,-88,-186,
C4,SA,,PSEMEN,0,D,97,1.19,1,,-49,256,
C4,SA,2322,PSEMEN,1,,117,1.74,1,,-59,-108,
C4,SA,2320,TORCAL,1,,168,2.23,2,,-70,-152,WAS PSEMEN BEFORE AUG NAMES 
C4,TR,2321,PSEMEN,1,,,,,1.04,-44,-136,
C4,TR,,PSEMEN,0,D,,,,2.55,-5,204,
D4,SA,2323,PSEMEN,1,,86,2.06,1,,141,-30,
D4,SA,2324,PSEMEN,1,,76,1.4,1,,162,-54,
D4,SA,,PSEMEN,0,D,56,1.28,1,,158,-82,
D4,SA,,PSEMEN,0,D,73,1.24,1,,151,-93,
D4,TR,2326,PSEMEN,1,,,,,2,249,-37,
D4,TR,2325,PSEMEN,1,,,,,3.61,86,-127,
D4,SA,2327,PSEMEN,1,,165,2.17,1,,-39,-134,
D4,TR,2336,PSEMEN,1,,,,,2.13,197,-162,
D4,SA,2335,PSEMEN,1,,153,2.65,1,,148,223,
D4,SA,2332,PSEMEN,1,,154,1.81,1,,-28,162,
D4,SA,2337,PSEMEN,1,,115,1.03,1,,120,205,
D4,SA,2338,PSEMEN,1,,130,2.76,1,,-153,-250,BD AT AT 12CM
D4,SA,2339,PSEMEN,1,,123,2.1,1,,58,191,
D4,SA,2334,PSEMEN,1,,118,1.36,1,,221,139,
D4,SA,2333,PSEMEN,1,,156,1.66,1,,234,108,
D4,SA,2330,PSEMEN,1,,149,1.73,1,,-184,278,
D4,SA,2329,PSEMEN,1,,113,1.32,1,,-189,251,
D4,TR,2331,PSEMEN,1,,,,,1.69,-261,252,
D4,SA,,PSEMEN,0,D,53,0.54,1,,-94,82,
D4,SA,,PSEMEN,0,D,60,0.68,1,,5,183,
D3,SA,2340,PSEMEN,1,,102,1.19,1,,-18,-103,
,,,,,,,,,,,,
D3,TR,2341,PSEMEN,1,,,,,69.6,285,-212,
D3,TR,2342,QUEAGR,1,,,,,11,-119,245,
D3,TR,2342.1,QUEAGR,1,,,,,1.46,-119,245,
D3,SA,2343,NOTDEN,1,,92,0.99,1,,193,94,
D2,TR,2344,PSEMEN,1,,,,,19.3,68,-64,
D2,TR,2346,QUEAGR,1,,,,,17,196,12,
D2,TR,2345,PSEMEN,1,,,,,96.45,252,191,
D2,TS,2346.1,QUEAGR,1,,94,0.53,11,,196,12,
D1,SA,2348,NOTDEN,1,,75,0.83,2,,-161,212,
D1,SA,2347,UMBCAL,1,,72,1.57,1,,213,289,DISEASED/BROWSED
D1,SA,2349,TORCAL,1,,55,1.11,2,,256,106,DIE BACK
,,,,,,,,,,,,
,SA,2328,PSEMEN,1,,151,2.24,1,,,,INPUTED AFTER AUG2013 RESURVEY 20130810 MFO
