Plot ID,PPW1343,,Sampler(s),"MMJ, KMG, MFO",,,,,Date ,20130227,,
Notes,,,,,,,,,,,,
,,,,,,,,,,,,
Quad,Type,Tree Tag No.,Species,Confidence ,Dead/ Stump,SA or Stump Height (cm),SA or Stump BD (cm),SA  Branch #,DBH (cm), X (cm),Y (cm),Notes
A1,TR,1778,PSEMEN,1,,,,,1.45,70,28,
A1,SA,1777,ARBMEN,1,,82,0.75,1,,75,35,
A1,SA,1779,PSEMEN,1,,178,1.33,1,,45,52,
A1,TR,1780,PSEMEN,1,,,,,2.35,82,66,
A1,TR,1792,PSEMEN,1,,,,,1.99,218,19,
A1,SA,1781,ARBMEN,1,,66,0.59,1,,250,99,
A1,SA,1782,ARBMEN,1,,161,1.51,1,,266,48,
A1,TR,1783,PSEMEN,1,,,,,1.1,300,19,
A1,TR,1793,PSEMEN,1,,,,,1.94,-87,74,
A1,TR,1800,PSEMEN,1,,,,,1.71,-80,10,
A1,SA,1789,CEOCUN,0,,154,0.82,3,,-55,87,
A1,SA,1799,ARBMEN,1,,51,0.54,2,,-85,161,
A1,TR,1788,PSEMEN,1,,,,,5.9,-100,176,
A1,SA,1787,PSEMEN,1,,216,1.52,1,,-142,176,
A1,TR,1794,QUEKEL,0,,,,,29.1,290,195,
A1,SA,1791,PSEMEN,1,,164,1.64,1,,13,207,
A1,SA,1790,PSEMEN,1,,184,1.53,1,,79,221,
A1,SA,1798,PSEMEN,1,,161,1.11,1,,105,254,
A1,SA,1797,PSEMEN,1,,170,1.24,1,,131,240,
A1,SA,1802,PSEMEN,1,,171,1.29,1,,155,234,
A1,SA,,PSEMEN,1,D,124,0.91,1,,139,288,
A1,SA,1803,ARBMEN,1,,67,0.53,2,,168,252,2 dead branches
A1,SA,1784,ARBMEN,1,,55,0.48,2,,233,260,
A1,SA,1796,PSEMEN,1,,186,1.46,1,,245,266,
A1,SA,1785,PSEMEN,1,,82,0.67,1,,267,280,
A1,SA,,PSEMEN,1,D,107,0.52,1,,-91,204,
A1,TR,1795,PSEMEN,1,,,,1,3.73,500,220,
A1,SA,1828,PSEMEN,1,,161,1.24,1,,-51,268,
A1,SA,1786,PSEMEN,1,,175,0.97,1,,-112,284,
A1,SA,,PSEMEN,1,D,183,1.45,1,,164,265,
A1,SA,1830,PSEMEN,1,,86,0.5,1,,-115,288,
A1,TR,,PSEMEN,1,D,,,,2.68,-84,-193,
A1,SA,1893,UMBCAL,1,,79,0.51,1,,-172,-126,
A1,TR,1814,PSEMEN,1,,,,,8.2,-199,-140,
A1,TR,1805,PSEMEN,1,,,,,4.13,171,-183,
A1,SA,1804,PSEMEN,1,,86,0.59,1,,152,-228,
A1,TR,1801,PSEMEN,1,,,,,4.58,53,349,
A1,TR,1817,PSEMEN,1,,,,,9.8,20,-110,
A1,SA,1895,UMBCAL,1,,55,0.38,1,,33,-120,
A1,TR,,PSEMEN,1,D,200,1.56,1,,58,-42,
A1,TR,,PSEMEN,1,D,200,0.21,1,,48,-23,
A1,TR,NA,PSEMEN,1,,,,,4.19,113,-20,"MISSING TAG NUM, 20130810"
A1,TR,1837,PSEMEN,1,,,,,4.45,171,-24,
A1,TR,1811,PSEMEN,1,,,,,3.95,216,-62,
A1,TR,1810,PSEMEN,1,,,,,1.8,261,-81,
A1,TR,1816,PSEMEN,1,,,,,5.27,266,-52,
A1,TR,1809,PSEMEN,1,,,,,3.93,332,-79,
A1,TR,1808,PSEMEN,1,,,,,4.44,-135,-3,
A1,TR,1806,PSEMEN,1,,,,,3.61,-95,-50,
A1,TR,1807,PSEMEN,1,,,,,4.42,-60,-49,
A1,TR,1815,QUEKEL,0,,,,,29.3,-30,-73,
A1,SA,,PSEMEN,1,D,200,1.45,1,,-60,500,
A2,TR,1824,QUEDEC,0,,,,,24.9,-50,30,
A2,TR,1824.1,QUEDEC,0,,,,,10.9,-50,30,
A2,TR,,PSEMEN,1,D,,,,1.39,-110,15,
A2,TR,1823,PSEMEN,1,,,,,7.9,-188,89,
A2,TR,1900,PSEMEN,1,,,,,2.1,-204,76,
A2,SA,,PSEMEN,1,D,180,1.81,1,,-250,13,
A2,TR,1820,PSEMEN,1,,,,,4.55,212,132,
A2,TR,,PSEMEN,1,D,,,,1.01,175,135,
A2,TR,1813,PSEMEN,1,,,,,2.77,133,71,
A2,TR,1819,PSEMEN,1,,,,,6.8,106,129,
A2,TR,1822,PSEMEN,1,,,,,6.02,88,160,
A2,TR,1818,PSEMEN,1,,,,,5.05,42,50,
A2,TR,1821,PSEMEN,1,,,,,3.04,33,111,
A2,SA,,PSEMEN,1,D,200,1.6,1,,38,60,
A2,TR,,PSEMEN,1,D,,,,2.81,15,106,
A2,SA,,PSEMEN,1,D,129,1.08,1,,66,106,
A2,TR,,PSEMEN,1,D,,,,2.06,48,149,
A2,SA,,PSEMEN,1,D,143,1.1,1,,35,148,
A2,SA,,PSEMEN,1,D,178,2.12,1,,57,-213,
A2,TR,1842,PSEMEN,1,,,,,9.45,62,-130,
A2,TR,,PSEMEN,1,D,,,,1.01,41,-94,
A2,SA,,PSEMEN,1,D,200,1.68,1,,22,-78,
A2,TR,,PSEMEN,1,D,,,,1.15,1,-67,
A2,TR,1841,PSEMEN,1,,,,,2.59,137,-174,
A2,TR,1840,PSEMEN,1,,,,,2.51,154,-118,
A2,TR,,PSEMEN,1,D,,,,1.29,120,-122,
A2,TR,1843,PSEMEN,1,,,,,4.63,113,-133,
A2,TR,,PSEMEN,1,D,,,,1.37,113,-177,
A2,SA,,PSEMEN,1,D,144,0.91,1,,129,-142,
A2,SA,,PSEMEN,1,D,165,1.38,1,,177,-84,
A2,TR,1839,PSEMEN,1,,,,,2.35,164,-44,
A2,SA,1899,UMBCAL,1,,98,0.55,1,,99,-74,
A2,TR,1838,PSEMEN,1,,,,,10.82,210,-17,
A2,TR,,PSEMEN,1,D,,,,1.41,-240,-91,
A2,SA,,PSEMEN,1,D,98,0.78,1,,-231,-97,
A2,TR,,PSEMEN,1,D,,,,1.58,-242,-76,
A2,SA,,PSEMEN,1,D,200,1.13,1,,-228,-79,
A2,SA,,PSEMEN,1,D,200,1.3,1,,-247,-78,
A2,SA,,PSEMEN,1,D,156,1.03,1,,-224,-78,
A2,SA,,PSEMEN,1,D,125,1.82,1,,-196,-31,
A2,TR,,PSEMEN,1,D,,,,2.02,-293,-228,
A2,TR,,PSEMEN,1,D,,,,1.29,-246,-176,
A2,TR,1831,PSEMEN,1,,,,,2.64,-211,-125,
A2,TR,,PSEMEN,1,D,,,,1.48,-201,-105,
A2,TR,1832,PSEMEN,1,,,,,10.4,-156,-100,
A2,TR,1833,PSEMEN,1,,,,,9.8,-180,-40,
A2,TR,1898,PSEMEN,1,,,,,4.2,-246,-265,
A2,SA,1886,UMBCAL,1,,66,0.36,1,,-239,-271,
A2,SA,,PSEMEN,1,D,160,1.44,1,,-237,-271,
A2,TR,1894,PSEMEN,1,,,,,2.82,-225,-255,
A2,TR,,PSEMEN,1,D,,,,1.95,-183,186,
A2,TR,,PSEMEN,1,D,,,,1.53,-152,125,
A2,SA,,PSEMEN,1,D,163,1,1,,-137,178,
A2,TR,1826,PSEMEN,1,,,,,3.29,-130,163,
A2,TR,1827,PSEMEN,1,,,,,4.9,-144,158,
A2,SA,1829,UMBCAL,1,,117,0.51,2,,-85,172,
A2,TR,,PSEMEN,1,D,,,,2.86,-3,151,
A2,TR,,PSEMEN,1,D,,,,1.98,-55,-237,
