Plot ID,PPW1345,,Sampler(s),"MFO, JSF",,,,,Date ,20130228,,
Notes,,,,,,,,,,,,
,,,,,,,,,,,,
Quad,Type,Tree Tag No.,Species,Confidence ,Dead/ Stump,SA or Stump Height (cm),SA or Stump BD (cm),SA  Branch #,DBH (cm), X (cm),Y (cm),Notes
A1,SA,2266,QUEAGR,1,,53,0.56,2,,187,98,
A1,SA,2267,HETARB,1,,197,1.38,9,,-132,140,
A2,TR,2265,HETARB,1,,,,,1.4,-53,22,
A2,TS,2265.1,HETARB,1,,200,2.13,9,,-53,22,ONE LG DEAD (NOT COUNTED)
A2,SA,2268,UMBCAL,1,,173,1.82,1,,-225,2,
A2,TR,2264,HETARB,1,,,,,1.93,127,115,
A2,TR,2264.1,HETARB,1,,,,,2.39,127,115,
A2,TR,2264.2,HETARB,1,,,,,1.74,127,115,
A2,TS,2264.3,HETARB,1,,181,2.82,13,,127,115,
A2,SA,2261,HETARB,1,,69,0.58,20,,6,90,"MAIN STEM DEAD, DID NOT COUNT"
A2,TR,2262,UMBCAL,1,,,,,6.3,64,210,
A2,TR,2263,HETARB,1,,,,,4.9,79,210,COMING OUT OF THE SAME BASE AS 2262
A2,SA,2260,HETARB,1,,155,1.38,6,,10,57,
A2,TR,2263.1,HETARB,1,,,,,3.39,79,210,
A2,TR,2263.2,HETARB,1,,,,,2.05,79,210,
A2,TR,2263.3,HETARB,1,,,,,1.6,79,210,
A2,TR,2263.4,HETARB,1,,,,,4.48,79,210,
A2,TR,2263.5,HETARB,1,,,,,2.11,79,210,
A2,TR,2263.6,HETARB,1,,,,,3.66,79,210,
A2,TR,2263.7,HETARB,1,,,,,2.81,79,210,
A2,SA,2270,QUEAGR,1,,137,1.53,1,,-325,168,
A2,SA,2271,QUEAGR,1,,56,0.9,1,,-315,177,
A2,SA,2272,HETARB,1,,66,0.48,1,,-318,206,
A2,SA,2269,UMBCAL,1,,109,0.95,1,,18,-175,
A2,TR,2273,HETARB,1,,,,,3.05,141,-137,
A2,TR,2273.1,HETARB,1,,,,,2.82,141,-137,
A2,TR,2273.2,HETARB,1,,,,,1.78,141,-137,
A2,TR,2273.3,HETARB,1,,,,,1.88,141,-137,
A2,TR,2273.4,HETARB,1,,,,,2.09,141,-137,
A2,TR,2273.5,HETARB,1,,,,,1.47,141,-137,
A2,TR,2273.6,HETARB,1,,,,,2.62,141,-137,
A2,TR,2273.7,HETARB,1,,,,,1.54,141,-137,
A2,TR,2273.8,HETARB,1,,,,,2.38,141,-137,
A2,TR,2273.9,HETARB,1,,,,,1.63,141,-137,
A2,TR,2273.01,HETARB,1,,,,,1.47,141,-137,"changing smaller .1 to .01, It represents the 10 tag- qc2022mk"
A2,TR,2273.11,HETARB,1,,,,,2.14,141,-137,
A2,SA,2235,UMBCAL,1,,130,0.92,1,,71,-74,
A2,TR,2276,UMBCAL,1,,,,,2.55,94,-67,changed from 2275- closest one and no tag in 2013. but changed from tr to sa?
A2,SA,2256,HETARB,1,,195,2.68,4,,67,-54,
A3,SA,2275,HETARB,1,,110,1.19,1,,34,37,
A3,TR,2277,ARCMAN,1,,,,,5.7,-184,92,
A3,SA,2274,UMBCAL,1,,239,2.14,1,,238,99,
A3,TR,2259,ARCMAN,1,,,,,9.9,175,-100,was misidentified as arbmen-mkqc2022
A3,TR,2259.1,ARCMAN,1,,,,,9,175,-100,was misidentified as arbmen-mkqc2022
A3,TR,2259.2,ARCMAN,1,,,,,7.3,175,-100,was misidentified as arbmen-mkqc2022
A3,TR,2259.3,ARCMAN,1,,,,,8.05,175,-100,was misidentified as arbmen-mkqc2022
A4,TR,2258,PSEMEN,1,,,,,9.7,-115,47,
A3,SA,2278,UMBCAL,1,,120,1.55,2,,24,-37,IN A3
A4,TR,2279,HETARB,1,,,,,2.33,-326,-164,
A4,TR,2279.1,HETARB,1,,,,,1.94,-326,-164,
A4,TR,2279.2,HETARB,1,,,,,1.2,-326,-164,
A4,TR,2279.3,HETARB,1,,,,,3.25,-326,-164,
A4,TR,2279.4,HETARB,1,,,,,2.8,-326,-164,
A4,TR,2279.5,HETARB,1,,,,,1.77,-326,-164,
A4,TR,2279.6,HETARB,1,,,,,1.71,-326,-164,
A4,TR,2279.7,HETARB,1,,,,,3.33,-326,-164,
A4,TR,2279.8,HETARB,1,,,,,2.91,-326,-164,
A4,TR,2279.9,HETARB,1,,,,,3.06,-326,-164,
A4,TR,2279.01,HETARB,1,,,,,1.69,-326,-164,changed to 01 to represent 10 tag (changed smaller dbh- consitently) qc2022mk
A4,TR,2279.11,HETARB,1,,,,,1.13,-326,-164,
A4,TR,2279.12,HETARB,1,,,,,2.18,-326,-164,
A4,TR,2279.13,HETARB,1,,,,,2.05,-326,-164,
A4,TR,2279.14,HETARB,1,,,,,3.77,-326,-164,
A4,TR,2279.15,HETARB,1,,,,,2.32,-326,-164,
A4,TR,2279.16,HETARB,1,,,,,3.99,-326,-164,
A4,TR,2280,HETARB,1,,,,,6.55,142,-29,"AT 100CM DBH TAKEN BECAUSE OF TERTIARY BRANCHING 9 -12 IN SOME BRANCH AS IS 14-15, ACCIDENTALLY MARKED TERTIARY BRANCHES"
A4,TR,2280.1,HETARB,1,,,,,3.12,142,-29,
A4,TR,2280.2,HETARB,1,,,,,3.26,142,-29,
B4,TR,2248,QUEGAR,0,,,,,23.7,192,-153,"misidentified as quedou, corrected in 2020 field notes- mkqc2022"
B4,TR,2247,HETARB,1,,,,,1.46,40,138,
B4,TR,2246,QUEGAR,0,,,,,36.6,70,105,"misidentified as quedou, corrected in 2019 field notes- mkqc2022"
B4,SA,2245,UMBCAL,1,,63,0.73,1,,-98,-191,
B4,TR,2242,HETARB,1,,,,,1.5,245,70,
B4,TR,2242.1,HETARB,1,,,,,1.27,245,70,
B4,TR,2242.2,HETARB,1,,,,,1.56,245,70,
B4,TR,2242.3,HETARB,1,,,,,1.29,245,70,
B4,SA,2244,UMBCAL,1,,160,1.98,2,,-49,118,
B4,TR,2243,QUEAGR,1,,,,,1.45,-77,12,
B4,TR,2243.1,QUEAGR,1,,,,,1.31,-77,12,
B3,TR,2238,QUEGAR,0,,,,,31,-104,-70,
B3,TR,2281,QUEGAR,0,,,,,23.4,-198,-77,
B3,SA,2282,QUEAGR,1,,166,1.23,2,,-169,-74,
B3,TR,2283,HETARB,1,,,,,2.49,-155,-99,
B3,TR,2283.1,HETARB,1,,,,,1.87,-155,-99,
B3,TR,2283.2,HETARB,1,,,,,1.3,-155,-99,
B3,TR,2283.3,HETARB,1,,,,,1.48,-155,-99,
B3,TR,2253,HETARB,1,,,,,8.6,-246,-95,
B3,TR,2253.1,HETARB,1,,,,,6.6,-246,-95,
B3,TR,2253.2,HETARB,1,,,,,6.19,-246,-95,
B3,TR,2253.3,HETARB,1,,,,,10,-246,-95,
B3,TR,2284,HETARB,1,,,,,3.54,313,-66,
B3,TR,2284.1,HETARB,1,,,,,1.85,313,-66,
B3,TR,2284.2,HETARB,1,,,,,1.76,313,-66,
B3,TR,2284.3,HETARB,1,,,,,4.12,313,-66,
B3,TR,2284.4,HETARB,1,,,,,3.15,313,-66,
B3,TR,2250,HETARB,1,,,,,1.75,117,-63,"CHANGED TREE NUM FROM 2252, INPUTED AFTER AUG2013 RESURVEY 20130810 MFO"
B3,TS,2252.1,HETARB,1,,197,1.94,2,,117,-63,
B3,SA,2251,UMBCAL,1,,200,2.12,1,,141,158,
B3,TR,2252,HETARB,1,,,,,2.73,81,82,REPEATED TAG NUMBER?
