Plot ID,PW1346,,Sampler(s),"MFO, MNB, PP, JAR,APW,PP, MAP",,,,,Date ,20130503,,
Notes,,,,,,,,,,,,
,,,,,,,,,,,,
Quad,Type,Tree Tag No.,Species,Confidence ,Dead/ Stump,SA or Stump Height (cm),SA or Stump BD (cm),SA  Branch #,DBH (cm), X (cm),Y (cm),Notes
A1,TR,5000,ADEFAS,1,,,,,1.64,270,180,
A1,TR,5000.1,ADEFAS,1,,,,,1.42,270,180,
A1,TR,5000.2,ADEFAS,1,,,,,1.75,270,180,
A1,TR,,QUEGAR,0,D,,,,15.5,-79,-40,
A1,TR,,QUEGAR,0,D,,,,17.2,-85,-40,
A1,TR,,QUEGAR,0,D,,,,9.2,-90,-40,
A2,TR,5059,QUEGAR,1,,,,,25.5,26,-40,
A2,TR,5059.1,QUEGAR,1,,,,,21.1,26,46,
A2,SA,5094,AMOCAL,1,,200,2.17,3,,-191,110,
A2,SA,5060,AMOCAL,1,,171,1.8,5,,172,88,changing from dup 5090 bc there is a 5060.1 but no 5060- also a dup in 2018-mkqc2022
A2,SA,5095,AMOCAL,1,,155,1.6,2,,160,182,
A2,SA,5099,QUEGAR,1,,111,0.73,1,,80,54,
A2,SA,5096,AMOCAL,1,,108,1.13,3,,59,90,
A2,SA,5078,AMOCAL,1,,155,1.9,3,,145,-230,
A2,SA,5076,AMOCAL,1,,142,1.14,3,,214,-201,
A2,TR,5077,AMOCAL,1,,,,,11.1,280,-140,
A2,TS,5077.1,AMOCAL,1,,234,1.52,2,,280,-140,
A2,SA,5074,UMBCAL,1,,75,0.6,1,,-173,-187,
A2,SA,5075,AMOCAL,1,,110,1.3,2,,-184,-110,
A2,SA,5073,AMOCAL,1,,123,0.91,1,,-185,-236,
A2,TR,5071,QUEGAR,1,,,,,19.9,-92,-244,
A2,SA,5072,AMOCAL,1,,144,1.3,6,,-188,268,
A2,SA,5079,AMOCAL,1,,136,1.45,9,,-71,240,
A3,TR,5062,UMBCAL,1,,,,,25.4,152,260,
A3,TR,5061,UMBCAL,1,,,,,19,231,153,
A3,TR,5060.1,AMOCAL,1,,,,,10.5,231,153,"CHANGED SPECIES FROM UMBCAL, INPUTED AFTER AUG2013 RESURVEY 20130810 MFO"
A3,TR,5063,UMBCAL,1,,,,,20.1,152,262,
,,,,,,,,,,,,
A3,TR,5064,UMBCAL,1,,,,,19.8,122,245,
A3,TR,5064.1,UMBCAL,1,,,,,2.68,122,245,
A3,TR,5065,UMBCAL,1,,,,,20.05,107,205,
A3,TR,5066,QUEGAR,1,,,,,27.2,-39,-160,
A4,SA,5097,AMOCAL,1,,231,1.51,8,,-145,60,
A4,SA,5098,HETARB,1,,155,1.29,3,,-54,164,
A4,TR,5100,QUEGAR,1,,,,,24.7,-126,115,
A4,TR,5080,AMOCAL,1,,,,,1.65,-141,217,
A4,TR,5080.1,AMOCAL,1,,,,,1.52,-141,217,
A4,TR,5080.2,AMOCAL,1,,,,,1.65,-141,217,
A4,TR,5080.3,AMOCAL,1,,,,,1.2,-141,217,
A4,TR,5080.4,AMOCAL,1,,,,,1.5,-141,217,
A4,TS,5080.5,AMOCAL,1,,200,1.49,3,,-141,217,
A4,TR,,QUEGAR,0,D,,,,17.5,-141,217,
A4,SA,5102,AMOCAL,1,,140,1.18,2,,-206,228,
B4,SA,5081,AMOCAL,1,,188,1.35,2,,40,-5,
B4,TR,,QUEGAR,0,D,,,,13.5,-111,-60,
B4,TR,,QUEGAR,0,D,,,,17.4,154,-35,
B4,SA,5115,AMOCAL,1,,189,2.56,14,,-92,-268,
B4,SA,5113,AMOCAL,1,,172,1.2,1,,161,165,
B4,SA,5114,AMOCAL,1,,124,1.07,5,,216,255,
B3,TR,5067,QUEGAR,1,,,,,25,41,-134,
B3,SA,5068,HETARB,1,,104,0.66,1,,107,138,
B3,SA,5116,AMOCAL,1,,139,1.03,5,,178,214,
B3,SA,5117,AMOCAL,1,,99,1.51,7,,-176,115,
B3,TR,5118,QUEGAR,1,,,,,23.5,-25,-171,
B2,TR,,QUEGAR,1,,,,,18.5,-236,-86,
B2,SA,5069,HETARB,1,,130,1.75,1,,54,-81,
,,,,,,,,,,,,
B2,TR,,QUEGAR,0,D,,27.5,,,180,-155,
B2,TR,5119,QUEKEL,1,,,,,19.2,241,-154,
B2,TR,5086,AMOCAL,1,,,,,1.22,114,217,
B2,TS,5086.1,AMOCAL,1,,141,0.77,5,,114,217,CHANGED TYPE TO TS; 20130603 MFO
B2,TR,5070,AMOCAL,1,,,,,1.16,33,-165,CHANGED TYPE TO TR; 20130605 MFO
B2,SA,5070.1,AMOCAL,1,,200,1.74,1,,33,-165,
B2,SA,5120,AMOCAL,1,,225,1.41,2,,61,-222,
B2,SA,5122,UMBCAL,1,,51,0.55,1,,48,-253,
B2,TR,5104,ADEFAS,1,,,,,2.13,-45,-15,
B1,TR,5104.1,ADEFAS,1,,,,,1.8,-45,-15,
B1,TR,5104.2,ADEFAS,1,,,,,2.05,-45,-15,
B1,TR,5104.3,ADEFAS,1,,,,,1.05,-45,-15,
B1,TS,5104.4,ADEFAS,1,,263,1.31,7,,-45,-15,
B1,TR,5126,QUEGAR,1,,,,,20.95,-203,-181,
B1,SA,5123,CEOCUN,0,,63,0.53,2,,-206,148,
B1,SA,5125,CEOCUN,0,,97,0.71,3,,-172,220,
B1,SA,5124,QUEGAR,1,,70,0.82,3,,-80,-195,
B1,SA,5121,CEOCUN,0,,79,0.79,5,,46,-105,
B1,SA,5085,CEOCUN,0,,115,0.74,3,,-198,-45,
B1,SA,5084,CEOCUN,0,,81,0.37,1,,218,-178,
C1,SA,5130,CEOCUN,0,,56,0.59,2,,223,-122,
C1,SA,5106,CEOCUN,0,,96,0.58,4,,-140,256,
C1,SA,5083,CEOCUN,0,,75,0.56,2,,-115,213,
C1,SA,5105,CEOCUN,0,,52,0.43,4,,-182,122,
C1,SA,5082,CEOCUN,0,,65,0.3,3,,-105,178,
C1,TS,5127,ARBMEN,1,,59,0.99,2,,184,49,
C1,TR,,ARBMEN,1,D,,,,7.4,167,43,
C1,SA,5107,AMOCAL,1,,172,1.42,4,,-115,214,
,,,,,,,,,,,,
C2,TR,5101,QUEGAR,1,,,,,27,-48,-158,
C2,TR,5103,QUEGAR,1,,,,,27.5,-21,-57,
C2,SA,5087,HETARB,1,,89,0.59,2,,-89,-31,
C3,SA,5088,HETARB,1,,86,0.9,2,,-112,139,
C3,TR,5109,AMOCAL,1,,,,,1.51,-162,145,
C3,TR,5109.1,AMOCAL,1,,,,,1.62,-162,145,
C3,TS,5109.2,AMOCAL,1,,174,1.87,5,,-162,145,
C3,SA,5089,HETARB,1,,112,1.2,2,,-105,-166,
C3,SA,5090,AMOCAL,1,,86,0.49,5,,106,62,
C3,SA,5091,AMOCAL,1,,162,1.51,10,,95,-114,
C3,SA,5092,AMOCAL,1,,86,0.58,8,,-168,71,
C3,SA,5093,AMOCAL,1,,152,2.15,5,,244,30,
C3,SA,5112,AMOCAL,1,,194,1.66,2,,-298,92,
C4,SA,5110,AMOCAL,1,,96,0.86,6,,-208,175,
C4,SA,5129,QUEAGR,1,,182,2.52,1,,141,-144,
C4,SA,5111,AMOCAL,1,,125,0.99,4,,-72,-276,
C4,TR,5108,QUEGAR,1,,,,,22,-72,-11,
C4,TR,5128,AMOCAL,1,,,,,1.15,-85,-85,NO .2
C4,TR,5128.1,AMOCAL,1,,,,,1.16,-85,-85,
C4,TR,5128.3,AMOCAL,1,,,,,1.09,-85,-85,
