ID,UTM.E,UTM.N,Slope,Aspect,Total.Basal.Area_cm2,ADEFAS,AESCAL,AMOCAL,ARBMEN,ARCMAN,BACPIL,FRACAL,HETARB,NOTDEN,PSEMEN,QUEAGKE,QUEAGR,QUEBER,QUEDEC,QUEDOU,QUEGAR,QUEKEL,QUELOB,QUEWIS,UMBCAL
PPW1301,526265,4270350,26,350,10822.39399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10822.39399,0,0,0,0
PPW1302,525447,4269576,NA,NA,26700.6897,0,0,0,0,0,0,0,0,0,14.40333838,0,22363.35552,0,0,0,0,0,1320.254313,0,3002.676532
PPW1303,526143,4269065,20,137,4302.120542,0,0,0,0,0,0,0,0,0,0,0,2780.505848,0,0,1521.614694,0,0,0,0,0
PPW1304,525944,4269218,25,201,9445.096211,0,634.0205214,0,0,0,0,0,0,0,0,0,735.4154243,0,8075.660266,0,0,0,0,0,0
PPW1305,526058,4269630,34,28,15292.6975,0,0,0,0,0,0,0,100.86256,0,0,0,12767.17737,0,0,0,0,0,0,0,2424.65757
PPW1306,526022,4270886,15,20,7210.815151,0,0,0,2387.785168,0,0,0,0,0,0,0,0,0,4615.959757,0,0,206.119894,0,0,0.950331778
PPW1307,525888,4270668,28.5,46,10996.46901,0,0,0,3915.094705,0,0,0,0,0,1141.116851,0,2583.377349,0,877.1405229,0,2432.317244,0,0,0,47.42234111
PPW1308,522747,4273140,14,12,8702.696634,0,0,0,0,0,0,0,0,0,0,0,0,0,8702.696634,0,0,0,0,0,0
PPW1309,522830,4273334,10.5,234,7874.305775,0,0,0,0,0,0,0,0,0,0,0,2907.312308,0,0,0,0,4966.993467,0,0,0
PPW1310,522783,4273545,25,351,5992.201178,0,0,0,0,319.0797849,0,0,0,0,0,0,0,0,5673.121393,0,0,0,0,0,0
PPW1311,522461,4273394,33,261,12260.26561,0,0,0,0,1373.618191,0,0,223.0295165,0,0,0,0,0,8182.631495,2480.986404,0,0,0,0,0
PPW1312,522503,4272837,21,328,24044.43856,0,0,0,7603.78331,0,0,0,16.50207935,0,6097.493619,0,10321.53239,0,0,0,0,0,0,0,5.12715775
PPW1313,522844,4272670,34,36,12353.51821,0,0,0,6379.158685,0,0,0,51.71791928,0,2.08672438,0,4007.494129,0,372.9247194,0,0,1539.168343,0,0,0.967689077
PPW1314,523282,4272416,11.5,259,9390.886067,0,0,0,0,0,0,0,0,0,0,0,6507.608905,0,2883.277161,0,0,0,0,0,0
PPW1315,524734,4271564,15,337,9503.177505,0,0,0,0,0,0,0,0,0,1.767145868,0,0,0,0,0,8684.249594,486.8695781,0,0,330.2911866
PPW1316,524769,4271725,34,189,19309.92185,0,0,0,0,0,0,0,0,0,0,0,17395.83584,0,0,0,323.6547292,1590.431281,0,0,0
