"","Plot.ID","UTM.E","UTM.N","Slope","Aspect","Tree.Species","Tree.Number","Basal.Area_cm2","Total.Basal.Area_cm2","Percent.Cover"
"1","PPW1301","526265","4270350","26","350","QUEGAR",21,10822.3939925351,10822.3939925351,100
"2","PPW1302","525447","4269576",NA,NA,"PSEMEN",4,14.4033383787295,26700.6897017728,0.05
"3","PPW1302","525447","4269576",NA,NA,"QUEAGR",8,22363.3555191868,26700.6897017728,83.76
"4","PPW1302","525447","4269576",NA,NA,"QUELOB",1,1320.25431267111,26700.6897017728,4.94
"5","PPW1302","525447","4269576",NA,NA,"UMBCAL",3,3002.67653153611,26700.6897017728,11.25
"6","PPW1303","526143","4269065","20","137","QUEAGR",1,2780.50584796782,4302.12054177077,64.63
"7","PPW1303","526143","4269065","20","137","QUEDOU",2,1521.61469380295,4302.12054177077,35.37
"8","PPW1304","525944","4269218","25","201","AESCAL",3,634.020521384224,9445.09621125647,6.71
"9","PPW1304","525944","4269218","25","201","QUEAGR",1,735.415424278835,9445.09621125647,7.79
"10","PPW1304","525944","4269218","25","201","QUEDEC",3,8075.66026559341,9445.09621125647,85.5
"11","PPW1305","526058","4269630","34","28","HETARB",4,100.86256001946,15292.697497901,0.66
"12","PPW1305","526058","4269630","34","28","QUEAGR",11,12767.1773683256,15292.697497901,83.49
"13","PPW1305","526058","4269630","34","28","UMBCAL",11,2424.65756955588,15292.697497901,15.86
"14","PPW1306","526022","4270886","15","20","ARBMEN",3,2387.7851678196,7210.8151509775,33.11
"15","PPW1306","526022","4270886","15","20","QUEDEC",7,4615.95975737816,7210.8151509775,64.01
"16","PPW1306","526022","4270886","15","20","QUEKEL",1,206.119894002026,7210.8151509775,2.86
"17","PPW1306","526022","4270886","15","20","UMBCAL",1,0.950331777710913,7210.8151509775,0.01
"18","PPW1307","525888","4270668","28.5","46","ARBMEN",6,3915.09470516553,10996.469013152,35.6
"19","PPW1307","525888","4270668","28.5","46","PSEMEN",6,1141.11685111242,10996.469013152,10.38
"20","PPW1307","525888","4270668","28.5","46","QUEAGR",18,2583.37734922,10996.469013152,23.49
"21","PPW1307","525888","4270668","28.5","46","QUEDEC",2,877.140522863904,10996.469013152,7.98
"22","PPW1307","525888","4270668","28.5","46","QUEGAR",1,2432.31724368423,10996.469013152,22.12
"23","PPW1307","525888","4270668","28.5","46","UMBCAL",3,47.4223411059379,10996.469013152,0.43
"24","PPW1308","522747","4273140","14","12","QUEDEC",13,8702.69663380962,8702.69663380962,100
"25","PPW1309","522830","4273334","10.5","234","QUEAGR",2,2907.31230843915,7874.3057749478,36.92
"26","PPW1309","522830","4273334","10.5","234","QUEKEL",3,4966.99346650865,7874.3057749478,63.08
"27","PPW1310","522783","4273545","25","351","ARCMAN",4,319.079784852664,5992.20117812706,5.32
"28","PPW1310","522783","4273545","25","351","QUEDEC",17,5673.12139327439,5992.20117812706,94.68
"29","PPW1311","522461","4273394","33","261","ARCMAN",13,1373.61819088315,12260.2656071658,11.2
"30","PPW1311","522461","4273394","33","261","HETARB",3,223.029516459973,12260.2656071658,1.82
"31","PPW1311","522461","4273394","33","261","QUEDEC",15,8182.63149544814,12260.2656071658,66.74
"32","PPW1311","522461","4273394","33","261","QUEDOU",3,2480.98640437457,12260.2656071658,20.24
"33","PPW1312","522503","4272837","21","328","ARBMEN",13,7603.783310087,24044.4385556434,31.62
"34","PPW1312","522503","4272837","21","328","HETARB",8,16.5020793509601,24044.4385556434,0.07
"35","PPW1312","522503","4272837","21","328","PSEMEN",2,6097.49361940753,24044.4385556434,25.36
"36","PPW1312","522503","4272837","21","328","QUEAGR",20,10321.5323890474,24044.4385556434,42.93
"37","PPW1312","522503","4272837","21","328","UMBCAL",2,5.12715775047488,24044.4385556434,0.02
"38","PPW1313","522844","4272670","34","36","ARBMEN",16,6379.15868509208,12353.5182087607,51.64
"39","PPW1313","522844","4272670","34","36","HETARB",12,51.7179192810076,12353.5182087607,0.42
"40","PPW1313","522844","4272670","34","36","PSEMEN",1,2.08672438033068,12353.5182087607,0.02
"41","PPW1313","522844","4272670","34","36","QUEAGR",2,4007.49412873548,12353.5182087607,32.44
"42","PPW1313","522844","4272670","34","36","QUEDEC",2,372.924719439785,12353.5182087607,3.02
"43","PPW1313","522844","4272670","34","36","QUEKEL",2,1539.16834275488,12353.5182087607,12.46
"44","PPW1313","522844","4272670","34","36","UMBCAL",1,0.967689077121996,12353.5182087607,0.01
"45","PPW1314","523282","4272416","11.5","259","QUEAGR",8,6507.60890537959,9390.88606652337,69.3
"46","PPW1314","523282","4272416","11.5","259","QUEDEC",5,2883.27716114378,9390.88606652337,30.7
"47","PPW1315","524734","4271564","15","337","PSEMEN",1,1.76714586764426,9503.17750499714,0.02
"48","PPW1315","524734","4271564","15","337","QUEGAR",29,8684.24959444683,9503.17750499714,91.38
"49","PPW1315","524734","4271564","15","337","QUEKEL",3,486.86957812714,9503.17750499714,5.12
"50","PPW1315","524734","4271564","15","337","UMBCAL",5,330.29118655553,9503.17750499714,3.48
"51","PPW1316","524769","4271725","34","189","QUEAGR",18,17395.8358359087,19309.921845943,90.09
"52","PPW1316","524769","4271725","34","189","QUEGAR",1,323.654729154455,19309.921845943,1.68
"53","PPW1316","524769","4271725","34","189","QUEKEL",1,1590.43128087983,19309.921845943,8.24
"54","PPW1317","524778","4271596","25","224","QUEAGR",1,419.096313970512,14170.7965124135,2.96
"55","PPW1317","524778","4271596","25","224","QUEDEC",52,13040.9384225132,14170.7965124135,92.03
"56","PPW1317","524778","4271596","25","224","QUEKEL",3,710.761775929789,14170.7965124135,5.02
"57","PPW1318","524608","4271846","26","205","QUEAGR",3,3514.37403786476,15741.5940173056,22.33
"58","PPW1318","524608","4271846","26","205","QUEGAR",8,8468.04518802678,15741.5940173056,53.79
