"","Plot.ID","Species","Number","Type"
"1","PPW1301","QUEGAR",21,"TR"
"2","PPW1302","QUEAGR",8,"TR"
"3","PPW1302","UMBCAL",21,"SA"
"4","PPW1302","QUELOB",1,"TR"
"5","PPW1302","UMBCAL",3,"TR"
"6","PPW1302","QUEAGR",18,"SA"
"7","PPW1302","BACPIL",1,"SA"
"8","PPW1302","PSEMEN",4,"TR"
"9","PPW1303","QUEDOU",2,"TR"
"10","PPW1303","QUEAGR",19,"SA"
"11","PPW1303","QUEAGR",1,"TR"
"12","PPW1303","PSEMEN",1,"SA"
"13","PPW1304","AESCAL",3,"TR"
"14","PPW1304","QUEGAR",3,"TR"
"15","PPW1304","QUEAGR",7,"SA"
"16","PPW1304","QUEAGR",1,"TR"
"17","PPW1305","UMBCAL",41,"SA"
"18","PPW1305","UMBCAL",11,"TR"
"19","PPW1305","QUEAGR",11,"TR"
"20","PPW1305","HETARB",4,"TR"
"21","PPW1305","ARBMEN",4,"SA"
"22","PPW1305","QUEAGR",14,"SA"
"23","PPW1306","UMBCAL",6,"SA"
"24","PPW1306","PSEMEN",6,"SA"
"25","PPW1306","UMBCAL",1,"TR"
"26","PPW1306","QUEKEL",8,"TR"
"27","PPW1306","ARBMEN",3,"TR"
"28","PPW1307","PSEMEN",6,"TR"
"29","PPW1307","PSEMEN",3,"SA"
"30","PPW1307","QUEAGR",22,"SA"
"31","PPW1307","BACPIL",3,"SA"
"32","PPW1307","ARBMEN",31,"SA"
"33","PPW1307","ARBMEN",6,"TR"
"34","PPW1307","UMBCAL",3,"TR"
"35","PPW1307","UMBCAL",12,"SA"
"36","PPW1307","QUEAGR",18,"TR"
"37","PPW1307","QUEKEL",3,"TR"
"38","PPW1307","ARCMAN",3,"SA"
"39","PPW1308","QUEGAR",12,"TR"
"40","PPW1309","QUEKEL",3,"TR"
"41","PPW1309","QUEAGR",2,"TR"
"42","PPW1310","ARCMAN",4,"TR"
"43","PPW1310","QUEGAR",10,"TR"
"44","PPW1310","ARCMAN",5,"SA"
"45","PPW1310","QUEDOU",6,"TR"
"46","PPW1310","CEOCUN",14,"SA"
"47","PPW1311","HETARB",3,"TR"
"48","PPW1311","ARCMAN",12,"TR"
"49","PPW1311","QUEDOU",15,"TR"
"50","PPW1311","QUEGAR",2,"TR"
"51","PPW1311","ARCMAN",3,"SA"
"52","PPW1312","QUEKEL",1,"TR"
"53","PPW1312","QUEAGR",21,"TR"
"54","PPW1312","PSEMEN",6,"SA"
"55","PPW1312","UMBCAL",2,"TR"
"56","PPW1312","HETARB",71,"SA"
"57","PPW1312","UMBCAL",99,"SA"
"58","PPW1312","QUEAGR",211,"SA"
"59","PPW1312","ARBMEN",NA,"SA"
"60","PPW1312","BACPIL",1,"SA"
"61","PPW1312","HETARB",8,"TR"
"62","PPW1312","AESCAL",3,"SA"
"63","PPW1312","ARBMEN",12,"TR"
"64","PPW1312","PSEMEN",2,"TR"
"65","PPW1313","HETARB",12,"TR"
"66","PPW1313","ARBMEN",13,"TR"
"67","PPW1313","ARBMEN",7,"SA"
"68","PPW1313","HETARB",67,"SA"
"69","PPW1313","PSEMEN",1,"TR"
"70","PPW1313","QUEKEL",4,"TR"
"71","PPW1313","UMBCAL",7,"SA"
"72","PPW1313","QUEAGR",2,"TR"
"73","PPW1313","QUEAGR",2,"SA"
"74","PPW1313","UMBCAL",1,"TR"
"75","PPW1314","ARCMAN",3,"TR"
"76","PPW1314","HETARB",1,"SA"
"77","PPW1314","QUEDOU",8,"TR"
"78","PPW1314","ARCMAN",6,"SA"
"79","PPW1314","QUEAGR",2,"TR"
"80","PPW1315","QUEGAR",31,"TR"
"81","PPW1315","UMBCAL",5,"TR"
"82","PPW1315","PSEMEN",5,"SA"
"83","PPW1315","PSEMEN",1,"TR"
"84","PPW1316","QUEGAR",1,"TR"
"85","PPW1316","QUEAGR",18,"TR"
"86","PPW1316","QUEAGR",1,"SA"
"87","PPW1316","PSEMEN",1,"SA"
"88","PPW1316","BACPIL",17,"SA"
"89","PPW1316","QUEKEL",1,"TR"
"90","PPW1316","UMBCAL",8,"SA"
"91","PPW1317","QUEAGR",1,"TR"
"92","PPW1317","AESCAL",1,"SA"
"93","PPW1317","UMBCAL",3,"SA"
"94","PPW1317","QUEGAR",53,"TR"
"95","PPW1318","QUEKEL",3,"TR"
"96","PPW1318","QUEAGR",4,"TR"
"97","PPW1318","QUEGAR",7,"TR"
"98","PPW1318","QUEAGR",5,"SA"
"99","PPW1319","PSEMEN",1,"TR"
"100","PPW1319","QUEGAR",2,"TR"
"101","PPW1319","PSEMEN",7,"SA"
"102","PPW1319","QUEAGR",13,"SA"
"103","PPW1319","UMBCAL",18,"TR"
"104","PPW1319","QUEAGR",2,"TR"
"105","PPW1320","AMOCAL",4,"TR"
"106","PPW1320","ARBMEN",10,"TR"
"107","PPW1320","QUEWIS",1,"TR"
"108","PPW1320","UMBCAL",16,"TR"
"109","PPW1320","QUEAGR",6,"TR"
"110","PPW1320","FRACAL",7,"TR"
"111","PPW1320","HETARB",70,"TR"
"112","PPW1320","PSEMEN",2,"TR"
"113","PPW1320","AMOCAL",4,"SA"
"114","PPW1320","QUEAGR",1,"SA"
"115","PPW1320","UMBCAL",49,"SA"
"116","PPW1320","FRACAL",101,"SA"
"117","PPW1320","PSEMEN",1,"SA"
"118","PPW1320","QUEGAR",4,"TR"
"119","PPW1320","ARBMEN",2,"SA"
"120","PPW1320","HETARB",100,"SA"
"121","PPW1321","QUEAGR",2,"SA"
"122","PPW1321","UMBCAL",85,"SA"
"123","PPW1321","CEOCUN",3,"SA"
"124","PPW1321","AMOCAL",87,"SA"
"125","PPW1321","ARBMEN",3,"SA"
"126","PPW1321","ARBMEN",1,"TR"
"127","PPW1321","QUEGAR",1,"SA"
"128","PPW1321","FRACAL",14,"SA"
"129","PPW1321","PSEMEN",3,"SA"
"130","PPW1321","UMBCAL",2,"TR"
"131","PPW1321","QUEKEL",5,"TR"
"132","PPW1321","QUEAGR",2,"TR"
"133","PPW1321","QUEGAR",9,"TR"
"134","PPW1322","QUEAGR",1,"TR"
"135","PPW1322","BACPIL",9,"TR"
"136","PPW1322","QUEDOU",12,"TR"
"137","PPW1322","QUEAGR",8,"SA"
"138","PPW1322","ARBMEN",4,"SA"
"139","PPW1323","QUEDOU",4,"TR"
"140","PPW1323","QUEAGR",8,"TR"
"141","PPW1324","QUEAGR",4,"TR"
"142","PPW1324","QUEGAR",3,"TR"
"143","PPW1324","QUEKEL",5,"TR"
"144","PPW1324","ARBMEN",2,"TR"
"145","PPW1324","UMBCAL",4,"SA"
"146","PPW1324","PSEMEN",8,"SA"
"147","PPW1325","QUEGAR",7,"TR"
"148","PPW1325","ARCMAN",6,"TR"
"149","PPW1325","QUEAGR",2,"TR"
"150","PPW1325","QUEDOU",10,"TR"
"151","PPW1326","UMBCAL",218,"SA"
"152","PPW1326","UMBCAL",7,"TR"
"153","PPW1326","ARBMEN",2,"TR"
"154","PPW1326","PSEMEN",43,"TR"
"155","PPW1326","QUEGAR",8,"TR"
"156","PPW1326","PSEMEN",1,"SA"
"157","PPW1326","QUEAGR",1,"TR"
"158","PPW1327","QUEBER",9,"TR"
"159","PPW1327","QUEAGR",18,"TR"
"160","PPW1327","HETARB",87,"SA"
"161","PPW1327","PSEMEN",8,"SA"
"162","PPW1327","QUEAGKE",3,"SA"
"163","PPW1327","FRACAL",2,"SA"
"164","PPW1327","QUEAGR",11,"SA"
"165","PPW1327","QUEBER",68,"SA"
"166","PPW1327","ADEFAS",3,"SA"
"167","PPW1327","BACPIL",1,"SA"
"168","PPW1327","HETARB",25,"TR"
"169","PPW1327","PSEMEN",31,"TR"
"170","PPW1327","QUEAGKE",2,"TR"
"171","PPW1327","ARBMEN",3,"TR"
"172","PPW1327","UNKN27",14,"SA"
"173","PPW1327","UMBCAL",6,"SA"
"174","PPW1328","FRACAL",34,"SA"
"175","PPW1328","AMOCAL",5,"SA"
"176","PPW1328","ARBMEN",8,"SA"
"177","PPW1328","UMBCAL",16,"SA"
"178","PPW1328","HETARB",2,"SA"
"179","PPW1328","QUEAGR",21,"SA"
"180","PPW1328","UNK28",2,"SA"
"181","PPW1328","FRACAL",13,"TR"
"182","PPW1328","PSEMEN",19,"TR"
"183","PPW1328","QUEAGR",60,"TR"
"184","PPW1328","UMBCAL",7,"TR"
"185","PPW1328","PSEMEN",NA,"SA"
"186","PPW1328","ARBMEN",7,"TR"
"187","PPW1329","HETARB",2,"TR"
"188","PPW1329","PSEMEN",1,"SA"
"189","PPW1329","QUEAGR",23,"TR"
"190","PPW1329","QUEGAR",4,"TR"
"191","PPW1330","ARBMEN",10,"TR"
"192","PPW1330","AMOCAL",NA,"SA"
"193","PPW1330","ARBMEN",NA,"SA"
"194","PPW1330","ARCMAN",NA,"SA"
"195","PPW1330","CEOCUN",NA,"SA"
"196","PPW1330","FRACAL",NA,"SA"
"197","PPW1330","HETARB",NA,"SA"
"198","PPW1330","PSEMEN",NA,"SA"
"199","PPW1330",NA,NA,"SA"
"200","PPW1330","QUEAGR",NA,"SA"
"201","PPW1330","QUEGAR",NA,"SA"
"202","PPW1330","ARCMAN",1,"TR"
"203","PPW1330","QUEAGR",3,"TR"
"204","PPW1330","QUEGAR",15,"TR"
"205","PPW1330","UMBCAL",62,"TR"
"206","PPW1330","AMOCAL",13,"TR"
"207","PPW1330","HETARB",143,"TR"
"208","PPW1330","PSEMEN",59,"TR"
"209","PPW1330","FRACAL",2,"TR"
"210","PPW1330","UMBCAL",NA,"SA"
"211","PPW1330","UNKN30",NA,"SA"
"212","PPW1331","PSEMEN",14,"TR"
"213","PPW1331","HETARB",6,"TR"
"214","PPW1331","ARBMEN",2,"SA"
