,Plot,Quad,Type,Tree Tag No.,Species,DBH
PPW1301.4,PPW1301,A2,TR,1002,QUEGAR,22.3
PPW1301.5,PPW1301,A2,TR,1003,QUEGAR,22.3
PPW1301.6,PPW1301,A4,TR,1004,QUEGAR,27.1
PPW1301.7,PPW1301,A4,TR,1005,QUEGAR,32.3
PPW1301.8,PPW1301,A4,TR,1006,QUEGAR,30.6
PPW1301.9,PPW1301,B4,TR,1011,QUEGAR,22.65
PPW1301.10,PPW1301,B4,TR,1010,QUEGAR,25.8
PPW1301.11,PPW1301,B4,TR,1009,QUEGAR,13
PPW1301.12,PPW1301,B3,TR,1008,QUEGAR,32.25
PPW1301.13,PPW1301,B1,TR,1007,QUEGAR,28.25
PPW1301.14,PPW1301,C1,TR,1014,QUEGAR,21.8
PPW1301.15,PPW1301,C1,TR,1014.1,QUEGAR,15.75
PPW1301.16,PPW1301,C1,TR,1012,QUEGAR,15.3
PPW1301.17,PPW1301,C1,TR,1012.1,QUEGAR,17.3
PPW1301.18,PPW1301,C2,TR,1015,QUEGAR,30.5
PPW1301.19,PPW1301,C2,TR,1017,QUEGAR,19.5
PPW1301.20,PPW1301,C2,TR,1018,QUEGAR,24
PPW1301.21,PPW1301,C3,TR,1020,QUEGAR,35
PPW1301.22,PPW1301,D4,TR,1021,QUEGAR,34.2
PPW1301.23,PPW1301,D2,TR,1022,QUEGAR,29
PPW1302.12,PPW1302,B3,TR,1061,PSEMEN,2.7
PPW1302.13,PPW1302,B2,TR,1094,PSEMEN,2.15
PPW1302.14,PPW1302,B2,TR,1082,PSEMEN,2.1
PPW1302.30,PPW1302,C4,TR,1032,PSEMEN,1.42
PPW1302.19,PPW1302,C1,TR,1096,QUEAGR,59.44
PPW1302.20,PPW1302,C1,TR,1096.1,QUEAGR,38.7
PPW1302.21,PPW1302,C1,TR,1096.2,QUEAGR,54.6
PPW1302.26,PPW1302,C3,TR,1097,QUEAGR,99.3
PPW1302.43,PPW1302,D1,TR,1044,UMBCAL,40.66
PPW1302.44,PPW1302,D1,TR,1044.1,UMBCAL,27.25
PPW1302.45,PPW1302,D1,TR,1044.2,UMBCAL,37.78
PPW1304.8,PPW1304,C2,TR,1104,AESCAL,16.9
PPW1304.11,PPW1304,D3,TR,1106,AESCAL,16.2
PPW1304.12,PPW1304,D3,TR,1106.1,AESCAL,16.1
PPW1304.10,PPW1304,D3,TR,1107,QUEAGR,30.6
PPW1304.4,PPW1304,A1,TR,1101.1,QUEDEC,51.1
PPW1304.5,PPW1304,B4,TR,1102,QUEDEC,55.2
PPW1305.4,PPW1305,A1,TR,1047.1,HETARB,5.91
PPW1305.12,PPW1305,A2,TR,1052,HETARB,4.96
PPW1305.18,PPW1305,A3,TR,1054,HETARB,3.95
PPW1305.17,PPW1305,A3,TR,1053,QUEAGR,46.6
PPW1305.30,PPW1305,B3,TR,1059,QUEAGR,28.4
PPW1305.56,PPW1305,C1,TR,1075,QUEAGR,50.25
PPW1305.61,PPW1305,C2,TR,1084,QUEAGR,34.5
PPW1305.63,PPW1305,C4,TR,1086,QUEAGR,2.61
PPW1305.66,PPW1305,C4,TR,1093,QUEAGR,2.84
PPW1305.71,PPW1305,D4,TR,1100,QUEAGR,4.68
PPW1305.72,PPW1305,D4,TR,1095,QUEAGR,6.71
PPW1305.78,PPW1305,D4,TR,1197,QUEAGR,2.28
PPW1305.79,PPW1305,D3,TR,1193,QUEAGR,92
PPW1305.94,PPW1305,D1,TR,1182,QUEAGR,31.8
PPW1305.7,PPW1305,A2,TR,1048,UMBCAL,13.8
PPW1305.8,PPW1305,A2,TR,1050,UMBCAL,20.5
PPW1305.9,PPW1305,A2,TR,1050.1,UMBCAL,16.7
PPW1305.23,PPW1305,A4,TR,1055,UMBCAL,31.95
PPW1305.31,PPW1305,B3,TR,1060,UMBCAL,2.07
PPW1305.36,PPW1305,B2,TR,1065,UMBCAL,14.6
PPW1305.41,PPW1305,B2,TR,1067,UMBCAL,14.4
PPW1305.45,PPW1305,B2,TR,1068,UMBCAL,16.25
PPW1305.46,PPW1305,B2,TR,1068.1,UMBCAL,15.4
PPW1305.47,PPW1305,B1,TR,1069,UMBCAL,14
PPW1305.51,PPW1305,B1,TR,1070,UMBCAL,7.4
PPW1306.15,PPW1306,A2,TR,1204.1,ARBMEN,27.4
PPW1306.16,PPW1306,A2,TR,1204,ARBMEN,44.65
PPW1306.17,PPW1306,A2,TR,1204.2,ARBMEN,17.2
PPW1306.21,PPW1306,A3,TR,1206,QUEDEC,28.5
PPW1306.48,PPW1306,B1,TR,1215,QUEDEC,40.2
PPW1306.62,PPW1306,C4,TR,1216,QUEDEC,24.1
PPW1306.65,PPW1306,D4,TR,1217,QUEDEC,19.45
PPW1306.66,PPW1306,D4,TR,1218,QUEDEC,20.2
PPW1306.67,PPW1306,D4,TR,,QUEDEC,37.7
PPW1306.77,PPW1306,D1,TR,1220,QUEDEC,25.7
PPW1306.42,PPW1306,B1,TR,1214,QUEKEL,16.2
PPW1306.35,PPW1306,B3,TR,1211,UMBCAL,1.1
PPW1307.6,PPW1307,A2,TR,1110,ARBMEN,42.3
PPW1307.7,PPW1307,A2,TR,1110.2,ARBMEN,30.55
PPW1307.8,PPW1307,A2,TR,1110.1,ARBMEN,26.85
PPW1307.9,PPW1307,A3,TR,1112,ARBMEN,22.1
PPW1307.31,PPW1307,B2,TR,1131,ARBMEN,32.4
PPW1307.37,PPW1307,B1,TR,1143,ARBMEN,1.78
PPW1307.4,PPW1307,A1,TR,1108,PSEMEN,12.2
PPW1307.23,PPW1307,A4,TR,1121,PSEMEN,1.74
PPW1307.82,PPW1307,D3,TR,1170,PSEMEN,3.35
PPW1307.84,PPW1307,D3,TR,1169,PSEMEN,22.85
PPW1307.87,PPW1307,D2,TR,1173,PSEMEN,23
PPW1307.88,PPW1307,D2,TR,1174,PSEMEN,15.45
PPW1307.29,PPW1307,B2,TR,1132,QUEAGR,3.03
PPW1307.34,PPW1307,B2,TR,1131.1,QUEAGR,2.18
PPW1307.59,PPW1307,B1,TR,1165,QUEAGR,1.2
PPW1307.60,PPW1307,B1,TR,1154,QUEAGR,2
PPW1307.61,PPW1307,B1,TR,1165.1,QUEAGR,1.26
PPW1307.63,PPW1307,C1,TR,1159,QUEAGR,9.65
PPW1307.64,PPW1307,C1,TR,1158,QUEAGR,6.85
PPW1307.65,PPW1307,C1,TR,1159.1,QUEAGR,4.24
PPW1307.66,PPW1307,C1,TR,1160,QUEAGR,1.5
PPW1307.70,PPW1307,C1,TR,1134,QUEAGR,1.02
PPW1307.71,PPW1307,C1,TR,1162,QUEAGR,3.4
PPW1307.72,PPW1307,C1,TR,1163,QUEAGR,2.07
PPW1307.75,PPW1307,C2,TR,1164,QUEAGR,1.57
PPW1307.78,PPW1307,C4,TR,1166,QUEAGR,40.25
PPW1307.83,PPW1307,D3,TR,1168,QUEAGR,36.2
PPW1307.89,PPW1307,D1,TR,1176,QUEAGR,2.02
PPW1307.91,PPW1307,D1,TR,1175,QUEAGR,6.46
PPW1307.98,PPW1307,D1,TR,1200,QUEAGR,10.6
PPW1307.21,PPW1307,A4,TR,1124,QUEDEC,25.5
PPW1307.25,PPW1307,B4,TR,1126,QUEDEC,21.6
PPW1307.20,PPW1307,A4,TR,1123,QUEGAR,55.65
PPW1307.92,PPW1307,D1,TR,1179,UMBCAL,6.2
PPW1307.93,PPW1307,D1,TR,1179.1,UMBCAL,4.5
PPW1307.94,PPW1307,D1,TR,1178,UMBCAL,1.3
PPW1309.5,PPW1309,B1,TR,1245,QUEAGR,47.95
PPW1309.6,PPW1309,B1,TR,1245.1,QUEAGR,37.45
PPW1309.4,PPW1309,B2,TR,1244,QUEKEL,43.3
PPW1309.7,PPW1309,C1,TR,1246,QUEKEL,37.15
