LAI_File	Date	TransComp	Model	A-B-?-1-2	LAI	SMP
1301A1	20140619 08:22:28	a-p-s	Horizontal	6-6-0-0-0	1.52	6
1301A3	20140619 08:24:17	a-p-s	Horizontal	6-6-0-0-0	2.03	6
1301C1	20140619 08:28:25	a-p-s	Horizontal	6-6-0-0-0	1.96	6
1301C3	20140619 08:26:10	a-p-s	Horizontal	6-6-0-0-0	1.53	6
1301CENT	20140619 08:23:23	a-p-s	Horizontal	6-6-0-0-0	1	6
1301NE	20140619 08:27:05	a-p-s	Horizontal	6-6-0-0-0	2.56	6
1301NW	20140619 08:25:03	a-p-s	Horizontal	6-6-0-0-0	0.97	6
1301SE	20140619 08:29:44	a-p-s	Horizontal	6-6-0-0-0	1.03	6
1301SW	20140619 08:21:34	a-p-s	Horizontal	6-6-0-0-0	1.18	6
1302A1	20140619 18:52:48	a-p-s	Horizontal	6-6-0-0-0	3.17	6
1302A3	20140619 18:54:09	a-p-s	Horizontal	6-6-0-0-0	2.93	6
1302C1	20140619 19:01:43	a-p-s	Horizontal	6-6-0-0-0	2.84	6
1302C3	20140619 18:57:44	a-p-s	Horizontal	6-6-0-0-0	1.61	6
1302CENT	20140619 18:56:43	a-p-s	Horizontal	6-6-0-0-0	2.19	6
1302NE	20140619 18:58:36	a-p-s	Horizontal	6-6-0-0-0	1.98	6
1302NW	20140619 18:55:44	a-p-s	Horizontal	6-6-0-0-0	2.92	6
1302SE	20140619 18:59:39	a-p-s	Horizontal	6-6-0-0-0	3.43	6
1302SW	20140619 18:51:45	a-p-s	Horizontal	6-6-0-0-0	3.05	6
1306A1	20140619 09:22:44	a-p-s	Horizontal	6-6-0-0-0	2.12	6
1306A3	20140619 09:25:09	a-p-s	Horizontal	6-6-0-0-0	1.98	6
1306C1	20140619 09:29:04	a-p-s	Horizontal	6-6-0-0-0	2.46	6
1306C3	20140619 09:26:38	a-p-s	Horizontal	6-6-0-0-0	2.62	6
1306CENT	20140619 09:23:50	a-p-s	Horizontal	6-6-0-0-0	2.38	6
1306NE	20140619 09:27:58	a-p-s	Horizontal	6-6-0-0-0	2.23	6
1306NW	20140619 09:34:46	a-p-s	Horizontal	6-6-0-0-0	2.05	6
1306SE	20140619 09:29:54	a-p-s	Horizontal	6-6-0-0-0	2.35	6
1306SW	20140619 09:21:49	a-p-s	Horizontal	6-6-0-0-0	2.09	6
1307A1	20140619 08:54:43	a-p-s	Horizontal	6-6-0-0-0	3.15	6
1307A3	20140619 08:56:39	a-p-s	Horizontal	6-6-0-0-0	1.99	6
1307C1	20140619 09:06:22	a-p-s	Horizontal	6-6-0-0-0	2.9	6
1307C3	20140619 09:00:20	a-p-s	Horizontal	6-6-0-0-0	2.49	6
1307CENT	20140619 08:55:38	a-p-s	Horizontal	6-6-0-0-0	2.33	6
1307NE	20140619 09:01:50	a-p-s	Horizontal	6-6-0-0-0	2.96	6
1307NW	20140619 08:57:38	a-p-s	Horizontal	6-6-0-0-0	4.44	6
1307SE	20140619 09:04:56	a-p-s	Horizontal	6-6-0-0-0	3.67	6
1307SW	20140619 08:53:34	a-p-s	Horizontal	6-6-0-0-0	2.7	6
1308A1	20140618 09:48:34	a-p-s	Horizontal	6-6-0-0-0	1.04	6
1308A3	20140618 09:50:57	a-p-s	Horizontal	6-6-0-0-0	0.9	6
1308C1	20140618 09:56:26	a-p-s	Horizontal	6-6-0-0-0	1.43	6
1308C3	20140618 09:53:57	a-p-s	Horizontal	6-6-0-0-0	0.89	6
1308CENT	20140618 09:49:44	a-p-s	Horizontal	6-6-0-0-0	0.87	6
1308NE	20140618 09:55:09	a-p-s	Horizontal	6-6-0-0-0	0	0
1308NW	20140618 09:52:54	a-p-s	Horizontal	6-6-0-0-0	0	0
1308SE	20140618 09:57:25	a-p-s	Horizontal	6-6-0-0-0	0.74	6
1308SW	20140618 09:47:20	a-p-s	Horizontal	6-6-0-0-0	0	0
1310A1	20140623 16:43:12	a-p-s	Horizontal	6-6-0-0-0	0	0
1310A3	20140623 16:45:46	a-p-s	Horizontal	6-6-0-0-0	0	0
1310C1	20140623 16:51:56	a-p-s	Horizontal	6-6-0-0-0	0	0
1310C3	20140623 16:50:44	a-p-s	Horizontal	6-6-0-0-0	2.98	6
1310CENT	20140623 16:44:31	a-p-s	Horizontal	6-6-0-0-0	2.52	6
1310NE	20140623 16:48:51	a-p-s	Horizontal	6-6-0-0-0	0	0
1310NW	20140623 16:46:46	a-p-s	Horizontal	6-6-0-0-0	0	0
1310SE	20140623 16:52:51	a-p-s	Horizontal	6-6-0-0-0	3.01	5
1310SW	20140623 16:41:23	a-p-s	Horizontal	6-6-0-0-0	1.63	6
1312A1	20140623 18:28:46	a-p-s	Horizontal	6-6-0-0-0	3.71	6
1312A3	20140623 18:33:45	a-p-s	Horizontal	6-6-0-0-0	3.52	6
1312C1	20140623 18:39:06	a-p-s	Horizontal	6-6-0-0-0	2.43	6
1312C3	20140623 18:37:32	a-p-s	Horizontal	6-6-0-0-0	2.94	6
1312CENT	20140623 18:30:10	a-p-s	Horizontal	6-6-0-0-0	2.89	6
1312NE	20140623 18:36:34	a-p-s	Horizontal	6-6-0-0-0	3.46	6
1312NW	20140623 18:34:55	a-p-s	Horizontal	6-6-0-0-0	3.39	6
1312SE	20140623 18:40:16	a-p-s	Horizontal	6-6-0-0-0	4.1	6
1312SW	20140623 18:25:58	a-p-s	Horizontal	6-6-0-0-0	3.76	6
1321A1	20140619 16:25:29	a-p-s	Horizontal	6-6-0-0-0	1.96	6
1321A3	20140619 16:29:17	a-p-s	Horizontal	6-6-0-0-0	2.09	6
1321C1	20140619 16:35:05	a-p-s	Horizontal	6-6-0-0-0	2.4	6
1321C3	20140619 16:31:20	a-p-s	Horizontal	6-6-0-0-0	1.85	6
1321CENT	20140619 16:26:25	a-p-s	Horizontal	6-6-0-0-0	2.96	3
1321NE	20140619 16:32:49	a-p-s	Horizontal	6-6-0-0-0	2.49	5
1321NW	20140619 16:30:16	a-p-s	Horizontal	6-6-0-0-0	1.34	3
1321SE	20140619 16:37:13	a-p-s	Horizontal	6-6-0-0-0	3.31	1
1321SW	20140619 16:24:10	a-p-s	Horizontal	6-6-0-0-0	2.33	6
1322A1	20140619 16:59:41	a-p-s	Horizontal	6-6-0-0-0	2.41	6
1322A3	20140619 17:03:54	a-p-s	Horizontal	6-6-0-0-0	3.36	3
1322C1	20140619 17:07:03	a-p-s	Horizontal	6-6-0-0-0	2.46	3
1322C3	20140619 17:05:03	a-p-s	Horizontal	6-6-0-0-0	2.2	2
1322CENT	20140619 17:00:24	a-p-s	Horizontal	6-6-0-0-0	3.02	4
