plot,date,device,quad,reading
PPW1320,20150507,ack,A1,10
PPW1320,20150507,ack,A2,3.5
PPW1320,20150507,ack,A3,3.8
PPW1320,20150507,ack,A4,3.8
PPW1320,20150507,ack,B4,4.9
PPW1320,20150507,ack,B3,5.8
PPW1320,20150507,ack,B2,5.7
PPW1320,20150507,ack,B1,10.6
PPW1320,20150507,ack,C1,7.7
PPW1320,20150507,ack,C2,10.6
PPW1320,20150507,ack,C3,5.3
PPW1320,20150507,ack,C4,3.6
PPW1320,20150507,ack,D4,5.2
PPW1320,20150507,ack,D3,5.7
PPW1320,20150507,ack,D2,8
PPW1320,20150507,ack,D1,5.8
,,,,
PPW1330,20150507,ack,A1,9.5
PPW1330,20150507,ack,A2,9.6
PPW1330,20150507,ack,A3,9.9
PPW1330,20150507,ack,A4,7.1
PPW1330,20150507,ack,B4,5.7
PPW1330,20150507,ack,B3,8.8
PPW1330,20150507,ack,B2,7.5
PPW1330,20150507,ack,B1,5.9
PPW1330,20150507,ack,C1,7.8
PPW1330,20150507,ack,C2,8.9
PPW1330,20150507,ack,C3,6.4
PPW1330,20150507,ack,C4,7.1
PPW1330,20150507,ack,D4,8.8
PPW1330,20150507,ack,D3,5.7
PPW1330,20150507,ack,D2,5.9
PPW1330,20150507,ack,D1,6.1
,,,,
PPW1346,20150507,ack,A1,13.1
PPW1346,20150507,ack,A2,8.2
PPW1346,20150507,ack,A3,9.2
PPW1346,20150507,ack,A4,7
PPW1346,20150507,ack,B4,9.6
PPW1346,20150507,ack,B3,7.6
PPW1346,20150507,ack,B2,10.7
PPW1346,20150507,ack,B1,7.1
PPW1346,20150507,ack,C1,10.9
PPW1346,20150507,ack,C2,4.7
PPW1346,20150507,ack,C3,9.1
PPW1346,20150507,ack,C4,9.6
PPW1346,20150507,ack,D4,9.6
PPW1346,20150507,ack,D3,8
PPW1346,20150507,ack,D2,7.4
PPW1346,20150507,ack,D1,8.6
,,,,
PPW1315,20150507,ack,A1,5.2
PPW1315,20150507,ack,A2,4.5
PPW1315,20150507,ack,A3,6.5
PPW1315,20150507,ack,A4,6.7
PPW1315,20150507,ack,B4,4
PPW1315,20150507,ack,B3,3.8
PPW1315,20150507,ack,B2,6.1
PPW1315,20150507,ack,B1,4.9
PPW1315,20150507,ack,C1,6.1
PPW1315,20150507,ack,C2,7.5
PPW1315,20150507,ack,C3,6.3
PPW1315,20150507,ack,C4,7.6
PPW1315,20150507,ack,D4,12.4
PPW1315,20150507,ack,D3,9.9
PPW1315,20150507,ack,D2,6.5
PPW1315,20150507,ack,D1,8.2
,,,,
PPW1347,20150507,ack,A1,7.2
PPW1347,20150507,ack,A2,7
PPW1347,20150507,ack,A3,8.6
PPW1347,20150507,ack,A4,5.8
PPW1347,20150507,ack,B4,8
PPW1347,20150507,ack,B3,6.8
PPW1347,20150507,ack,B2,4.9
PPW1347,20150507,ack,B1,4.2
PPW1347,20150507,ack,C1,10.3
PPW1347,20150507,ack,C2,8.6
PPW1347,20150507,ack,C3,13.3
PPW1347,20150507,ack,C4,8.4
PPW1347,20150507,ack,D4,18.4
PPW1347,20150507,ack,D3,12.5
PPW1347,20150507,ack,D2,10.1
PPW1347,20150507,ack,D1,9.8
,,,,
PPW1327,20150507,ack,A1,15.7
PPW1327,20150507,ack,A2,9.1
PPW1327,20150507,ack,A3,4.5
PPW1327,20150507,ack,A4,7.9
PPW1327,20150507,ack,B4,9.6
PPW1327,20150507,ack,B3,4.6
PPW1327,20150507,ack,B2,12.8
PPW1327,20150507,ack,B1,5.6
PPW1327,20150507,ack,C1,12.9
PPW1327,20150507,ack,C2,6.3
PPW1327,20150507,ack,C3,6.9
PPW1327,20150507,ack,C4,10.2
PPW1327,20150507,ack,D4,10.6
PPW1327,20150507,ack,D3,7.8
PPW1327,20150507,ack,D2,8.8
PPW1327,20150507,ack,D1,12.1
,,,,
PPW1348,20150507,ack,A1,4.8
PPW1348,20150507,ack,A2,5.5
PPW1348,20150507,ack,A3,5.9
PPW1348,20150507,ack,A4,6.5
PPW1348,20150507,ack,B4,6.5
PPW1348,20150507,ack,B3,7.6
PPW1348,20150507,ack,B2,8.1
PPW1348,20150507,ack,B1,6.1
PPW1348,20150507,ack,C1,5.9
PPW1348,20150507,ack,C2,7.1
PPW1348,20150507,ack,C3,9.5
PPW1348,20150507,ack,C4,8.1
PPW1348,20150507,ack,D4,8.9
PPW1348,20150507,ack,D3,10.4
PPW1348,20150507,ack,D2,7.6
PPW1348,20150507,ack,D1,7.9
,,,,
PPW1350,20150507,ack,A1,6.1
PPW1350,20150507,ack,A2,7.3
PPW1350,20150507,ack,A3,5.2
PPW1350,20150507,ack,A4,4.2
PPW1350,20150507,ack,B4,5.1
PPW1350,20150507,ack,B3,5.2
PPW1350,20150507,ack,B2,6.5
PPW1350,20150507,ack,B1,8.9
PPW1350,20150507,ack,C1,7.9
PPW1350,20150507,ack,C2,6.5
PPW1350,20150507,ack,C3,4.4
PPW1350,20150507,ack,C4,7.8
PPW1350,20150507,ack,D4,7.4
PPW1350,20150507,ack,D3,6.9
PPW1350,20150507,ack,D2,3.9
PPW1350,20150507,ack,D1,5
,,,,
