Plot ID,PPW1303,,,,Sampler(s),"MFO, PDP,ASC,NJP ",,,Date ,20150520
Notes,,,,,,,,,,
,,,,,,,,,,
Quad,Species,No. SE <10cm,,No. JU 10-50cm,,No. SE +JU Dead,Comments,,,
A1,UMBCAL,5,,11,,,,,,
A1,QUEDOU,17,,30,,,,,,
A1,QUEGAR,4,,20,,,,,,
A2,QUEDOU,7,,11,,,,,,
A2,QUEGAR,1,,11,,,,,,
A2,QUEAGR,0,,3,,,,,,
A3,QUEDOU,5,,9,,,,,,
A3,QUEAGR,0,,2,,,,,,
A3,QUEGAR,2,,4,,,,,,
A3,UMBCAL,1,,3,,,,,,
A4,QUEAGR,0,,2,,,,,,
A4,QUEDOU,1,,5,,,,,,
B1,QUEDOU,7,,19,,,,,,
B1,QUEGAR,3,,6,,,,,,
B1,UMBCAL,0,,1,,,,,,
B2,QUEGAR,0,,6,,,,,,
B2,QUEDOU,0,,10,,,,,,
B2,UMBCAL,0,,1,,,,,,
B3,QUEDOU,1,,12,,,,,,
B3,QUEAGR,0,,3,,,,,,
B3,QUEGAR,0,,8,,,,,,
B3,PSEMEN,0,,6,,,,,,
B3,UMBCAL,0,,1,,,,,,
B4,PSEMEN,0,,7,,,,,,
B4,QUEAGR,0,,1,,,,,,
B4,UMBCAL,0,,3,,,,,,
B4,QUEDOU,1,,1,,,,,,
C1,QUEDOU,0,,1,,,,,,
C2,QUEAGR,0,,1,,,,,,
C2,QUEDOU,0,,1,,,,,,
C3,QUEAGR,0,,4,,,,,,
C3,QUEDOU,0,,4,,,,,,
C3,UMBCAL,0,,1,,,,,,
C4,QUEAGR,2,,2,,,,,,
C4,UMBCAL,0,,2,,,,,,
C4,HETARB,0,,2,,,,,,
C4,PSEMEN,0,,3,,,,,,
D1,QUEDOU,11,,80,,,,,,
D1,QUEGAR,0,,6,,,,,,
D1,QUEAGR,0,,1,,,,,,
D2,QUEDOU,1,,1,,,,,,
D2,QUEAGR,0,,1,,,,,,
D3,QUEDOU,0,,9,,,,,,
D3,QUEAGR,0,,2,,,,,,
D4,QUEAGR,1,,2,,,,,,
D4,UMBCAL,0,,2,,,,,,
