Plot ID,PPW1308,,,,Sampler(s),"MFO, PDP, MZC, GCA, VAF",,,Date ,20150418
Notes,,,,,,,,,,
,,,,,,,,,,
Quad,Species,No. SE <10cm,,No. JU 10-50cm,,No. SE +JU Dead,Comments,,,
A1,QUEGAR,4,,39,,,,,,
A1,QUEDOU,0,,3,,,,,,
B1,QUEGAR,7,,41,,,,,,
B1,QUEAGR,0,,1,,,,,,
A2,QUEDOU,2,,10,,,,,,
A2,QUEGAR,2,,34,,,,,,
B2,QUEGAR,9,,70,,,,,,
B2,QUEDOU,8,,19,,,,,,
A3,QUEGAR,1,,10,,,,,,
A3,QUEDOU,2,,3,,,,,,
A4,QUEKEL,1,,0,,,,,,
A4,QUEGAR,2,,26,,,,,,
A4,QUEDOU,3,,6,,,,,,
B4,QUEDOU,0,,15,,,,,,
B4,QUEGAR,0,,15,,,,,,
B3,QUEGAR,12,,27,,,,,,
B3 ,QUEDOU,14,,17,,,,,,
C4,QUEDOU,5,,4,,,,,,
C4,QUEGAR,14,,36,,,,,,
C3,QUEGAR,14,,41,,,woodpecker head found here!,,,
C3,QUEDOU,6,,8,,,,,,
D4,QUEGAR,4,,25,,,,,,
D4,QUEDOU,4,,17,,,,,,
D3,QUEGAR,2,,64,,,,,,
D3,QUEDOU,1,,24,,,,,,
D3,QUEAGR,0,,1,,,,,,
C2,QUEGAR,0,,16,,,,,,
C2,QUEDOU,2,,5,,,,,,
C1,QUEGAR,7,,56,,,,,,
C1,QUEDOU,4,,5,,,,,,
D1,QUEGAR,1,,17,,,,,,
D1,QUEDOU,2,,11,,,,,,
D2,QUEGAR,2,,48,,,,,,
D2,QUEDOU,1,,19,,,,,,
D2,QUEAGR,0,,1,,,,,,
