Plot ID,PPW1316,,,,Sampler(s),,,,Date ,20150404
Notes,,,,,,,,,,
,,,,,,,,,,
Quad,Species,No. SE <10cm,,No. JU 10-50cm,,No. SE +JU Dead,Comments,,,
A2,QUEAGR,0,,2,,,,,,
B2,UMBCAL,0,,1,,,,,,
B2,QUEDOU,0,,1,,,,,,
B2,QUEGAR,0,,3,,,,,,
C2,UMBCAL,0,,1,,,,,,
D4,UMBCAL,1,,5,,,,,,
D4,QUEKEL,1,,0,,,,,,
D4,QUEAGR,0,,1,,,,,,
D3,UMBCAL,0,,4,,,,,,
DD1,UMBCAL,0,,1,,,,,,
D1,QUEAGR,0,,1,,,,,,
B1,QUEGAR,0,,1,,,,,,
B1,QUEAGR,0,,1,,,,,,
A1,UMBCAL,0,,1,,,,,,
A1,QUEGAR,0,,1,,,,,,
A1,QUEAGR,0,,1,,,,,,
C4,QUEGAR,0,,5,,,,,,
C4,QUEKEL,0,,2,,,,,,
C4,QUEAGR,0,,1,,,,,,
C3,QUEAGR,0,,3,,,,,,
C3,QUEGAR,0,,1,,,,,,
C3,UMBCAL,0,,1,,,,,,
A4,QUEGAR,0,,3,,,,,,
A4,UMBCAL,0,,1,,,,,,
B4,QUEAGR,0,,1,,,,,,
B4,QUEGAR,0,,5,,,,,,
A3,UMBCAL,0,,2,,,,,,
A3,QUEGAR,0,,1,,,,,,
